Z_PK,Z_ENT,Z_OPT,ZCLEARBITVALUE,ZREPORTVERSION,ZSUBMITTED,ZCREATIONDATE,ZKEY,ZPRIVATEBITVALUESTR
41,1,1,0,21,0,607624104.526466,com.apple.health.datatypes.usage.monthly,014105D008C81A8402A1481520
42,1,1,0,21,0,607624104.526466,com.apple.health.datatypes.usage.monthly,0A5180E0E210400080A8D2210A
43,1,1,0,21,0,607624104.526466,com.apple.health.datatypes.usage.monthly,068C00006C25940B4308068004
44,1,1,0,21,0,607624104.526466,com.apple.health.datatypes.usage.monthly,1408903C000F4013A143731053
45,1,1,0,21,0,607624104.526466,com.apple.health.datatypes.usage.monthly,201250048195210066010F0284
46,1,1,0,21,0,607707744.536547,com.apple.health.datatypes.usage.monthly,0DD003A78A5C07620113016481
47,1,1,0,21,0,607707744.536547,com.apple.health.datatypes.usage.monthly,100800228105081080CA182080
48,1,1,0,21,0,607707744.536547,com.apple.health.datatypes.usage.monthly,14000804008C06614E28900501
49,1,1,0,21,0,607707744.536547,com.apple.health.datatypes.usage.monthly,000D441602100EA486120B1048
50,1,1,0,21,0,607707744.536547,com.apple.health.datatypes.usage.monthly,10F688521821403424104009A0
51,1,1,0,21,0,607707744.536547,com.apple.health.datatypes.usage.monthly,93FE9920210336428020060080
52,1,1,0,21,0,607707744.536547,com.apple.health.datatypes.usage.monthly,6D1A50C0014245AAE1903A0000
53,1,1,0,21,0,607828015.012259,com.apple.health.datatypes.usage.monthly,81446A85248061614832038C08
54,1,1,0,21,0,607828015.012259,com.apple.health.datatypes.usage.monthly,0C84C6030AC310025000118000
55,1,1,0,21,0,607828015.012259,com.apple.health.datatypes.usage.monthly,21A04CD160AB088A96A0C4A1A8
56,1,1,0,21,0,607828015.012259,com.apple.health.datatypes.usage.monthly,51A40212110B7322033E804040
57,1,1,0,21,0,607828015.012259,com.apple.health.datatypes.usage.monthly,142C062A8A94028003501C1003
58,1,1,0,21,0,607828015.012259,com.apple.health.datatypes.usage.monthly,09022216180B18844C8A0202A9
59,1,1,0,21,0,607828015.012259,com.apple.health.datatypes.usage.monthly,148AA4007010A1004112020C90
60,1,1,0,21,0,607828015.012259,com.apple.health.datatypes.usage.monthly,2870204000BF001EAC1004638C
61,1,1,0,21,0,607828015.012259,com.apple.health.datatypes.usage.monthly,0B5120426820C042A00D999002
62,1,1,0,21,0,608047604.667536,com.apple.health.datatypes.usage.monthly,000028000492100B4625D4510C
63,1,1,0,21,0,608047604.667536,com.apple.health.datatypes.usage.monthly,BF25520003C0C3A0A06B0B041C
64,1,1,0,21,0,608047604.667536,com.apple.health.datatypes.usage.monthly,1029584001A2209802102F0900
65,1,1,0,21,0,608047604.667536,com.apple.health.datatypes.usage.monthly,4420890B8941130B0342304433
66,1,1,0,21,0,608047604.667536,com.apple.health.datatypes.usage.monthly,0001263CA026622042807191D3
67,1,1,0,21,0,608047604.667536,com.apple.health.datatypes.usage.monthly,0082010AA600800A0493850484
68,1,1,0,21,0,608047604.667536,com.apple.health.datatypes.usage.monthly,B00E0400155827014422000864
69,1,1,0,21,0,608047604.667536,com.apple.health.datatypes.usage.monthly,222152080C8308006075004608
70,1,1,0,21,0,608047604.667536,com.apple.health.datatypes.usage.monthly,10A32348881D411CE220001A06
71,1,1,0,21,0,608173925.232656,com.apple.health.datatypes.usage.monthly,0CC01044226C01005000005041
72,1,1,0,21,0,608173925.232656,com.apple.health.datatypes.usage.monthly,1E20211009001900D00D00819A
73,1,1,0,21,0,608173925.232656,com.apple.health.datatypes.usage.monthly,C07440300003082DE014804020
74,1,1,0,21,0,608173925.232656,com.apple.health.datatypes.usage.monthly,F8090C23042484008485120058
75,1,1,0,21,0,608173925.232656,com.apple.health.datatypes.usage.monthly,8F81C1711122597E20051610C5
