Z_PK,Z_ENT,Z_OPT,ZEDGE,ZPOPULARITYSCOREVALUE,ZQUALITYSCOREVALUE,ZTCPGOOD,ZNETWORK,ZCREATED,ZLAT,ZLNG,ZBSSID
19764,1,1,0,0,0,0,481,608411037.109682,0.0,0.0,f8:bb:bf:1e:fa:ef
19765,1,1,0,0,0,0,482,608730815.522961,35.661022,-78.8515036,a4:6c:2a:bd:c8:fb
19766,1,1,0,5,0,0,483,608730815.520652,35.6397912,-78.8390095,b4:c7:99:b4:10:11
19767,1,1,0,7,0,0,482,608730815.524647,35.6607674,-78.851343,78:ba:f9:94:65:7b
19768,1,1,0,11,0,0,483,608730815.520295,35.6401258,-78.8385433,b4:c7:99:7b:e0:d1
19769,1,1,0,13,0,0,483,608730815.520612,35.6399698,-78.839066,b4:c7:99:b4:0f:a1
19770,1,1,0,0,0,0,482,608730815.52442,35.661005,-78.8514931,a4:6c:2a:bd:c8:f4
19771,1,1,0,0,0,0,482,608730815.524113,35.6604347,-78.8519668,d8:b1:90:6d:70:4b
19772,1,1,0,0,0,0,482,608730815.523843,35.6605734,-78.851799,a4:6c:2a:f3:9d:3b
19773,1,1,0,0,0,0,482,608730815.523995,35.6605699,-78.8519857,a4:6c:2a:bd:cd:24
19774,1,1,0,0,0,0,482,608730815.524534,35.6606073,-78.8516274,78:ba:f9:a6:d5:54
19775,1,1,0,0,0,0,482,608730815.52323,35.6606451,-78.8518626,78:ba:f9:94:6a:b4
19776,1,1,0,0,0,0,482,608730815.524153,35.660475,-78.8519186,a4:6c:2a:f3:9d:34
19777,1,1,0,0,0,0,482,608730815.522999,35.6604042,-78.851921,d8:b1:90:23:5c:a4
19778,1,1,1,3,0,0,482,608730815.52292,35.6605585,-78.8510613,a4:6c:2a:f3:9e:94
19779,1,1,0,2,0,0,482,608730815.523957,35.6608338,-78.851331,78:ba:f9:94:66:c4
19780,1,1,0,1,0,0,482,608730815.524267,35.6605655,-78.8522574,a4:6c:2a:f3:a2:94
19781,1,1,0,1,0,0,482,608730815.523386,35.6609544,-78.8515996,78:ba:f9:bf:16:74
19782,1,1,0,0,0,0,482,608730815.522829,35.6606656,-78.8521496,78:ba:f9:95:c3:bb
19783,1,1,0,0,0,0,482,608730815.524609,35.6610559,-78.8516,78:ba:f9:a6:e0:34
19784,1,1,0,1,0,0,482,608730815.523729,35.6607338,-78.851442,78:ba:f9:8d:5a:44
19785,1,1,0,24,0,0,483,608730815.52045,35.6397989,-78.8390752,b4:c7:99:b4:0f:61
19786,1,1,0,0,0,0,482,608730815.523579,35.6608593,-78.8512418,78:ba:f9:95:ca:b4
19787,1,1,0,5,0,0,483,608730815.520532,35.6397376,-78.838958,b4:c7:99:b4:0d:c1
19788,1,1,0,0,0,0,483,608730815.520175,35.6396933,-78.838959,b4:c7:99:b4:0e:31
19789,1,1,0,0,0,0,482,608730815.524344,35.6609916,-78.8515701,78:ba:f9:a6:e0:3b
19790,1,1,0,0,0,0,482,608730815.523918,35.6604126,-78.8519527,d8:b1:90:6d:70:44
19791,1,1,0,0,0,0,482,608730815.524458,35.660636,-78.8522502,a4:6c:2a:f3:a2:9b
