Z_PK,Z_ENT,Z_OPT,ZCONFIDENCE,ZSUPPORT
741,2,1,0.5,0.12
742,2,1,1.0,0.16
743,2,1,0.16666666666666666,0.08
744,2,1,0.16666666666666666,0.12
745,2,1,1.0,0.16
746,2,1,1.0,0.08
747,2,1,0.5,0.12
748,2,1,0.16666666666666666,0.08
749,2,1,1.0,0.12
750,2,1,0.3333333333333333,0.12
751,2,1,1.0,0.12
752,2,1,1.0,0.12
753,2,1,0.125,0.08
754,2,1,0.125,0.08
755,2,1,0.5,0.12
756,2,1,0.16666666666666666,0.12
757,2,1,0.16666666666666666,0.08
758,2,1,0.16666666666666666,0.12
759,2,1,1.0,0.16
760,2,1,1.0,0.08
761,2,1,0.19047619047619047,0.16
762,2,1,0.19047619047619047,0.16
763,2,1,1.0,0.08
764,2,1,0.14285714285714285,0.08
765,2,1,1.0,0.08
766,2,1,0.16666666666666666,0.12
767,2,1,0.14285714285714285,0.08
768,2,1,0.16666666666666666,0.08
769,2,1,0.14285714285714285,0.08
770,2,1,1.0,0.16
771,2,1,0.3333333333333333,0.08
772,2,1,1.0,0.08
773,2,1,0.1875,0.12
774,2,1,1.0,0.08
775,2,1,1.0,0.08
776,2,1,0.16666666666666666,0.12
777,2,1,0.16666666666666666,0.08
778,2,1,1.0,0.08
779,2,1,0.6666666666666666,0.08
780,2,1,1.0,0.08
781,2,1,0.2857142857142857,0.16
782,2,1,1.0,0.08
783,2,1,1.0,0.08
784,2,1,0.6666666666666666,0.16
785,2,1,0.3333333333333333,0.12
786,2,1,0.2857142857142857,0.16
787,2,1,0.2857142857142857,0.16
788,2,1,1.0,0.12
789,2,1,0.3333333333333333,0.08
790,2,1,0.3333333333333333,0.12
791,2,1,1.0,0.08
792,2,1,0.6666666666666666,0.08
793,2,1,1.0,0.12
794,2,1,0.16666666666666666,0.08
795,2,1,1.0,0.12
796,2,1,1.0,0.08
797,2,1,0.16666666666666666,0.08
798,2,1,0.19047619047619047,0.16
799,2,1,0.16666666666666666,0.08
800,2,1,1.0,0.12
801,2,1,0.125,0.08
802,2,1,1.0,0.16
803,2,1,1.0,0.16
804,2,1,0.2857142857142857,0.16
805,2,1,1.0,0.16
806,2,1,0.16666666666666666,0.08
807,2,1,1.0,0.08
808,2,1,1.0,0.08
809,2,1,1.0,0.08
810,2,1,1.0,0.12
811,2,1,0.3333333333333333,0.08
812,2,1,0.2857142857142857,0.16
813,2,1,0.2857142857142857,0.16
814,2,1,0.16666666666666666,0.12
815,2,1,0.6666666666666666,0.08
816,2,1,1.0,0.08
817,2,1,0.18181818181818182,0.08
