Z_1CONSEQUENT,Z_2CONSEQUENTOFRULES
106,743
106,780
106,808
106,779
106,775
106,748
106,778
106,769
106,757
106,796
106,815
106,811
106,789
106,765
106,754
106,799
106,797
106,772
106,764
106,753
106,806
106,763
105,794
105,760
105,743
105,774
105,783
105,782
105,779
105,757
105,769
105,746
105,801
105,767
105,768
105,811
105,754
105,777
105,809
105,806
105,771
105,792
105,807
105,791
103,756
103,745
103,752
103,747
103,784
103,804
103,790
103,812
103,750
103,781
103,814
103,805
103,762
103,758
103,749
103,741
103,761
103,786
103,766
103,800
103,788
103,742
100,795
100,756
100,744
100,817
100,770
100,802
100,759
100,798
100,785
100,773
100,755
100,812
100,776
100,750
100,814
100,813
100,793
100,816
100,741
100,761
100,810
100,803
100,751
100,786
100,787
