ROWID,source_id,object_type,status,request,mode,date_modified,modification_epoch,provenance,deleted_object_anchor,object_limit_anchor,object_limit_modified
12,6,0,101,203,0,607632695.594705,1,0,38706,0,
13,6,1,101,203,0,607632695.594705,1,0,38706,0,
14,6,3,101,203,0,607632695.594705,1,0,38706,0,
15,6,7,101,203,0,607632695.594705,1,0,38706,0,
16,6,8,101,203,0,607632695.594705,1,0,38706,0,
17,6,9,101,203,0,607632695.594705,1,0,38706,0,
18,6,10,101,203,0,607632695.594705,1,0,38706,0,
19,6,12,101,203,0,607632695.594705,1,0,38706,0,
20,6,29,101,203,0,607632695.594705,1,0,38706,0,
21,6,63,101,203,0,607632695.594705,1,0,38706,0,
22,6,87,101,203,0,607632695.594705,1,0,38706,0,
