areacode,samecity,samestate,nearby
720,0,303/970/719,0
559,661/209,805/831,442/760
781,0,339/508/774/617/857,0
270,502,606/859,364/812/618/573/731/615/931
240,0,301,227/814/304/681
626,323/818/562/714/909/949/213/310,0,747
210,0,830,0
272,0,570/814/717/484/610,607/845/308/862/973
212,718/917,646/347,201/551
754,0,954/561/305/786/239,0
724,0,412/878/814,304/681/234/330
850,386,352,229/334/251
785,620,913,308/402/531/719/970/816/660
213,310/323/626/818/562,0,747/424
786,0,305/239/754/954/561,0
214,817/940,469/972/430/903/682,0
310,323/925/213/626/818/562/714,805,424/747
757,0,434/804,252
215,610,267/484,609/856/908
727,813,941/352,0
276,540,0,606/336/304/681
216,440,234/330/419/567,0
312,217/708/815,872/773/331/630/224/847,0
980,0,704/336/910/828,843/803/864
920,0,534/715/608/262,906
217,312/708/815/309/618,0,573/765/812/319
313,586/810,734/248/947,0
951,909,949/714,442/760
248,0,947/313/586,0
218,0,320,701/534/715/906
470,0,404/678/770,0
856,609,0,302/215/267/484/610
314,636,0,618
440,216/419,234/330,814
952,651/612/763,507/320,0
410,301,443/667,202/717/302/757
219,574/765,0,779/815/708/269
857,0,617/339/781/508/774/351/978,0
315,607,518/585,0
858,619,0,442/760
316,620,0,0
442,0,760/775/928/559/661/702/909/951/619/949/858,0
412,0,878/724,0
828,704,980/336,864/865/423/706/762
954,0,754/561/305/786/239,0
347,0,516/914/212,732/848/201
859,606,502/270,812/283/513/364
317,765,812,0
443,0,410/667,202/717/302/757
413,508,0,860/518/802
985,225/504,337,0
925,310/408/510/530/415/707,209/916,0
318,337,0,870/601/769/430/903/936/409/662
570,0,272/814/717/484/610,607/845/308/862/973
956,830,361,0
414,262,0,0
540,434/703/276,804/571,304/681/202
510,530/408/925/415/707,0,650
475,0,203/860,914/631/845
319,0,641/563,309/217
571,0,703/540,202
415,510/530/925,707,650
541,0,458/503/971/509/208/775/530/707,0
928,480/520/623/602,0,435/505/442/760/575/702
512,254/830,979/325,0
989,517,231/616/810,0
573,660/636,417,618/217
417,660,573,870/620/479/539/918
513,937/419,0,283/859/765/606/812
478,229/912,762/770,906
574,765/260/219,0,269
479,501,870,539/918/417
610,215,484/272/570/717/267,908/856/302/410/443/667
575,505,0,806/719/915/432/928/520/970
419,513/937/440,567/740/234/330/216,260/517/734
515,641,712,507
641,515,319/712,660
516,631/718,347/914,203/475
612,763/952/651,507,534/715
517,989,269/734/810/248/947,419/567/260
518,607,315/845,802/413
770,0,404/470/678/706/762/478,256/938
614,740,937,0
740,937/614,234/330/419/567,304/681/606
615,931,0,270/364
260,574,765,419/567/517/269
646,0,212/917/347/718,201/551
772,0,561/863/321/407,0
616,269/231,989/517,0
712,0,515/641,402/531/507/605
773,0,708/331/630/312/847,0
617,508,857/339/781/774/351/978,0
201,908,551/862/973,212/646/917/347/718/845/914
231,269/906/616,989,0
713,0,281/832,0
678,0,404/470/770,0
262,414/608,920,779/815/224/847
774,0,508/339/781/617/857/351/978/413,401/860
618,217,0,573/812/270/364/314/636
202,0,0,410/443/667/717/804/571/703/227/240/301
870,0,501/479,318/662/417/430/903/901/573
714,949/562/626/909/310/323,951,0
810,586/313,989/517,0
775,702,0,435/530/442/458/541/208/442/760
619,858,0,442/760
203,0,475/860,914/631/845
715,0,534/608/920,906/651/320/218
234,0,330/740/216/440/419/567,724
360,0,564/253/206/425/509/503/971,0
872,0,312/773/331/630/224/847,0
716,585,0,814
330,0,234/740/216/440/419/567,724
812,765,317,270/364/618/502/217/859/
361,830/979,956,0
747,0,818/661/805/310/424/626/213,0
331,0,630/779/815/224/847/773/708/312/872,0
717,814,272/570/484/610,410/443/667/202
843,0,803,910/912/704/980
301,410,240,227/814/304/681
813,727/863/941,352,0
205,0,256/938/334/251,662/601/769
206,425/253,0,0
718,917/212/516/631,646/914,732/848/201/551
302,0,0,410/443/667/856/484/610
970,719/303,720,307/435/308
267,0,215/484/610,609/856/908
814,717,724/272/570,716/607/585
