Z_PK,Z_ENT,Z_OPT,ZCOUNT,ZUSEDBYCURRENTUSER,ZCHATMESSAGE,ZCOMMENT,ZPOST,Z_FOK_CHATMESSAGE,Z_FOK_COMMENT,Z_FOK_POST,ZEMOJI
601,18,1,852,0,,,13,,,3072,❤
602,18,1,1274,0,,,8,,,3072,❤
603,18,1,278,0,,,34,,,4096,📸
604,18,1,864,0,,,25,,,4096,🎄
605,18,1,1782,0,,,26,,,2048,👍🏼
606,18,1,910,0,,,37,,,2048,👍
607,18,1,680,0,,,31,,,4096,🙏🏾
608,18,1,646,0,,,32,,,2048,❤
609,18,1,298,0,,,29,,,5120,🥂
610,18,1,229,0,,,35,,,4096,🎯
611,18,1,1562,0,,,27,,,2048,👍
612,18,1,408,0,,,7,,,5120,🙈
613,18,1,1983,0,,,6,,,2048,👍
614,18,1,380,0,,,27,,,4096,🎅🏾
615,18,1,1215,0,,,23,,,2048,👍🏼
616,18,1,335,0,,,37,,,3072,❤
617,18,1,642,0,,,20,,,4096,:heart_outline:
618,18,1,795,0,,,6,,,3072,:peace-sign_rainbow:
619,18,1,527,0,,,35,,,2048,👍
620,18,1,736,0,,,24,,,3072,❤
621,18,1,726,0,,,1,,,3072,❤
622,18,1,1776,0,,,5,,,2048,👍
623,18,1,528,0,,,27,,,5120,💪🏾
624,18,1,1090,0,,,6,,,4096,❤
625,18,1,594,0,,,23,,,3072,❤
626,18,1,311,0,,,23,,,5120,📣
627,18,1,568,0,,,26,,,4096,🥂
628,18,1,447,0,,,14,,,5120,😱
629,18,1,558,0,,,5,,,4096,🏅
630,18,1,719,0,,,29,,,2048,👍🏼
631,18,1,261,0,,,36,,,5120,📊
632,18,1,322,0,,,34,,,3072,❤
633,18,1,855,0,,,27,,,3072,❤
634,18,1,338,0,,,37,,,5120,:cat_face-screaming-in-fear:
635,18,1,1018,0,,,26,,,3072,❤
636,18,1,714,0,,,30,,,3072,❤
637,18,1,221,0,,,34,,,5120,😷
638,18,1,616,0,,,34,,,2048,👍
639,18,1,419,0,,,30,,,4096,:peace-sign_made-of-the-word-peace:
640,18,1,568,0,,,33,,,2048,❤
641,18,1,770,0,,,4,,,3072,❤
642,18,1,566,0,,,28,,,4096,:heart_with-wings:
643,18,1,1408,0,,,1,,,2048,👍
644,18,1,1925,0,,,8,,,4096,👍
645,18,1,422,0,,,29,,,3072,❤
646,18,1,756,0,,,25,,,3072,:heart_ruby:
647,18,1,554,0,,,2,,,3072,❤
648,18,1,563,0,,,25,,,5120,🥂
649,18,1,707,0,,,33,,,3072,👍🏼
650,18,1,448,0,,,36,,,3072,❤
651,18,1,484,0,,,11,,,3072,:cat_party-hat-face:
652,18,1,274,0,,,33,,,4096,:cat_party-hat-face:
653,18,1,351,0,,,24,,,5120,🏁
654,18,1,554,0,,,28,,,5120,💥
655,18,1,710,0,,,15,,,5120,💪
656,18,1,386,0,,,4,,,5120,📢
657,18,1,2444,0,,,15,,,2048,👍
658,18,1,1245,0,,,30,,,2048,👍
659,18,1,447,0,,,21,,,5120,📱
660,18,1,288,0,,,2,,,4096,:bees_cool:
661,18,1,1059,0,,,3,,,2048,👍
662,18,1,645,0,,,12,,,3072,:monkey_santa-hat:
663,18,1,1352,0,,,11,,,4096,👍
664,18,1,275,0,,,2,,,5120,🤳
665,18,1,313,0,,,35,,,3072,❤
666,18,1,404,0,,,1,,,5120,😎
667,18,1,1934,0,,,28,,,2048,👍🏼
668,18,1,613,0,,,6,,,5120,🙂
669,18,1,639,0,,,31,,,5120,😷
670,18,1,1559,0,,,14,,,3072,👍
671,18,1,1089,0,,,8,,,2048,🦃
672,18,1,1728,0,,,7,,,3072,👍
673,18,1,364,0,,,13,,,4096,🗞
674,18,1,1608,0,,,4,,,2048,👍
675,18,1,1563,0,,,13,,,2048,👍
676,18,1,354,0,,,20,,,5120,:panda_party-hat:
677,18,1,370,0,,,32,,,4096,👨👩👧👦
678,18,1,357,0,,,14,,,4096,💸
679,18,1,1412,0,,,31,,,2048,❤
680,18,1,1226,0,,,21,,,4096,👍
681,18,1,1018,0,,,2,,,2048,👍
682,18,1,835,0,,,11,,,2048,:heart_w-love-written-on-it:
683,18,1,569,0,,,8,,,5120,🥳
684,18,1,302,0,,,23,,,4096,:alien_spy-face:
685,18,1,839,0,,,36,,,2048,👍🏼
686,18,1,428,0,,,1,,,4096,🔏
687,18,1,345,0,,,24,,,4096,🎧
688,18,1,428,0,,,5,,,5120,🚀
689,18,1,1312,0,,,28,,,3072,❤
690,18,1,1360,0,,,31,,,3072,👍
691,18,1,370,0,,,11,,,5120,:breads_happy:
692,18,1,1302,0,,,7,,,2048,❤
693,18,1,269,0,,,36,,,4096,💼
694,18,1,317,0,,,33,,,5120,🌐
695,18,1,836,0,,,32,,,3072,👍
696,18,1,361,0,,,32,,,5120,🙂
697,18,1,916,0,,,5,,,3072,❤
698,18,1,1143,0,,,20,,,2048,👍
699,18,1,953,0,,,14,,,2048,❤
700,18,1,1133,0,,,12,,,2048,👍
701,18,1,522,0,,,12,,,4096,🎄
702,18,1,1228,0,,,24,,,2048,👍
703,18,1,504,0,,,7,,,4096,:peace-sign_made-of-the-word-peace:
704,18,1,215,0,,,37,,,4096,🍎
705,18,1,551,0,,,3,,,3072,❤
706,18,1,510,0,,,12,,,5120,☃
707,18,1,343,0,,,3,,,5120,:blobs_very_happy:
708,18,1,432,0,,,4,,,4096,🔏
709,18,1,271,0,,,29,,,4096,📣
710,18,1,385,0,,,3,,,4096,💎
711,18,1,1339,0,,,15,,,3072,❤
712,18,1,574,0,,,21,,,3072,👨👩👧👦
713,18,1,373,0,,,30,,,5120,🌎
714,18,1,370,0,,,13,,,5120,📈
715,18,1,700,0,,,15,,,4096,:heart_w-love-written-on-it:
716,18,1,1496,0,,,25,,,2048,👍🏼
717,18,1,397,0,,,20,,,3072,:blobs_cool:
718,18,1,199,0,,,35,,,5120,💸
719,18,1,420,0,,,26,,,5120,🏁
720,18,1,1033,0,,,21,,,2048,❤
