id,minlat,maxlat,minlong,maxlong
1,22.0,22.5,112.5,113.0
2,22.0,22.5,112.5,113.0
10,22.5,23.0,113.5,114.0
5,22.5,23.0,113.0,113.5
6,22.5,23.0,113.0,113.5
7,22.5,23.0,113.0,113.5
8,22.5,23.0,113.0,113.5
9,22.5,23.0,113.0,113.5
4,22.5,23.0,112.5,113.0
3,22.5,23.0,108.0,108.5
18,23.0,23.5,116.0,116.5
17,23.0,23.5,114.0,114.5
11,23.0,23.5,113.0,113.5
12,23.0,23.5,113.0,113.5
13,23.0,23.5,113.0,113.5
14,23.0,23.5,113.0,113.5
15,23.0,23.5,113.0,113.5
16,23.0,23.5,113.0,113.5
21,28.0,28.5,112.5,113.0
33,30.5,31.0,114.0,114.5
34,30.5,31.0,114.0,114.5
35,30.5,31.0,114.0,114.5
36,30.5,31.0,114.0,114.5
37,30.5,31.0,114.0,114.5
32,30.5,31.0,104.0,104.5
51,33.5,34.0,114.0,114.5
75,39.5,40.0,116.0,116.5
27,30.0,30.5,115.5,116.0
26,30.0,30.5,115.5,116.0
25,30.0,30.5,115.5,116.0
24,29.0,29.5,119.0,119.5
23,29.0,29.5,119.0,119.5
22,29.0,29.5,119.0,119.5
31,30.0,30.5,120.0,120.5
30,30.0,30.5,120.0,120.5
29,30.0,30.5,120.0,120.5
28,30.0,30.5,120.0,120.5
20,27.5,28.0,120.5,121.0
19,27.5,28.0,120.5,121.0
40,31.0,31.5,121.0,121.5
39,31.0,31.5,121.0,121.5
38,31.0,31.5,121.0,121.5
41,31.0,31.5,121.0,121.5
42,31.0,31.5,121.0,121.5
43,31.0,31.5,121.0,121.5
44,31.0,31.5,121.0,121.5
45,31.0,31.5,121.5,122.0
46,31.0,31.5,121.5,122.0
47,31.0,31.5,121.5,122.0
48,31.0,31.5,121.5,122.0
49,31.5,32.0,117.0,117.5
50,32.0,32.5,118.5,119.0
57,35.0,35.5,117.0,117.5
58,35.0,35.5,117.0,117.5
70,39.5,40.0,116.0,116.5
71,39.5,40.0,116.0,116.5
72,39.5,40.0,116.0,116.5
73,39.5,40.0,116.0,116.5
74,39.5,40.0,116.0,116.5
76,39.5,40.0,116.0,116.5
55,34.5,35.0,113.5,114.0
54,34.5,35.0,113.5,114.0
53,34.5,35.0,113.5,114.0
52,34.5,35.0,113.0,113.5
63,37.0,37.5,79.5,80.0
62,37.0,37.5,79.5,80.0
61,37.0,37.5,79.5,80.0
60,37.0,37.5,79.5,80.0
69,39.0,39.5,75.5,76.0
68,39.0,39.5,75.5,76.0
67,39.0,39.5,75.5,76.0
66,39.0,39.5,75.5,76.0
65,39.0,39.5,75.5,76.0
64,39.0,39.5,75.5,76.0
56,34.5,35.0,113.5,114.0
59,36.0,36.5,114.5,115.0
77,41.0,41.5,80.0,80.5
78,41.0,41.5,80.0,80.5
79,41.0,41.5,80.0,80.5
80,41.0,41.5,80.0,80.5
81,41.0,41.5,80.0,80.5
82,41.0,41.5,80.0,80.5
83,41.0,41.5,80.0,80.5
84,41.0,41.5,80.0,80.5
85,41.0,41.5,80.0,80.5
86,41.5,42.0,82.5,83.0
87,41.5,42.0,82.5,83.0
88,41.5,42.0,82.5,83.0
89,41.5,42.0,83.0,83.5
90,43.5,44.0,87.5,88.0
91,43.5,44.0,87.5,88.0
92,43.5,44.0,87.5,88.0
93,43.5,44.0,87.5,88.0
94,43.5,44.0,87.5,88.0
95,43.5,44.0,87.5,88.0
96,43.5,44.0,87.5,88.0
97,44.0,44.5,86.0,86.5
