issuerNameHash,issuerPubKeyHash,serialNum,hashAlgorithm,responseId,certStatus
b'I\xf4\xbd\x8a\x18\xbfv\x06\x98\xc5\xde@-h;qj\xe4\xe6\x86',b'=\xd3P\xa5\xd6\xa0\xad\xee\xf3J`\ne\xd3!\xd4\xf8\xf8\xd6\x0f',b'\x08\x14\x06#\x91\xc8\xa3\x94\xd0o(\xbdwm\xb8Y',b'+\x0e\x03\x02\x1a',507,0
b'\x80Q\x06\x012\xad\x9a\xc2}Q\x87\xa0\xe8\x87\xfb\x01b\x01U\xee',b'\x03\xdeP5V\xd1L\xbbf\xf0\xa3\xe2\x1b\x1b\xc3\x97\xb2=\xd1U',b'\x01\x9e\xc1\xc6\xbd?Y{\xb2\x0c38\xe5Q\xd8w',b'+\x0e\x03\x02\x1a',520,0
b'I\xf4\xbd\x8a\x18\xbfv\x06\x98\xc5\xde@-h;qj\xe4\xe6\x86',b'=\xd3P\xa5\xd6\xa0\xad\xee\xf3J`\ne\xd3!\xd4\xf8\xf8\xd6\x0f',b'\x03a\xec\xe9\xb2J\x8f\xaf\xcc\xa9\x06\xf8\xebA\xff\x06',b'+\x0e\x03\x02\x1a',523,0
b'OY\xa3\x94S\xcf\xb9U\x9e\x7fk\xd8\xc5M\xa5=\xa6B\xb7\x14',b'\x84\x18\xcc\x854\xec\xbc\x0c\x94\x94.\x08Y\x9c\xc7\xb2\x10N\n\x08',b'\x06\x7f\x94W\x85\x87\xe8\xacw\xde\xb2S2[\xbc\x99\x8bV\r',b'+\x0e\x03\x02\x1a',524,0
b'I\xf4\xbd\x8a\x18\xbfv\x06\x98\xc5\xde@-h;qj\xe4\xe6\x86',b'=\xd3P\xa5\xd6\xa0\xad\xee\xf3J`\ne\xd3!\xd4\xf8\xf8\xd6\x0f',"b""\x02\xa3\xa4\xdf\xb2\xe8\xced\xb3q|\x91'\r+\xbe""",b'+\x0e\x03\x02\x1a',531,0
b'I\xf4\xbd\x8a\x18\xbfv\x06\x98\xc5\xde@-h;qj\xe4\xe6\x86',b'=\xd3P\xa5\xd6\xa0\xad\xee\xf3J`\ne\xd3!\xd4\xf8\xf8\xd6\x0f',b'\x07\x98\x89\xa5}\xc6\x10[\xe1J\xff\xe0 h\x9c\xab',b'+\x0e\x03\x02\x1a',534,0
b'\x82m\x1c\n\xba)\xf3\xc2J\xf3I\xca\x04E~\x16$\xc1n\xee',b'\xcf\x85\xf1\xbc8\x18x:U3\xf4V\xca\xc0i\xadwn\xbb\x93',b'\x06\xf7{L\xa2\xe4|\x16<\xd8b\xfbd\x06H\xde',b'+\x0e\x03\x02\x1a',535,0
b'C\x0b\xd2\x0eO\x13z\x1al\x91\x8f$\xe5\xda~2MG3\xc8',b'\x8d\x8c^\xc4T\xad\x8a\xe1w\xe9\x9b\xf9\x9b\x05\xe1\xb8\x01\x8da\xe1',"b""\x00\xe8\xe3'\r\xc9\x81\xc5\xca\xd6\xd9\x0b-Pe\xec\x92""",b'+\x0e\x03\x02\x1a',538,0
b'I\xf4\xbd\x8a\x18\xbfv\x06\x98\xc5\xde@-h;qj\xe4\xe6\x86',b'=\xd3P\xa5\xd6\xa0\xad\xee\xf3J`\ne\xd3!\xd4\xf8\xf8\xd6\x0f',"b'\x02\x84\xde\x85""F\xc8t\x11\'\x06\x9c2<\xdfW'",b'+\x0e\x03\x02\x1a',542,0
b'C\x0b\xd2\x0eO\x13z\x1al\x91\x8f$\xe5\xda~2MG3\xc8',b'\x8d\x8c^\xc4T\xad\x8a\xe1w\xe9\x9b\xf9\x9b\x05\xe1\xb8\x01\x8da\xe1',"b'K\x08c\xe7WB+\xee{8J6,\xc0\xb1A'",b'+\x0e\x03\x02\x1a',543,0
