Z_2RECIPIENTS,Z_3INTERACTIONRECIPIENT
9,13
10,14
12,16
12,17
12,18
12,19
12,20
12,21
12,22
12,23
12,24
12,25
12,26
12,27
12,28
12,29
12,30
12,31
12,32
8,33
14,34
8,36
16,46
16,47
16,48
16,49
16,50
16,51
14,52
14,53
14,54
20,55
14,57
14,58
14,65
20,71
14,80
14,81
14,86
14,91
20,94
12,99
12,100
12,101
14,102
12,103
12,104
12,105
20,106
14,111
20,112
14,113
14,114
12,115
36,116
14,117
14,118
20,119
14,120
20,121
14,127
41,131
14,134
20,135
20,136
20,137
20,141
20,142
20,143
14,147
20,148
20,149
20,150
20,151
20,152
20,153
14,154
20,155
20,156
20,157
20,158
44,159
20,160
20,161
20,162
16,163
45,164
45,165
12,166
12,167
46,168
46,170
47,172
47,173
14,174
46,176
14,177
46,178
46,180
14,181
50,182
46,183
46,184
46,185
14,186
46,187
53,190
20,191
12,192
36,193
12,194
36,195
12,196
36,197
12,198
36,199
20,206
20,207
20,208
20,209
51,214
56,215
46,217
12,218
36,219
12,220
36,221
46,222
46,223
14,225
58,230
59,231
60,232
