composer_pid,composer,sort_composer,grouping_key,cloud_status,representative_item_pid,keep_local,keep_local_status,sync_id
-9129973164828552995,Wu-Tang Clan,,b'VR\x05\x0eP*D6\x04.@*D',0,8877232900939930977,0,0,0
-9060386095815124544,"C. Wallace, Chris Martin & Khary Turner",,b'.\x08\x04V*@@*.2\x06\x04.8L:N\x04B*LP:D\x04\n\x90\x04>8*LZ\x04PRLD2L',0,8877232900939931070,0,0,0
-8697225365496064172,"Alex Grant, Bobby Simmons Jr., Christine Dominguez, Jeremy Dussolliet, Justin Franks & Tim Sommers",,"b'*@2X\x046L*DP\x06\x04,F,,Z\x04N:BBFDN\x04<L\x08\x06\x04.8L:NP:D2\x040FB:D6R2\\\x06\x04<2L2BZ\x040RNNF@@:2P\x06\x04<RNP:D\x044L*D>N\x04\n\x90\x04P:B\x04NFBB2LN'",0,1605611714792925284,0,0,0
-8627252809988268597,"Kanye West, John Stephens, A. Davis, Faheem Najm, Quincy Jones & James Ingram",,b'>*DZ2\x04V2NP\x06\x04<F8D\x04NP2H82DN\x06\x04*\x08\x040*T:N\x06\x044*822B\x04D*<B\x06\x04JR:D.Z\x04<FD2N\x04\n\x90\x04<*B2N\x04:D6L*B',0,8877232900939931030,0,0,0
-8267678784469077083,"Alvin Joiner, Andre Young & Melvin Bradford",,"b'*@T:D\x04<F:D2L\x06\x04*D0L2\x04ZFRD6\x04\n\x90\x04B2@T:D\x04,L*04FL0'",0,8877232900939931000,0,0,0
-8195024367406564317,"Kanye West, Dexter Mills & William Mitchell",,b'>*DZ2\x04V2NP\x06\x0402XP2L\x04B:@@N\x04\n\x90\x04V:@@:*B\x04B:P.82@@',0,8877232900939931037,0,0,0
-8050658053820832942,"Bruno Mars, Christopher ""Brody"" Brown & Philip Lawrence",,"b',LRDF\x04B*LN\x06\x04.8L:NPFH82L\x04\tx,LF0Z\tx\x04,LFVD\x04\n\x90\x04H8:@:H\x04@*VL2D.2'",0,8877232900939931063,0,0,0
-7834288456601056626,"Benjamin Diamond, Alain Queme, Thomas Bangalter, Dominic King & Frank Musker",,"b',2D<*B:D\x040:*BFD0\x06\x04*@*:D\x04JR2B2\x06\x04P8FB*N\x04,*D6*@P2L\x06\x040FB:D:.\x04>:D6\x04\n\x90\x044L*D>\x04BRN>2L'",0,8877232900939931023,0,0,0
-7690962248114225746,Prince,,b'HL:D.2',0,8668036783548290214,0,0,0
-7472974130480022689,"Tony Kanal, Eric Stefani & Gwen Stefani",,b'PFDZ\x04>*D*@\x06\x042L:.\x04NP24*D:\x04\n\x90\x046V2D\x04NP24*D:',0,8877232900939931042,0,0,0
-7400715086873785167,"Talib Kweli, Dante Smith & Tony Cottrell",,"b'P*@:,\x04>V2@:\x06\x040*DP2\x04NB:P8\x04\n\x90\x04PFDZ\x04.FPPL2@@'",0,8877232900939931035,0,0,0
