item_artist_pid,item_artist,sort_item_artist,series_name,sort_series_name,grouping_key,cloud_status,store_id,representative_item_pid,keep_local,keep_local_status,app_data,sync_id
-8915555500530880612,Justice,Justice,,,b'<RNP:.2',0,145072812,8877232900939930997,0,0,,0
-8770436218729684734,Red Hot Chili Peppers,Red Hot Chili Peppers,,,b'L20\x048FP\x04.8:@:\x04H2HH2LN',0,889780,1359453492144287581,0,0,,0
-8698626260020093178,LL Cool J,LL Cool J,,,b'@@\x04.FF@\x04<',0,50311,8877232900939931008,0,0,,0
-8626313782604318604,Jmekka,Jmekka,,,b'<B2>>*',0,192500006,8877232900939931028,0,0,,0
-8626079660653545326,Boys Noize,Boys Noize,,,"b',FZN\x04DF:\\2'",0,60393190,8877232900939931062,0,0,,0
-8194482586557789967,Common,Common,,,b'.FBBFD',0,64490,8877232900939930973,0,0,,0
-8122207692811076257,Swedish House Mafia,Swedish House Mafia,,,b'NV20:N8\x048FRN2\x04B*4:*',0,375569761,8877232900939930979,0,0,,0
-7834395660147510186,Aloe Blacc,Aloe Blacc,,,"b'*@F2\x04,@*..'",0,4750752,8877232900939930984,0,0,,0
-7760424196711317182,Rage Against the Machine,Rage Against the Machine,,,b'L*62\x04*6*:DNP\x04P82\x04B*.8:D2',0,899409,8877232900939931071,0,0,,0
-7691808369855467587,Xzibit,Xzibit,,,"b'X\\:,:P'",0,106492,8877232900939930982,0,0,,0
-7474324310117972096,JAY-Z & LINKIN PARK,JAY-Z & LINKIN PARK,,,b'<*Z\x05\x0e\\\x04\n\x90\x04@:D>:D\x04H*L>',0,1352449404,8877232900939930989,0,0,,0
-7186630511435468995,Foo Fighters,Foo Fighters,,,b'4FF\x044:68P2LN',0,6906197,4334992639745348074,0,0,,0
-7112419235696369869,Lupe Fiasco,Lupe Fiasco,,,b'@RH2\x044:*N.F',0,2851441,8877232900939931053,0,0,,0
-6898938064655782495,Lil Wayne,Lil Wayne,,,b'@:@\x04V*ZD2',0,5869117,8877232900939931040,0,0,,0
-6895901243346599395,Major Lazer,Major Lazer,,,b'B*<FL\x04@*\\2L',0,315761934,1605611714792925283,0,0,,0
-6753389942540449675,The Sweet,Sweet,,,b'P82\x04NV22P',0,492548,8877232900939931058,0,0,,0
-6682991292751313948,The Glitch Mob,Glitch Mob,,,"b'P82\x046@:P.8\x04BF,'",0,314913876,8877232900939931038,0,0,,0
-6463507038775854977,Fort Minor,Fort Minor,,,b'4FLP\x04B:DFL',0,80800060,8877232900939930995,0,0,,0
-6249228590701222714,Junior Senior,Junior Senior,,,b'<RD:FL\x04N2D:FL',0,1586392,8877232900939930961,0,0,,0
-6247288823855887357,Evil Empire,Evil Empire,,,b'2T:@\x042BH:L2',0,300425148,8877232900939930964,0,0,,0
-6031653253235806004,Lenny Kravitz,Lenny Kravitz,,,b'@2DDZ\x04>L*T:P\\',0,160410,8877232900939931025,0,0,,0
-5602331284242500124,Jeezy,Jeezy,,,b'<22\\Z',0,276972832,8877232900939931045,0,0,,0
-5527396071361341347,Steve Aoki,Steve Aoki,,,b'NP2T2\x04*F>:',0,271066694,8877232900939930950,0,0,,0
-5456574838490593451,Warren G,Warren G,,,b'V*LL2D\x046',0,81873252,8877232900939931010,0,0,,0
-5382760933218563802,Pearl Jam,Pearl Jam,,,b'H2*L@\x04<*B',0,467464,8877232900939931059,0,0,,0
-5311663756696429970,NPR,,Up First,,b'RH\x044:LNP',0,0,9037246110081599949,0,0,,0
-5311633851135429549,DJ Jazzy Jeff & The Fresh Prince,DJ Jazzy Jeff & The Fresh Prince,,,b'0<\x04<*\\\\Z\x04<244\x04\n\x90\x04P82\x044L2N8\x04HL:D.2',0,427663727,8877232900939931066,0,0,,0
-5310829185369204248,2Pac,2Pac,,,b'\x0f\x04H*.',0,105998,8877232900939931012,0,0,,0
-5310564315995264780,Edwin Starr,Edwin Starr,,,b'20V:D\x04NP*LL',0,410266,8877232900939931055,0,0,,0
-4952331007150035642,Dr. Dre,Dr. Dre,,,b'0L\x08\x040L2',0,35315,8877232900939930999,0,0,,0
-4951018114657858524,The Crystal Method,Crystal Method,,,b'P82\x04.LZNP*@\x04B2P8F0',0,109716,8877232900939930974,0,0,,0
-4950255469337111856,Bruno Mars,Bruno Mars,,,"b',LRDF\x04B*LN'",0,278873078,8877232900939931063,0,0,,0
-4809559458126180205,Scarface,Scarface,,,b'N.*L4*.2',0,140309,8877232900939931009,0,0,,0
-3945130849721599388,N.W.A.,N.W.A.,,,b'D\x08V\x08*\x08',0,569363,8877232900939931050,0,0,,0
-3942214056266055487,Robbie Williams,Robbie Williams,,,"b'LF,,:2\x04V:@@:*BN'",0,17973,1605611714792925282,0,0,,0
-3798550159000800818,"Stacey Higginbotham, tech journalist",,The Internet of Things Podcast - Stacey On IoT,Internet of Things Podcast - Stacey On IoT,b'P82\x04:DP2LD2P\x04F4\x04P8:D6N\x04HF0.*NP\x04\x05\x0e\x04NP*.2Z\x04FD\x04:FP',0,0,4195528865379591282,0,0,,0
-3440537563798757459,Usher,Usher,,,b'RN82L',0,15885,8877232900939930956,0,0,,0
-3292246759451321924,Mr Jukes,Mr Jukes,,,b'BL\x04<R>2N',0,204005534,8877232900939931064,0,0,,0
-3220815832066871697,Wu-Tang Clan,Wu-Tang Clan,,,b'VR\x05\x0eP*D6\x04.@*D',0,200986,8877232900939930977,0,0,,0
-3148544830208502386,AC/DC,AC/DC,,,b'*.\n\x8a0.',0,5040714,8877232900939931007,0,0,,0
-3078512884138837176,Pete Rock,Pete Rock,,,b'H2P2\x04LF.>',0,3450395,0,0,0,,0
-2932480812751549228,Oakenfold,Oakenfold,,,b'F*>2D4F@0',0,197157996,8877232900939930959,0,0,,0
-2503761684223360596,Skrillex,Skrillex,,,b'N>L:@@2X',0,356545647,8877232900939930983,0,0,,0
-2211988359880043288,A Tribe Called Quest,Tribe Called Quest,,,"b'*\x04PL:,2\x04.*@@20\x04JR2NP'",0,1587965,8877232900939931018,0,0,,0
-2139262550811742936,Rhymefest,Rhymefest,,,b'L8ZB242NP',0,24073593,8877232900939931021,0,0,,0
-1638428631202886603,Modest Mouse,Modest Mouse,,,b'BF02NP\x04BFRN2',0,467112,8877232900939930980,0,0,,0
-773161009448746233,Flo Rida,Flo Rida,,,b'4@F\x04L:0*',0,255303209,8877232900939931039,0,0,,0
-700216785949014552,Helmet & House of Pain,Helmet & House of Pain,,,b'82@B2P\x04\n\x90\x048FRN2\x04F4\x04H*:D',0,105500,8877232900939931051,0,0,,0
-629546770821952432,M.O.P.,M.O.P.,,,b'B\x08F\x08H\x08',0,160390,8877232900939931036,0,0,,0
-626230155824911139,Ghostface Killah,Ghostface Killah,,,b'68FNP4*.2\x04>:@@*8',0,462455,8877232900939930972,0,0,,0
-554427958353958146,Soundgarden,Soundgarden,,,b'NFRD06*L02D',0,133036,8877232900939931056,0,0,,0
-485727149413535646,Freeway,Freeway,,,b'4L22V*Z',0,112076,8877232900939931044,0,0,,0
19521640169017066,Motion City Soundtrack,Motion City Soundtrack,,,b'BFP:FD\x04.:PZ\x04NFRD0PL*.>',0,2930430,8877232900939931024,0,0,,0
90959571780392738,Run The Jewels,Run The Jewels,,,b'LRD\x04P82\x04<2V2@N',0,732932144,8877232900939931067,0,0,,0
164112524110172586,No Doubt,No Doubt,,,"b'DF\x040FR,P'",0,1016512,8877232900939931042,0,0,,0
381469219904215510,Bibio,Bibio,,,"b',:,:F'",0,41467056,3300013925658268594,0,0,,0
597740005727627626,Hieroglyphics,Hieroglyphics,,,b'8:2LF6@ZH8:.N',0,6561970,8877232900939931019,0,0,,0
958672245739683423,Classixx,Classixx,,,b'.@*NN:XX',0,277199459,8877232900939930993,0,0,,0
1027936452957177418,Rihanna,Rihanna,,,b'L:8*DD*',0,63346553,8877232900939930965,0,0,,0
1174556154783447425,Prince,Prince,,,b'HL:D.2',0,155814,8668036783548290214,0,0,,0
1243346240238451156,Kings of Leon,Kings of Leon,,,b'>:D6N\x04F4\x04@2FD',0,1883403,8877232900939931026,0,0,,0
1243954019272229451,Röyksopp,Röyksopp,,,b'LFZ>NFHH',0,3432068,8877232900939930998,0,0,,0
1532002085524841687,Oliver Dollar & Chuck Daniels,Oliver Dollar & Chuck Daniels,,,b'F@:T2L\x040F@@*L\x04\n\x90\x04.8R.>\x040*D:2@N',0,588691487,8877232900939931016,0,0,,0
1535137274782721374,Nas,Nas,,,b'D*N',0,35307,1605611714792925285,0,0,,0
1750919235079846139,"Drake, Kanye West, Lil Wayne & Eminem","Drake, Kanye West, Lil Wayne & Eminem",,,b'0L*>2\x06\x04>*DZ2\x04V2NP\x06\x04@:@\x04V*ZD2\x04\n\x90\x042B:D2B',0,271256,8877232900939931005,0,0,,0
1820999809132358006,Stardust,Stardust,,,b'NP*L0RNP',0,1463775970,8877232900939931023,0,0,,0
1964324915113063086,3rd Bass,3rd Bass,,,"b'\x0f\x05L0\x04,*NN'",0,120567,8877232900939931075,0,0,,0
2039237529461601464,Digital Forensic Survival Podcast,,Digital Forensic Survival Podcast,,b'0:6:P*@\x044FL2DN:.\x04NRLT:T*@\x04HF0.*NP',0,0,2782872375250988681,0,0,,0
2542754665006356767,Guns N' Roses,Guns N' Roses,,,b'6RDN\x04D\tj\x04LFN2N',0,106621,8877232900939930986,0,0,,0
3048209325493916481,DMX,DMX,,,b'0BX',0,135710,8877232900939930953,0,0,,0
3192398568526032025,Daft Punk,Daft Punk,,,b'0*4P\x04HRD>',0,5468295,8877232900939931048,0,0,,0
3260825957236591546,The Chemical Brothers,Chemical Brothers,,,"b'P82\x04.82B:.*@\x04,LFP82LN'",0,3726283,8877232900939930968,0,0,,0
3548921792283213149,Craig Mack,Craig Mack,,,b'.L*:6\x04B*.>',0,2902241,8877232900939931034,0,0,,0
3550636864604579125,Saliva,Saliva,,,b'N*@:T*',0,391630,8877232900939931022,0,0,,0
3766065970867904672,B.o.B,B.o.B,,,"b',\x08F\x08,'",0,259700865,8877232900939930978,0,0,,0
4054820118845943893,Coldplay,Coldplay,,,b'.F@0H@*Z',0,471744,8877232900939931013,0,0,,0
4125828301572920729,Mark Ronson,Mark Ronson,,,b'B*L>\x04LFDNFD',0,14400049,8877232900939931015,0,0,,0
4778001899891955393,Queensrÿche,Queensrÿche,,,b'JR22DNLZ.82',0,165176,8877232900939931054,0,0,,0
4919407284403282585,The Doors & The Crystal Method,Doors & The Crystal Method,,,b'P82\x040FFLN\x04\n\x90\x04P82\x04.LZNP*@\x04B2P8F0',0,1248588,8877232900939931052,0,0,,0
4990677875999079286,Douglas A. Brush | Weekly Interviews w/ InfoSec Pros,,Cyber Security Interviews,,"b'.Z,2L\x04N2.RL:PZ\x04:DP2LT:2VN'",0,0,8103097208985786449,0,0,,0
4991573655022523261,Kaskade & Tamra,Kaskade & Tamra,,,b'>*N>*02\x04\n\x90\x04P*BL*',0,2827464,8877232900939931027,0,0,,0
4992406767707211266,Maroon 5,Maroon 5,,,b'B*LFFD\x04\x0f\x07',0,1798556,8877232900939931020,0,0,,0
5281819502369083199,Run-DMC,Run-DMC,,,b'LRD\x05\x0e0B.',0,15973,8877232900939930981,0,0,,0
5498113812887919296,JAY-Z,JAY-Z,,,b'<*Z\x05\x0e\\',0,1352449404,8877232900939930945,0,0,,0
5569692295981805726,Black Kids,Black Kids,,,"b',@*.>\x04>:0N'",0,277116992,8877232900939930971,0,0,,0
5639351557341440206,"Earth, Wind & Fire","Earth, Wind & Fire",,,b'2*LP8\x06\x04V:D0\x04\n\x90\x044:L2',0,290699,8877232900939931073,0,0,,0
5782662620773110489,Beastie Boys,Beastie Boys,,,"b',2*NP:2\x04,FZN'",2,1971863,6834521314832366794,0,0,,0
6218540896471444143,Consequence,Consequence,,,b'.FDN2JR2D.2',0,2930759,8877232900939931037,0,0,,0
6360423848601748071,The Notorious B.I.G.,Notorious B.I.G.,,,"b'P82\x04DFPFL:FRN\x04,\x08:\x086\x08'",0,5499810,8877232900939931068,0,0,,0
6362056306105238877,Naughty By Nature,Naughty By Nature,,,"b'D*R68PZ\x04,Z\x04D*PRL2'",0,1705602,8877232900939930952,0,0,,0
6577403789595358758,Kanye West,Kanye West,,,b'>*DZ2\x04V2NP',0,2715720,8877232900939930962,0,0,,0
6577909742483587658,Wolfmother,Wolfmother,,,b'VF@4BFP82L',0,27076064,8877232900939930985,0,0,,0
