Z_PK,Z_ENT,Z_OPT,ZAUTHORTS,ZBUNDLEIDTS,ZCONTEXTNAMETS,ZPROCESSIDTS,ZTIMESTAMP,ZAUTHOR,ZBUNDLEID,ZCONTEXTNAME,ZPROCESSID,ZQUERYGEN
1,16002,,1.0,2,4.0,3,606519593.017475,,,,,
2,16002,,1.0,2,4.0,3,606519593.029884,,,,,
3,16002,,1.0,2,8.0,3,606519613.279138,,,,,
4,16002,,9.0,2,10.0,3,606520157.817759,,,,,
5,16002,,9.0,2,10.0,3,606520158.559096,,,,,
6,16002,,,2,13.0,3,606575124.60036,,,,,
7,16002,,,2,13.0,3,606575124.640616,,,,,
8,16002,,,2,13.0,3,606575124.642371,,,,,
9,16002,,1.0,2,15.0,3,606575124.71345,,,,,
10,16002,,16.0,2,19.0,3,606575124.773279,,,,,
11,16002,,16.0,2,10.0,3,606575124.811879,,,,,
12,16002,,9.0,2,10.0,3,606575124.846126,,,,,
13,16002,,16.0,2,10.0,3,606575124.980205,,,,,
14,16002,,1.0,2,15.0,3,606575139.86356,,,,,
15,16002,,16.0,2,19.0,3,606575139.901829,,,,,
16,16002,,16.0,2,10.0,3,606575139.909961,,,,,
17,16002,,9.0,2,10.0,3,606575139.925447,,,,,
18,16002,,16.0,2,10.0,3,606575139.977054,,,,,
19,16002,,1.0,2,15.0,3,606575450.391129,,,,,
20,16002,,16.0,2,10.0,3,606575450.431912,,,,,
21,16002,,16.0,2,19.0,3,606575450.436388,,,,,
22,16002,,9.0,2,10.0,3,606575450.452358,,,,,
23,16002,,16.0,2,10.0,3,606575450.497358,,,,,
24,16002,,28.0,2,29.0,3,606575607.185839,,,,,
25,16002,,28.0,2,29.0,3,606575607.209247,,,,,
26,16002,,28.0,2,29.0,3,606575607.453642,,,,,
27,16002,,28.0,2,15.0,3,606575611.023171,,,,,
28,16002,,16.0,2,10.0,3,606575692.074184,,,,,
29,16002,,16.0,2,10.0,3,606575692.081879,,,,,
30,16002,,1.0,2,15.0,3,606576321.269633,,,,,
31,16002,,16.0,2,19.0,3,606576321.32769,,,,,
32,16002,,1.0,2,15.0,3,606576321.363999,,,,,
33,16002,,16.0,2,19.0,3,606576321.437458,,,,,
34,16002,,16.0,2,10.0,3,606576321.468502,,,,,
35,16002,,1.0,2,15.0,3,606576321.485384,,,,,
36,16002,,9.0,2,10.0,3,606576321.495212,,,,,
37,16002,,16.0,2,19.0,3,606576321.522483,,,,,
38,16002,,1.0,2,15.0,3,606576321.561735,,,,,
39,16002,,16.0,2,19.0,3,606576321.588717,,,,,
40,16002,,1.0,2,15.0,3,606576321.634214,,,,,
41,16002,,16.0,2,19.0,3,606576321.674045,,,,,
42,16002,,16.0,2,10.0,3,606576322.013342,,,,,
43,16002,,16.0,2,10.0,3,606576322.060155,,,,,
44,16002,,9.0,2,10.0,3,606576322.109368,,,,,
45,16002,,16.0,2,10.0,3,606576322.315548,,,,,
46,16002,,28.0,2,29.0,3,606577532.238398,,,,,
47,16002,,28.0,2,29.0,3,606577532.263744,,,,,
48,16002,,28.0,2,29.0,3,606577532.496844,,,,,
49,16002,,1.0,2,15.0,3,606577622.050945,,,,,
50,16002,,16.0,2,19.0,3,606577622.103582,,,,,
51,16002,,1.0,2,15.0,3,606577622.112307,,,,,
52,16002,,16.0,2,19.0,3,606577622.159438,,,,,
53,16002,,16.0,2,10.0,3,606577622.426159,,,,,
54,16002,,9.0,2,10.0,3,606577622.487856,,,,,
55,16002,,16.0,2,10.0,3,606577622.643059,,,,,
56,16002,,28.0,2,29.0,3,606577773.026027,,,,,
57,16002,,28.0,2,29.0,3,606577773.04266,,,,,
58,16002,,28.0,2,29.0,3,606577773.436967,,,,,
59,16002,,16.0,2,10.0,3,606577789.235701,,,,,
60,16002,,16.0,2,10.0,3,606577789.277989,,,,,
61,16002,,16.0,2,10.0,3,606577789.306498,,,,,
62,16002,,1.0,2,42.0,3,606578589.328669,,,,,
63,16002,,16.0,2,19.0,3,606578589.370925,,,,,
64,16002,,16.0,2,10.0,3,606578589.403357,,,,,
65,16002,,9.0,2,10.0,3,606578589.428474,,,,,
66,16002,,16.0,2,10.0,3,606578589.474807,,,,,
67,16002,,1.0,2,15.0,3,606582401.07592,,,,,
68,16002,,9.0,2,10.0,3,606582401.148447,,,,,
69,16002,,9.0,2,10.0,3,606582401.201021,,,,,
70,16002,,1.0,2,15.0,3,606582402.03183,,,,,
71,16002,,1.0,2,15.0,3,606582402.054473,,,,,
72,16002,,16.0,2,19.0,3,606582402.078593,,,,,
73,16002,,1.0,2,29.0,3,606582402.096275,,,,,
74,16002,,16.0,2,10.0,3,606582402.103744,,,,,
75,16002,,9.0,2,10.0,3,606582402.122952,,,,,
76,16002,,16.0,2,10.0,3,606582402.215397,,,,,
77,16002,,1.0,2,15.0,3,606582495.257502,,,,,
78,16002,,1.0,2,15.0,3,606582495.288722,,,,,
79,16002,,16.0,2,19.0,3,606582495.314545,,,,,
80,16002,,1.0,2,29.0,3,606582495.333544,,,,,
81,16002,,16.0,2,10.0,3,606582495.362605,,,,,
82,16002,,9.0,2,10.0,3,606582495.391498,,,,,
83,16002,,16.0,2,10.0,3,606582495.43649,,,,,
84,16002,,1.0,2,15.0,3,606582557.764151,,,,,
85,16002,,1.0,2,15.0,3,606582557.79756,,,,,
86,16002,,16.0,2,19.0,3,606582557.833294,,,,,
87,16002,,1.0,2,29.0,3,606582557.852531,,,,,
88,16002,,16.0,2,10.0,3,606582557.862507,,,,,
89,16002,,9.0,2,10.0,3,606582557.877812,,,,,
90,16002,,16.0,2,10.0,3,606582557.936132,,,,,
91,16002,,,2,13.0,3,606595332.093291,,,,,
92,16002,,1.0,2,15.0,3,606595332.133228,,,,,
93,16002,,16.0,2,10.0,3,606595332.217682,,,,,
94,16002,,16.0,2,19.0,3,606595332.223609,,,,,
95,16002,,9.0,2,10.0,3,606595332.24966,,,,,
96,16002,,16.0,2,10.0,3,606595332.333472,,,,,
97,16002,,,2,13.0,3,606595342.765179,,,,,
98,16002,,1.0,2,15.0,3,606595342.851484,,,,,
99,16002,,16.0,2,10.0,3,606595342.890391,,,,,
100,16002,,16.0,2,10.0,3,606595342.927639,,,,,
101,16002,,28.0,2,29.0,3,606595424.75945,,,,,
102,16002,,28.0,2,29.0,3,606595424.787457,,,,,
103,16002,,28.0,2,29.0,3,606595424.825375,,,,,
104,16002,,28.0,2,29.0,3,606595424.850987,,,,,
105,16002,,28.0,2,29.0,3,606595425.128068,,,,,
106,16002,,1.0,2,15.0,3,606595431.549819,,,,,
107,16002,,16.0,2,10.0,3,606595431.642743,,,,,
108,16002,,16.0,2,19.0,3,606595431.646379,,,,,
109,16002,,9.0,2,10.0,3,606595431.855122,,,,,
110,16002,,16.0,2,10.0,3,606595431.961242,,,,,
111,16002,,28.0,2,29.0,3,606595437.704938,,,,,
112,16002,,1.0,2,15.0,3,606595760.442946,,,,,
113,16002,,16.0,2,19.0,3,606595760.502821,,,,,
114,16002,,16.0,2,10.0,3,606595760.563126,,,,,
115,16002,,9.0,2,10.0,3,606595760.596128,,,,,
116,16002,,16.0,2,10.0,3,606595760.648737,,,,,
117,16002,,16.0,2,10.0,3,606597673.161103,,,,,
118,16002,,16.0,2,10.0,3,606597673.230722,,,,,
119,16002,,16.0,2,10.0,3,606597673.279556,,,,,
120,16002,,16.0,2,10.0,3,606597673.319133,,,,,
121,16002,,16.0,2,10.0,3,606597676.063343,,,,,
122,16002,,16.0,2,10.0,3,606597676.092253,,,,,
123,16002,,16.0,2,10.0,3,606597676.115881,,,,,
124,16002,,16.0,2,10.0,3,606597676.131145,,,,,
125,16002,,16.0,2,10.0,3,606597676.145194,,,,,
126,16002,,16.0,2,10.0,3,606597676.161481,,,,,
127,16002,,16.0,2,10.0,3,606597676.183083,,,,,
128,16002,,16.0,2,10.0,3,606597676.217369,,,,,
129,16002,,16.0,2,10.0,3,606597676.234081,,,,,
130,16002,,9.0,2,10.0,3,606597676.760125,,,,,
131,16002,,16.0,2,10.0,3,606597676.859564,,,,,
132,16002,,28.0,2,29.0,3,606598068.189649,,,,,
133,16002,,28.0,2,29.0,3,606598107.876494,,,,,
134,16002,,28.0,2,29.0,3,606598109.609726,,,,,
135,16002,,28.0,2,29.0,3,606598135.994084,,,,,
136,16002,,28.0,2,29.0,3,606598136.031009,,,,,
137,16002,,28.0,2,29.0,3,606598136.217523,,,,,
138,16002,,28.0,2,29.0,3,606598136.272188,,,,,
139,16002,,28.0,2,29.0,3,606598136.837549,,,,,
140,16002,,28.0,2,29.0,3,606598139.699074,,,,,
141,16002,,28.0,2,29.0,3,606598140.035106,,,,,
142,16002,,28.0,2,29.0,3,606598140.245837,,,,,
143,16002,,28.0,2,29.0,3,606598140.683071,,,,,
144,16002,,28.0,2,29.0,3,606598141.429062,,,,,
145,16002,,28.0,2,29.0,3,606598141.596883,,,,,
146,16002,,28.0,2,29.0,3,606598141.791242,,,,,
147,16002,,28.0,2,29.0,3,606598141.921445,,,,,
148,16002,,28.0,2,29.0,3,606598142.077067,,,,,
149,16002,,28.0,2,29.0,3,606598143.792881,,,,,
150,16002,,28.0,2,29.0,3,606598144.01969,,,,,
151,16002,,28.0,2,29.0,3,606598144.249644,,,,,
152,16002,,28.0,2,29.0,3,606598144.443367,,,,,
153,16002,,28.0,2,29.0,3,606598145.966132,,,,,
154,16002,,28.0,2,29.0,3,606598146.170978,,,,,
155,16002,,28.0,2,29.0,3,606598146.375567,,,,,
156,16002,,1.0,2,29.0,3,606598146.670951,,,,,
157,16002,,28.0,2,29.0,3,606598146.77093,,,,,
158,16002,,28.0,2,29.0,3,606598146.859252,,,,,
159,16002,,28.0,2,29.0,3,606598146.890772,,,,,
160,16002,,28.0,2,29.0,3,606598146.91635,,,,,
161,16002,,28.0,2,29.0,3,606598146.944725,,,,,
162,16002,,28.0,2,29.0,3,606598146.973632,,,,,
163,16002,,28.0,2,29.0,3,606598147.002324,,,,,
164,16002,,28.0,2,29.0,3,606598147.028308,,,,,
165,16002,,28.0,2,29.0,3,606598147.055675,,,,,
166,16002,,28.0,2,29.0,3,606598147.086094,,,,,
167,16002,,28.0,2,29.0,3,606598147.117759,,,,,
168,16002,,28.0,2,29.0,3,606598147.149284,,,,,
169,16002,,28.0,2,29.0,3,606598147.177507,,,,,
170,16002,,28.0,2,29.0,3,606598147.210469,,,,,
171,16002,,1.0,2,15.0,3,606619018.451418,,,,,
172,16002,,16.0,2,19.0,3,606619018.524039,,,,,
173,16002,,16.0,2,10.0,3,606619018.596591,,,,,
174,16002,,9.0,2,10.0,3,606619018.632626,,,,,
175,16002,,16.0,2,10.0,3,606619018.768989,,,,,
176,16002,,16.0,2,10.0,3,606619020.50297,,,,,
177,16002,,16.0,2,10.0,3,606619020.85525,,,,,
178,16002,,16.0,2,10.0,3,606619020.873619,,,,,
179,16002,,1.0,2,42.0,3,606619955.663592,,,,,
180,16002,,16.0,2,19.0,3,606619955.748381,,,,,
181,16002,,16.0,2,10.0,3,606619957.563653,,,,,
182,16002,,9.0,2,10.0,3,606619957.596147,,,,,
183,16002,,16.0,2,10.0,3,606619957.689003,,,,,
184,16002,,16.0,2,10.0,3,606619959.372636,,,,,
185,16002,,16.0,2,10.0,3,606619959.642211,,,,,
186,16002,,16.0,2,10.0,3,606619959.660511,,,,,
187,16002,,28.0,2,29.0,3,606619962.897904,,,,,
188,16002,,28.0,2,29.0,3,606619962.922336,,,,,
189,16002,,28.0,2,29.0,3,606619963.175421,,,,,
190,16002,,1.0,2,42.0,3,606621142.606541,,,,,
191,16002,,16.0,2,19.0,3,606621142.669705,,,,,
192,16002,,16.0,2,10.0,3,606621142.718068,,,,,
193,16002,,9.0,2,10.0,3,606621142.776072,,,,,
194,16002,,16.0,2,10.0,3,606621142.845485,,,,,
195,16002,,16.0,2,10.0,3,606621146.57046,,,,,
196,16002,,16.0,2,10.0,3,606621146.812119,,,,,
197,16002,,16.0,2,10.0,3,606621146.835213,,,,,
198,16002,,16.0,2,19.0,3,606688376.603086,,,,,
199,16002,,1.0,2,29.0,3,606688920.519222,,,,,
200,16002,,28.0,2,29.0,3,606689302.514896,,,,,
201,16002,,28.0,2,29.0,3,606689346.916103,,,,,
202,16002,,28.0,2,29.0,3,606689347.125726,,,,,
203,16002,,28.0,2,29.0,3,606689347.385398,,,,,
204,16002,,28.0,2,29.0,3,606689362.977668,,,,,
205,16002,,28.0,2,29.0,3,606689362.995047,,,,,
206,16002,,28.0,2,29.0,3,606689363.431244,,,,,
207,16002,,28.0,2,29.0,3,606689363.490802,,,,,
208,16002,,28.0,2,29.0,3,606689363.542181,,,,,
