Z_PK,Z_ENT,Z_OPT,ZANALYSISSTATE,ZWORKERFLAGS,ZWORKERTYPE,ZASSET,Z34_ASSET,ZIGNOREUNTILDATE,ZLASTIGNOREDDATE,ZSORTTOKEN,ZASSETUUID
1,4,3,20,0,4,1,35,,,606575104.0,6F8C71F7-92AE-42D0-8FC2-1B4B9FC879E1
2,4,3,20,0,4,2,35,,,606575168.0,B1CAC0C5-E697-4F2A-BC23-58B9422C59EC
3,4,3,20,0,4,3,35,,,606575424.0,265EB474-2490-4A7C-A9DC-43BE8A1C38A2
4,4,3,20,0,4,4,35,,,606576320.0,E4EDB8F5-733F-4929-9757-D669C8F06782
5,4,3,20,0,4,5,35,,,606576320.0,9518AA42-6957-4F36-9616-3F94D982960B
6,4,3,20,0,4,6,35,,,606576320.0,62E610A5-1A6A-4550-83D3-268DF5531AAA
7,4,3,20,0,4,7,35,,,606576320.0,E5E42C05-1E18-4506-9BEF-777C9ABAAC15
8,4,3,20,0,4,8,35,,,606576320.0,F4E94CE7-8216-4B3A-99F1-9BF2B5E52A81
9,4,3,20,0,4,9,35,,,606576640.0,9D06954C-AF54-4711-9B2F-84CB05648D26
10,4,3,20,0,4,10,35,,,606577216.0,E2F7C806-29E4-4D3A-AC91-8B6B6571E5CA
11,4,3,20,0,4,11,35,,,606578560.0,DC43D245-B851-4E5F-AB14-2A8505AC23B8
12,4,3,20,0,4,12,35,,,606582400.0,2A728D48-B5C5-474B-9F71-3A77297BE885
13,4,3,20,0,4,13,35,,,606582464.0,F24831C4-D627-474C-B87C-403E40F4210C
14,4,3,20,0,4,14,35,,,606582528.0,83B59B2F-BB80-4B1A-8A45-A09A042D7298
15,4,10,20,0,4,15,35,,,606595328.0,7E073B5C-871A-47DF-91F6-DAA5482B7B72
16,4,3,20,0,4,16,35,,,606595456.0,8EF8F25A-06DE-49CA-9D19-30F4B90DC87F
17,4,3,20,0,4,17,35,,,606595776.0,1A305CC8-95FE-41F9-BDFD-FEF6B85431E2
18,4,3,20,0,4,18,35,,,606619008.0,43B61EA4-FCE3-41BE-B416-F213778762B3
19,4,3,20,0,4,19,35,,,606619968.0,8F23BDAD-9286-4FCB-AEB2-1CDE18A9FF21
20,4,3,20,0,4,20,35,,,606621120.0,FCE25ABF-58AA-4AE3-A7A9-0D1B90EDCA8E
21,4,3,20,0,4,21,35,,,606749248.0,31C2E53E-2A88-4866-8B70-178365AF8136
22,4,9,20,0,4,22,35,,,606793984.0,72A34728-7BF8-4F70-A0DE-48C3853D87F2
23,4,3,20,0,4,23,35,,,606941696.0,921D69FD-ABAB-4932-ABB8-0D9EA250ABD6
24,4,3,20,0,4,24,35,,,606941888.0,5FB39B5F-F70D-419D-8FB7-3FA468666B96
25,4,3,20,0,4,25,35,,,606942208.0,8C8A1F6D-1E8A-4C2B-8162-89CE3D819179
26,4,3,20,0,4,26,35,,,606942272.0,D58B51B1-8B77-4C7E-B671-FD114186834B
27,4,3,20,0,4,27,35,,,606942592.0,198334E4-0101-497A-9132-F121B601D74E
28,4,3,20,0,4,28,35,,,606962304.0,DDCED3AD-B567-4800-82B7-DF2DD5F7F8E0
29,4,3,20,0,4,29,35,,,606962304.0,37669042-037D-4CBB-9C68-A3581ABA5802
30,4,3,20,0,4,30,35,,,606964800.0,19A78A33-858E-4154-81C3-2EA504CE656D
31,4,3,20,0,4,31,35,,,607806784.0,B91C555D-2233-459A-9AE2-09A319C5B1FB
32,4,3,20,0,4,32,35,,,607807616.0,6A232AA2-9873-4001-AE48-BBC643118311
33,4,3,20,0,4,33,35,,,608320576.0,19BCD143-F826-4D3A-AF2B-936E88F67BCD
34,4,3,20,0,4,34,35,,,608320640.0,0AA9F619-A3E3-4771-8657-FD0FE9FA85BC
35,4,3,20,0,4,35,35,,,608345088.0,F5E0175E-78B6-4851-BCAB-3FC097E85C56
36,4,3,20,0,4,36,35,,,608347776.0,0951A9FC-59AE-4D49-ADC5-49DA154F45AD
37,4,3,20,0,4,37,35,,,608349440.0,0F6FC0BF-D654-48D9-9871-136A1CF9006C
38,4,3,20,0,4,38,35,,,608389120.0,47ADC58D-B9C3-4AAA-AD06-C121B663E4A8
39,4,3,20,0,4,39,35,,,608390720.0,2CFF34E9-EC31-405B-95BE-CA163737C0F2
40,4,3,20,0,4,40,35,,,608390720.0,96478E6A-01F4-4063-88EC-394439AE8016
41,4,3,20,0,4,41,35,,,608390784.0,96DEFF30-47F3-4CAE-8E7B-C17424B2F21E
42,4,3,20,0,4,42,35,,,608390784.0,8FF027A1-313F-4273-9FE8-15343E91C438
43,4,3,20,0,4,43,35,,,608390848.0,8868C8F6-6C7F-44EC-B6C8-B5CC25DB1607
44,4,3,20,0,4,44,35,,,608390848.0,288FB0E3-2E1A-4691-B4BC-14459E4DB8A9
45,4,3,20,0,4,45,35,,,608390912.0,5A1FBA48-26FE-4BB8-9B03-766766C96D9D
46,4,3,20,0,4,46,35,,,608390976.0,8E0CE153-9F85-4C08-BB13-C626EE9C8DC3
47,4,1,-10,1,4,47,35,,,608394176.0,8C182AC2-4AB2-474E-8A38-0A357C4C26E9
48,4,1,-10,1,4,48,35,,,608394240.0,2BD2A631-4711-4E5F-B6A5-15A208300048
49,4,3,20,0,4,49,35,,,608394240.0,1A810E2E-7877-40AC-AE5A-710CBC9A5806
50,4,1,-10,1,4,50,35,,,608394240.0,1F640F7A-B5EA-420F-84F3-0B135D95EA1B
51,4,3,20,0,4,51,35,,,608394240.0,08B95C55-B269-45B2-8E8E-541C1ECD3CC4
52,4,9,20,0,4,52,35,,,608394304.0,A089CEE0-5BFD-46BB-AA26-CA0FACA494D2
53,4,1,-10,1,4,53,35,,,608394432.0,ACA34C13-8B8E-4E10-8C52-4EE9D5B78523
54,4,5,20,0,4,54,35,,,608394432.0,1C784772-950B-4B75-9975-141B35A53922
55,4,1,-10,1,4,55,35,,,608395648.0,40A675E0-A365-43FD-9C11-4EE1A2A3FBDA
56,4,3,20,0,4,56,35,,,608395648.0,A5D65C81-EA15-4659-B6CA-2CBC09118065
57,4,3,20,0,4,57,35,,,606865728.0,65CC1CD5-ACD0-4AD4-BCC9-6402BEDA04D3
58,4,3,20,0,4,58,35,,,608744448.0,26E6B58A-87D6-41A6-A34E-709C8B206ECD
59,4,3,20,0,4,59,35,,,608745280.0,03486CE1-EB3F-46A2-8A29-D1CA1DB55E47
