Z_PK,Z_ENT,Z_OPT,ZCLOUDLOCALSTATE,ZFULLSIZEJPEGSOURCE,ZIMPORTEDBY,ZORIGINALORIENTATION,ZPLACEHOLDERSTATE,ZVIDEOFRAMERATE,ZMEDIAMETADATA,ZMOMENTSHARE,ZCREATIONDATE,ZIMPORTDATE,ZCLOUDMASTERGUID,ZCODECNAME,ZIMPORTSESSIONID,ZMEDIAMETADATATYPE,ZORIGINALFILENAME,ZORIGINATINGASSETIDENTIFIER,ZUNIFORMTYPEIDENTIFIER
1,9,3,3,1,3,1,0,0,1,,606575124.5410407,606575124.564206,AdluKXTqdT5hYAht7oYJ6ZHGL5nR,,,CGImageProperties,IMG_0001.JPG,,public.jpeg
2,9,3,3,1,3,1,0,0,2,,606575139.7621118,606575139.765026,AaAEbw54H+jkCohzjSK5nD+X2oUu,,,CGImageProperties,IMG_0002.JPG,,public.jpeg
3,9,3,3,1,3,1,0,0,3,,606575450.3272835,606575450.328813,AdUVd0jLsm4lW06dzbdhEwRq6/sf,,,CGImageProperties,IMG_0003.JPG,,public.jpeg
4,9,3,3,1,3,1,0,0,4,,606576302.6783559,606576321.291399,AUceBfHsC3bqST27CXYcTdCn7Uan,,,CGImageProperties,IMG_0207.jpg,,public.jpeg
5,9,3,3,1,3,1,0,0,5,,606576302.9694172,606576321.20214,AbzTuP5zd7v9nhtYzwoDtJNZB+Sv,,,CGImageProperties,IMG_0727.jpg,,public.jpeg
6,9,3,3,1,3,1,0,0,7,,606576302.8158295,606576321.57976,AfzpG8ZJJ3RW5tzHOvk0Z5l7h/Rm,,,CGImageProperties,IMG_0622.jpg,,public.jpeg
7,9,3,3,1,3,1,0,0,8,,606576302.7833607,606576321.505905,ARQSLkubpYCDgjFRnXaYB44rpLSm,,,CGImageProperties,IMG_0307.jpg,,public.jpeg
8,9,3,3,1,3,1,0,0,6,,606576302.7342823,606576321.424513,AYXN/chzmCryvkLBw2g12oYKp5A4,,,CGImageProperties,IMG_0281.jpg,,public.jpeg
9,9,3,3,1,3,1,0,0,9,,606577214.935,606577622.074259,AZAw72WQ316oiH6i4OOFj7Va7OEI,,,CGImageProperties,IMG_0432.JPG,,public.jpeg
10,9,3,3,1,3,1,0,0,10,,606576663.109,606577621.964396,AYH38TRIRXvxHhCHmlLoXSfV0ZUL,,,CGImageProperties,IMG_0431.JPG,,public.jpeg
11,9,3,3,1,6,1,0,0,11,,606578589.2570082,606578589.270193,AYn+f4B32ZKWo4nBvtNX+ObLJAtN,,,CGImageProperties,IMG_0011.JPG,,public.jpeg
12,9,3,3,1,3,1,0,0,12,,606582401.1259888,606582401.930917,ARR83MU8kpQs8J829zKt25i9Nhn7,,,CGImageProperties,BC7A0DBA-2A32-456C-B716-1838DD52EB35.jpg,,public.jpeg
13,9,3,3,1,3,1,0,0,13,,606582494.1594263,606582495.178322,AWmcc0cLKZ+rfjMJZuLgqrAVUB4F,,,CGImageProperties,085C30B8-FD6F-4F24-A0C4-30E04FCEB795.jpg,,public.jpeg
14,9,3,3,1,3,1,0,0,14,,606582556.2506679,606582557.683429,ATJiyq1gcjGl+YuXcq/qvLfE5Qx3,,,CGImageProperties,C5FC97F1-1825-4802-83F0-92AB720D5959.jpg,,public.jpeg
15,9,3,3,1,3,1,0,0,15,,606595331.0,606595332.007215,AZVLjwmI2NUngsOAT25CTj2QlJJq,,,CGImageProperties,IMG_0015.PNG,,public.png
16,9,3,3,1,3,1,0,0,17,,606595431.104936,606595431.201642,AUsNhG5JvENTyxve+mBbBGDyFzoo,,,CGImageProperties,47BD0E33-20A5-4C3D-922E-16DDA30D6460.jpg,,public.jpeg
17,9,3,3,1,3,1,0,0,18,,606595760.3305112,606595760.375119,ASr5ISDuhpmQ0NgqQAeVD/z9FJ1o,,,CGImageProperties,598AC2C2-A45F-4325-891A-B238D460310D.jpg,,public.jpeg
18,9,3,3,1,3,1,0,0,19,,606619018.1520835,606619018.331781,AaQ+YsjgkZtcdhdkmkri45ZOG7Iq,,,CGImageProperties,image_960432F8-F72D-4812-AC24-13D1A552AFDF.jpg,,public.jpeg
19,9,3,3,1,6,1,0,0,20,,606619955.4960778,606619955.522483,ASvKZRAjM5gQ3PwmB0vlX6HsJZDd,,,CGImageProperties,IMG_0019.JPG,,public.jpeg
20,9,3,3,1,6,1,0,0,21,,606621142.3057288,606621142.360331,AWAQk/zCf8KuCXeqmCJEHyhHDS+7,,,CGImageProperties,IMG_0020.PNG,,public.png
21,9,3,3,1,3,1,0,0,22,,606749276.3898158,606749276.394654,AeUSefYg+dU577cL1QG/SW6MQfdu,,,CGImageProperties,IMG_0021.JPG,,public.jpeg
22,9,3,3,1,3,1,0,0,23,,606793952.0,606793952.82873,AdDoggBpU5Qj6Iw5I+bPo2avccY7,,,CGImageProperties,IMG_0022.PNG,,public.png
23,9,3,3,1,6,1,0,0,25,,606941715.1401957,606941715.157387,AR4SfUoyEEv0dvtnGGXkX/2gADwG,,,CGImageProperties,IMG_0023.JPG,,public.jpeg
24,9,3,3,1,6,1,0,0,26,,606941884.1665974,606941884.170209,AT9OXbw88xBfaZLLrpD7RzYByGd9,,,CGImageProperties,IMG_0024.JPG,,public.jpeg
25,9,3,3,1,6,1,0,0,27,,606942179.7701001,606942179.786997,Aai+EkWsexBZW6gda3LUjByfb9Vg,,,CGImageProperties,IMG_0025.JPG,,public.jpeg
26,9,3,3,1,6,1,0,0,28,,606942246.1690487,606942246.172474,AV31olS8Ngyr/HPlAKOdq5H8iaqJ,,,CGImageProperties,IMG_0026.JPG,,public.jpeg
27,9,4,3,1,6,1,0,0,29,,606942615.1636992,606942615.394949,Ad0ZVX1Ah2dNnWj+fVnL9S3cr5bG,,,CGImageProperties,IMG_0027.JPG,,public.jpeg
28,9,4,3,1,3,1,0,0,30,,606962280.0,606962281.250071,ATQHNc3nC3TnJInehSexxbSax1Sh,,,CGImageProperties,c1755af3-5af8-446d-9d97-31b697d190af.jpg,,public.jpeg
29,9,3,3,1,6,1,0,0,31,,606964802.4356472,606964802.450454,AUAmlX7Zq6DHddJG7f71+C6Kv8MI,,,CGImageProperties,IMG_0030.PNG,,public.png
30,9,3,3,1,6,1,0,0,32,,607806800.6530997,607806800.674272,ATDs3uSeedW4QCQmdzYAl8irj9Gu,,,CGImageProperties,IMG_0031.JPG,,public.jpeg
31,9,3,3,1,6,1,0,0,33,,607807637.8156989,607807637.829081,AddZnY4GkSvu22lxIbilZCb6gcbj,,,CGImageProperties,IMG_0032.JPG,,public.jpeg
32,9,3,3,1,1,6,0,0,35,,608320615.8685725,608320616.052433,AQwn9nj6bh+pEVbmphPzkMw5fPjj,,,CGImageProperties,IMG_0034.JPG,,public.jpeg
33,9,3,3,1,1,6,0,0,34,,608320569.2816672,608320569.660951,AYb5mkd4sCXyD0qg5hGcl3Jp6vyR,,,CGImageProperties,IMG_0033.JPG,,public.jpeg
34,9,3,3,1,6,1,0,0,36,,608345100.1966687,608345100.212657,AXcOFFtjN1TXN/nApxkFTg+BEP64,,,CGImageProperties,IMG_0035.JPG,,public.jpeg
35,9,3,3,1,6,1,0,0,37,,608347752.2444658,608347752.275629,Ac5GT+os3GpHe/XURnlczLN0MNtH,,,CGImageProperties,IMG_0036.JPG,,public.jpeg
36,9,3,3,0,3,1,0,30,38,,608349429.0,608349432.187898,AcZ6v4LYAnVttlAS5l7Vo1Ce6atx,H.264,,AVAssetProxy,f676a0749a13b99a7209d4cc053e0c28.mov,,com.apple.quicktime-movie
37,9,3,3,1,9,1,0,0,39,,608389105.1502706,608389105.156867,Aex1xJEWf/PLf4U/N4Wv/Y/qmKvh,,,CGImageProperties,IMG_0038.JPG,,public.jpeg
38,9,3,3,1,3,1,0,0,40,,608390700.0,608390700.369266,ATCBIF6GrqJ1G/m1XLwmzjDMnkHK,,,CGImageProperties,IMG_0039.PNG,,public.png
39,9,3,3,1,3,1,0,0,41,,608390726.0,608390726.660095,AShMj4Ih9LeLq0ezBPCijz0ZtBdP,,,CGImageProperties,IMG_0040.PNG,,public.png
40,9,3,3,1,3,1,0,0,42,,608390773.0,608390773.82038,AZ9SEbu+sjG98dlA4t8DAzI3+AiW,,,CGImageProperties,IMG_0041.PNG,,public.png
41,9,3,3,1,3,1,0,0,43,,608390790.0,608390791.064269,Aal7CEr/o5CHYrUQrz3eSJVoq2WV,,,CGImageProperties,IMG_0042.PNG,,public.png
42,9,3,3,1,3,1,0,0,44,,608390827.0,608390827.949491,AdZYczfqZ703RImLVLeuVNahnRjX,,,CGImageProperties,IMG_0043.PNG,,public.png
43,9,3,3,1,3,1,0,0,45,,608390849.0,608390849.826394,AbTOVumEDos4nXYAIURLu4i7Yk8M,,,CGImageProperties,IMG_0044.PNG,,public.png
44,9,3,3,1,3,1,0,0,46,,608390934.0,608390934.611421,ASz3c3FpE4vk4xr41w57luSFsOs2,,,CGImageProperties,IMG_0045.PNG,,public.png
45,9,3,3,1,3,1,0,0,47,,608390961.0,608390962.06688,Af/314sGR+tOpCbQvRTNMj9P66Ow,,,CGImageProperties,IMG_0046.PNG,,public.png
46,9,4,3,1,1,1,0,0,48,,608394190.4792306,608394190.752453,AQLPgzYpZtx0/l+K+VULcJQ+uSBT,,,CGImageProperties,IMG_0047.JPG,,public.jpeg
47,9,3,3,1,3,1,0,0,49,,608394244.0,608394244.263782,Ab5Pmc8/JTOFCEYXftlICtLqIT/D,,,CGImageProperties,IMG_0049.PNG,,public.png
48,9,4,3,1,3,1,0,0,50,,608394243.0,608394244.130864,AYuwuWo1LDG4hHQ9cZCx1nqYd4vc,,,CGImageProperties,IMG_0048.PNG,,public.png
49,9,3,3,1,3,1,0,0,51,,608394264.0,608394265.174128,AXaEz67R38qM4uc+3kB9xvWFqDGq,,,CGImageProperties,IMG_0051.PNG,,public.png
50,9,4,3,1,3,1,0,0,52,,608394264.0,608394265.038623,AfMTj/TGywK+WOVWIy9Dv9eC+S0m,,,CGImageProperties,IMG_0050.PNG,,public.png
51,9,3,3,1,1,1,0,0,53,,608394313.1472422,608394313.376081,AebHFz5CYzdPOHqLaYCQqYf7Iujb,,,CGImageProperties,IMG_0052.JPG,,public.jpeg
52,9,4,3,1,3,1,0,0,54,,608394454.0,608394454.346502,Aa6om4onlsOnTRk70rxgTQqnGJva,,,CGImageProperties,IMG_0053.PNG,,public.png
53,9,3,3,1,3,1,0,0,55,,608394454.0,608394454.507178,AdwPDTYjeQ1w4n0fwdQqunPdlRqS,,,CGImageProperties,IMG_0054.PNG,,public.png
54,9,4,3,1,3,1,0,0,56,,608395671.804769,608395679.09401,AdNMVMp8/MCDEUchPwGi9hzLiJw1,,,CGImageProperties,IMG_0055.PNG,,public.png
55,9,3,3,1,3,1,0,0,57,,608395677.724489,608395687.8371,AQ/oy9V3I0gVfNjCnhJ3bcBNTnxV,,,CGImageProperties,IMG_0056.PNG,,public.png
56,9,3,3,1,3,1,0,0,59,,606865728.105,608397114.048175,Ac5Cjwi5ftt0KMi8RHpVY6fmoWw3,,,CGImageProperties,IMG_0438.JPG,,public.jpeg
