Z_PK,Z_ENT,Z_OPT,ZASSETSCOUNT,ZCATEGORY,ZDAYGROUPASSETSCOUNT,ZDAYGROUPEXTENDEDASSETSCOUNT,ZDAYGROUPSUMMARYASSETSCOUNT,ZENDTIMEZONEOFFSET,ZENRICHMENTSTATE,ZENRICHMENTVERSION,ZEXTENDEDCOUNT,ZHIGHLIGHTVERSION,ZISCURATED,ZKIND,ZMOOD,ZSTARTTIMEZONEOFFSET,ZSUMMARYCOUNT,ZTYPE,ZVISIBILITYSTATE,ZDAYGROUPKEYASSET,Z34_DAYGROUPKEYASSET,ZKEYASSET,Z34_KEYASSET,ZMONTHFIRSTASSET,Z34_MONTHFIRSTASSET,ZMONTHKEYASSET,Z34_MONTHKEYASSET,ZPARENTDAYGROUPPHOTOSHIGHLIGHT,ZPARENTPHOTOSHIGHLIGHT,ZYEARKEYASSET,Z34_YEARKEYASSET,ZENDDATE,ZPROMOTIONSCORE,ZSTARTDATE,ZSUBTITLE,ZTITLE,ZUUID,ZVERBOSESMARTDESCRIPTION
1,47,85,0,0,0,0,0,0,4,28,0,28,0,1,0,0,0,0,2,,,,,1.0,35.0,7.0,35.0,,3.0,,,606964802.4356472,0.45,606575124.5410407,2020,March,1A89390B-5BB2-4B40-98D1-28BBFDD2E2CF,
2,47,89,20,0,0,0,0,-14400,4,21,10,21,1,0,16,-14400,7,0,3,,,7.0,35.0,,,,,,1.0,,,606621142.3057288,0.45,606575124.5410407,,Mar 22,B4226C96-28A2-47AF-BD09-21435C32AA37,
3,47,109,0,0,0,0,0,0,4,50,0,52,0,2,0,0,0,0,4,,,,,,,,,,,33.0,35.0,608745298.0,0.45,606575124.5410407,,2020,6473B452-3965-4A47-AD8E-BA40F55B871E,
4,47,46,2,0,0,0,0,-14400,4,3,1,4,0,0,16,-14400,1,6,0,,,21.0,35.0,,,,,6.0,1.0,,,606793952.0,0.25,606749276.3898158,,Mar 24,C0A0477A-67C0-49EB-ADFC-B92E22522ADE,
5,47,39,8,0,0,0,0,-14400,4,9,1,9,0,0,16,-14400,1,6,0,,,30.0,35.0,,,,,6.0,1.0,,,606964802.4356472,0.25,606941715.1401957,,Mar 26,97708402-FD70-4E46-94D6-AE98A7E92B8C,
6,47,39,0,0,11,1,2,-14400,4,2,0,2,1,3,0,-14400,0,3,1,30.0,35.0,,,,,,,,1.0,,,606964802.4356472,0.25,606749276.3898158,,Mar 26,9C5FD9B6-4D2A-4AD5-9A4E-A36CA0201DD3,
7,47,55,0,0,0,0,0,0,4,26,0,28,0,1,0,0,0,0,2,,,,,31.0,35.0,33.0,35.0,,3.0,,,608745298.0,0.25,607806800.6530997,2020,April,F76BA25C-B8CC-4B1E-B71A-2F4EFAC469A7,
8,47,58,2,0,0,0,0,-14400,4,3,1,4,1,0,16,-14400,1,6,0,,,32.0,35.0,,,,,10.0,7.0,,,607807637.8156989,0.25,607806800.6530997,,Apr 5,B2D6C118-A6D7-43EE-8E6D-3257D9CA7553,
9,47,55,5,0,0,0,0,-14400,4,6,1,6,1,0,64,-14400,1,6,0,,,33.0,35.0,,,,,10.0,7.0,,,608349429.0,0.25,608320569.2816672,Holly Springs,Saturday,BC89127A-E3B7-4CDB-80BC-B6FDD2E3F24F,Holly Springs
10,47,45,0,0,21,3,3,-14400,4,1,0,2,1,3,0,-14400,0,3,3,33.0,35.0,,,,,,,,7.0,,,608395677.724489,0.25,607806800.6530997,Holly Springs,Apr 5 – 12,38D2B0AE-C7E3-4FE8-B424-912F9D673132,
11,47,51,14,0,0,0,0,-14400,4,20,1,20,1,0,16,-14400,1,6,0,,,52.0,35.0,,,,,10.0,7.0,,,608395677.724489,0.25,608389105.1502706,Holly Springs,Sunday,6DFF50B3-2FEB-4CA0-B4EB-B6BA3CEDE9B7,Holly Springs
12,47,3,1,0,0,0,0,-14400,4,1,1,1,0,0,16,-14400,1,6,0,,,57.0,35.0,,,,,6.0,1.0,,,606865728.105,0.2,606865728.105,,Mar 25,66E564B9-928D-4DFC-8943-29BAA989D84A,
13,47,4,2,1,0,0,0,-14400,0,0,0,2,1,0,0,-14400,0,0,1,,,,,,,,,,7.0,,,608745298.0,0.3,608744440.0,,Today,7C4FE257-D40B-46B5-A0CE-6B78D879A78B,
