appBundleIdentifier,sourceAppBundleIdentifier,personaID,containerIdentifier,containerEnvironment,tokenRegistered,accountID
com.apple.bird,com.apple.CloudDocs,,com.apple.clouddocs,1,1,1589F4EC-8F6C-4F37-929F-C6F121B36A59
com.apple.TrustedPeersHelper,com.apple.security.cuttlefish,,com.apple.security.keychain,1,1,1589F4EC-8F6C-4F37-929F-C6F121B36A59
com.apple.accessibility.heard,,,com.apple.accessibility.RTTTranscripts,1,1,1589F4EC-8F6C-4F37-929F-C6F121B36A59
com.apple.coreidv.coreidvd,,,com.apple.coreidv.server-messages,1,1,1589F4EC-8F6C-4F37-929F-C6F121B36A59
com.apple.bird,com.apple.SharedDocs,,com.apple.clouddocs,1,1,1589F4EC-8F6C-4F37-929F-C6F121B36A59
com.apple.callhistory.sync-helper,,,com.apple.callhistory.cloud-storage,1,0,1589F4EC-8F6C-4F37-929F-C6F121B36A59
com.apple.backupd,,,com.apple.backup.ios,1,-1,1589F4EC-8F6C-4F37-929F-C6F121B36A59
com.apple.coreduetd,,,com.apple.knowledgestore2,1,1,1589F4EC-8F6C-4F37-929F-C6F121B36A59
com.apple.news,,,com.apple.news.private.secure,1,1,1589F4EC-8F6C-4F37-929F-C6F121B36A59
com.apple.mobilenotes,,,com.apple.notes,1,1,1589F4EC-8F6C-4F37-929F-C6F121B36A59
com.apple.Maps,,,com.apple.Maps.Sync.secure,1,1,1589F4EC-8F6C-4F37-929F-C6F121B36A59
com.apple.Maps,,,com.apple.Maps.Sync,1,-1,1589F4EC-8F6C-4F37-929F-C6F121B36A59
com.apple.news,,,com.apple.news.private,1,1,1589F4EC-8F6C-4F37-929F-C6F121B36A59
com.apple.stocks,,,com.apple.news.private.secure,1,1,1589F4EC-8F6C-4F37-929F-C6F121B36A59
com.apple.stocks,,,com.apple.news.private,1,1,1589F4EC-8F6C-4F37-929F-C6F121B36A59
com.apple.stocks,,,com.apple.stocks.private,1,1,1589F4EC-8F6C-4F37-929F-C6F121B36A59
com.apple.mobilesafari,,,com.apple.SafariShared.History,1,1,1589F4EC-8F6C-4F37-929F-C6F121B36A59
com.apple.accessibility.AccessibilityUIServer,,,com.apple.accessibility.VoiceOverPunctuation,1,1,1589F4EC-8F6C-4F37-929F-C6F121B36A59
com.apple.assistant.assistantd,,,com.apple.siri.profile,1,1,1589F4EC-8F6C-4F37-929F-C6F121B36A59
com.apple.imagent,,,com.apple.messages.cloud,1,-1,1589F4EC-8F6C-4F37-929F-C6F121B36A59
com.apple.protectedcloudstorage.protectedcloudkeysyncing,,,com.apple.security.PCSIdentityBackup,1,1,1589F4EC-8F6C-4F37-929F-C6F121B36A59
com.apple.icloud.searchpartyd,,,com.apple.icloud.searchparty,1,1,1589F4EC-8F6C-4F37-929F-C6F121B36A59
com.apple.cloudpaird,,,com.apple.securedBluetooth,1,-1,1589F4EC-8F6C-4F37-929F-C6F121B36A59
com.apple.securityd,,,com.apple.security.keychain,1,1,1589F4EC-8F6C-4F37-929F-C6F121B36A59
com.apple.suggestd,,,com.apple.CoreSuggestions.PseudoEvents,1,-1,1589F4EC-8F6C-4F37-929F-C6F121B36A59
com.apple.willowd,com.apple.willowd.homekit.camera.clips,,com.apple.homekit.camera.clips,1,-1,1589F4EC-8F6C-4F37-929F-C6F121B36A59
com.apple.passd,com.apple.passd,,com.apple.passes,1,1,1589F4EC-8F6C-4F37-929F-C6F121B36A59
com.apple.passd,com.apple.passd,,com.apple.pay,1,-1,1589F4EC-8F6C-4F37-929F-C6F121B36A59
com.apple.identityservicesd,,,com.apple.private.ids.kt,1,1,1589F4EC-8F6C-4F37-929F-C6F121B36A59
com.apple.willowd,com.apple.willowd.homekit,,com.apple.homekit,1,1,1589F4EC-8F6C-4F37-929F-C6F121B36A59
com.apple.assistant.assistantd,,,com.apple.siri.data,1,1,1589F4EC-8F6C-4F37-929F-C6F121B36A59
com.apple.willowd,,,com.apple.willow.config,1,1,1589F4EC-8F6C-4F37-929F-C6F121B36A59
com.apple.cloudpaird,,,com.apple.bluetooth,1,1,1589F4EC-8F6C-4F37-929F-C6F121B36A59
com.apple.ScreenTimeAgent,,,com.apple.remotemanagement.encrypted,1,-1,1589F4EC-8F6C-4F37-929F-C6F121B36A59
com.apple.bird,com.apple.CloudDocs.container-metadata,,com.apple.clouddocs,1,1,1589F4EC-8F6C-4F37-929F-C6F121B36A59
com.apple.siriactionsd,,,com.apple.shortcuts,1,-1,1589F4EC-8F6C-4F37-929F-C6F121B36A59
com.apple.amsaccountsd,,,com.apple.applemediaservices.multiuser,1,1,1589F4EC-8F6C-4F37-929F-C6F121B36A59
com.apple.coreduetd,,,com.apple.knowledgestore4,1,1,1589F4EC-8F6C-4F37-929F-C6F121B36A59
com.apple.cloudphotod,com.apple.upload-request-proxy.com.apple.photos.cloud,,com.apple.cloudkit.metadata-com.apple.photos.cloud,1,1,1589F4EC-8F6C-4F37-929F-C6F121B36A59
com.apple.coreidv.coreidvd,,,com.apple.coreidv.sandbox,1,-1,1589F4EC-8F6C-4F37-929F-C6F121B36A59
com.apple.healthd,com.apple.Health,,com.apple.health.sync,1,1,1589F4EC-8F6C-4F37-929F-C6F121B36A59
com.apple.healthd,com.apple.Health,,com.apple.health.sync.secure,1,1,1589F4EC-8F6C-4F37-929F-C6F121B36A59
com.apple.cloudphotod,com.apple.photos.cloud,,com.apple.photos.cloud,1,1,1589F4EC-8F6C-4F37-929F-C6F121B36A59
com.apple.ind,,,com.apple.backup.ios,2,-1,1589F4EC-8F6C-4F37-929F-C6F121B36A59
com.apple.mobilesafari,,,com.apple.SafariShared.CloudTabs,1,-1,1589F4EC-8F6C-4F37-929F-C6F121B36A59
com.apple.mobilesafari,com.apple.SafariBookmarksSyncAgent,,com.apple.SafariShared.CloudTabs,1,1,1589F4EC-8F6C-4F37-929F-C6F121B36A59
com.apple.mobilesafari,com.apple.SafariBookmarksSyncAgent,,com.apple.SafariShared.WBSCloudBookmarksStore,1,1,1589F4EC-8F6C-4F37-929F-C6F121B36A59
com.apple.bird,com.apple.shoebox,,com.apple.clouddocs,1,1,1589F4EC-8F6C-4F37-929F-C6F121B36A59
com.apple.healthd,com.apple.Fitness,,com.apple.ActivitySharing,1,-1,1589F4EC-8F6C-4F37-929F-C6F121B36A59
com.apple.avatarsd,,,com.apple.Avatars,1,1,1589F4EC-8F6C-4F37-929F-C6F121B36A59
com.apple.iad-cloudkit,com.apple.AdSheetPhone,,com.apple.iad-cloudkit-secure,1,1,1589F4EC-8F6C-4F37-929F-C6F121B36A59
com.apple.siriknowledged,,,com.apple.siri.knowledge,1,1,1589F4EC-8F6C-4F37-929F-C6F121B36A59
com.apple.routined,,,com.apple.CoreRoutine-3,1,1,1589F4EC-8F6C-4F37-929F-C6F121B36A59
com.apple.email.maild,,,com.apple.mail.preferences,1,-1,1589F4EC-8F6C-4F37-929F-C6F121B36A59
com.apple.kbd,com.apple.kbd,,com.apple.textinput.KeyboardServices.Secure,1,1,1589F4EC-8F6C-4F37-929F-C6F121B36A59
com.apple.kbd,com.apple.kbd,,com.apple.textinput.KeyboardServices,1,1,1589F4EC-8F6C-4F37-929F-C6F121B36A59
com.apple.bird,iCloud.org.whispersystems.signal,,com.apple.clouddocs,1,1,1589F4EC-8F6C-4F37-929F-C6F121B36A59
com.apple.bird,iCloud.com.viber,,com.apple.clouddocs,1,1,1589F4EC-8F6C-4F37-929F-C6F121B36A59
com.apple.bird,com.apple.TextInput,,com.apple.clouddocs,1,1,1589F4EC-8F6C-4F37-929F-C6F121B36A59
com.apple.bird,iCloud.com.wearezeta.zclient.ios,,com.apple.clouddocs,1,1,1589F4EC-8F6C-4F37-929F-C6F121B36A59
com.apple.bird,iCloud.com.apple.mobilesafari,,com.apple.clouddocs,1,1,1589F4EC-8F6C-4F37-929F-C6F121B36A59
com.apple.bird,iCloud.co.babypenguin.imo,,com.apple.clouddocs,1,1,1589F4EC-8F6C-4F37-929F-C6F121B36A59
com.apple.bird,com.apple.mobilemail,,com.apple.clouddocs,1,1,1589F4EC-8F6C-4F37-929F-C6F121B36A59
