containerIdentifier,containerEnvironment,publicCloudDBURL,publicShareServiceURL,publicDeviceServiceURL,publicCodeServiceURL,publicMetricsServiceURL,publicDatabaseRPCServiceURL,scopedUserID,orgAdminUserID,accountID,expirationDate
com.apple.security.keychain,1,https://gateway.icloud.com:443/ckdatabase,https://gateway.icloud.com:443/ckshare,https://gateway.icloud.com:443/ckdevice,https://gateway.icloud.com:443/ckcoderouter,https://metrics.icloud.com:443,https://p54.ckdatabaserpc.icloud.com:443,_3dd8e9c1576dd5137539c4f5dfe3e137,,1589F4EC-8F6C-4F37-929F-C6F121B36A59,
com.apple.CoreRoutine-3,1,https://gateway.icloud.com:443/ckdatabase,https://gateway.icloud.com:443/ckshare,https://gateway.icloud.com:443/ckdevice,https://gateway.icloud.com:443/ckcoderouter,https://metrics.icloud.com:443,https://p24.ckdatabaserpc.icloud.com:443,_ff11d713f7ac3688f9f443d1e7d565d6,,1589F4EC-8F6C-4F37-929F-C6F121B36A59,
com.apple.security.PCSIdentityBackup,1,https://gateway.icloud.com:443/ckdatabase,https://gateway.icloud.com:443/ckshare,https://gateway.icloud.com:443/ckdevice,https://gateway.icloud.com:443/ckcoderouter,https://metrics.icloud.com:443,https://p24.ckdatabaserpc.icloud.com:443,_3513d900bcabf6d0176d2e642e5db0f6,,1589F4EC-8F6C-4F37-929F-C6F121B36A59,
com.apple.siri.profile,1,https://gateway.icloud.com:443/ckdatabase,https://gateway.icloud.com:443/ckshare,https://gateway.icloud.com:443/ckdevice,https://gateway.icloud.com:443/ckcoderouter,https://metrics.icloud.com:443,https://p35.ckdatabaserpc.icloud.com:443,_bd02d7a0bbf8c3e8074d0bcea901a3cc,,1589F4EC-8F6C-4F37-929F-C6F121B36A59,
com.apple.passes,1,https://gateway.icloud.com:443/ckdatabase,https://gateway.icloud.com:443/ckshare,https://gateway.icloud.com:443/ckdevice,https://gateway.icloud.com:443/ckcoderouter,https://metrics.icloud.com:443,https://p45.ckdatabaserpc.icloud.com:443,_46959b282ed7fbb5aed36a414b3b33e8,,1589F4EC-8F6C-4F37-929F-C6F121B36A59,
com.apple.siri.data,1,https://gateway.icloud.com:443/ckdatabase,https://gateway.icloud.com:443/ckshare,https://gateway.icloud.com:443/ckdevice,https://gateway.icloud.com:443/ckcoderouter,https://metrics.icloud.com:443,https://p38.ckdatabaserpc.icloud.com:443,_d2beb81bd9f4ed42d3b5bf4d24a953f7,,1589F4EC-8F6C-4F37-929F-C6F121B36A59,
com.apple.willow.config,1,https://gateway.icloud.com:443/ckdatabase,https://gateway.icloud.com:443/ckshare,https://gateway.icloud.com:443/ckdevice,https://gateway.icloud.com:443/ckcoderouter,https://metrics.icloud.com:443,https://p24.ckdatabaserpc.icloud.com:443,_4c24e4fb6abebdca95208066da53cb9d,,1589F4EC-8F6C-4F37-929F-C6F121B36A59,
com.apple.bluetooth,1,https://gateway.icloud.com:443/ckdatabase,https://gateway.icloud.com:443/ckshare,https://gateway.icloud.com:443/ckdevice,https://gateway.icloud.com:443/ckcoderouter,https://metrics.icloud.com:443,https://p28.ckdatabaserpc.icloud.com:443,_c1cd7931e96cf8397d606141cb2d7377,,1589F4EC-8F6C-4F37-929F-C6F121B36A59,
com.apple.homekit,1,https://gateway.icloud.com:443/ckdatabase,https://gateway.icloud.com:443/ckshare,https://gateway.icloud.com:443/ckdevice,https://gateway.icloud.com:443/ckcoderouter,https://metrics.icloud.com:443,https://p69.ckdatabaserpc.icloud.com:443,_4ad33c73856c69aef4c9f6c8f8920c59,,1589F4EC-8F6C-4F37-929F-C6F121B36A59,
com.apple.messages.cloud,1,https://gateway.icloud.com:443/ckdatabase,https://gateway.icloud.com:443/ckshare,https://gateway.icloud.com:443/ckdevice,https://gateway.icloud.com:443/ckcoderouter,https://metrics.icloud.com:443,https://p67.ckdatabaserpc.icloud.com:443,_ffa3b9d6bfee3a1ad24e8b677991d7b5,,1589F4EC-8F6C-4F37-929F-C6F121B36A59,
com.apple.SafariShared.CloudTabs,1,https://gateway.icloud.com:443/ckdatabase,https://gateway.icloud.com:443/ckshare,https://gateway.icloud.com:443/ckdevice,https://gateway.icloud.com:443/ckcoderouter,https://metrics.icloud.com:443,https://p69.ckdatabaserpc.icloud.com:443,_d9e4ed447e3b623adbe230229c34b1a3,,1589F4EC-8F6C-4F37-929F-C6F121B36A59,
com.apple.mail.preferences,1,https://gateway.icloud.com:443/ckdatabase,https://gateway.icloud.com:443/ckshare,https://gateway.icloud.com:443/ckdevice,https://gateway.icloud.com:443/ckcoderouter,https://metrics.icloud.com:443,https://p39.ckdatabaserpc.icloud.com:443,_49a679bb7e6c033663a3ee9722999640,,1589F4EC-8F6C-4F37-929F-C6F121B36A59,
com.apple.icloud.searchparty,1,https://gateway.icloud.com:443/ckdatabase,https://gateway.icloud.com:443/ckshare,https://gateway.icloud.com:443/ckdevice,https://gateway.icloud.com:443/ckcoderouter,https://metrics.icloud.com:443,https://p24.ckdatabaserpc.icloud.com:443,_c4b556991d76cc42f3b9d97734dcf65f,,1589F4EC-8F6C-4F37-929F-C6F121B36A59,
com.apple.knowledgestore4,1,https://gateway.icloud.com:443/ckdatabase,https://gateway.icloud.com:443/ckshare,https://gateway.icloud.com:443/ckdevice,https://gateway.icloud.com:443/ckcoderouter,https://metrics.icloud.com:443,https://p32.ckdatabaserpc.icloud.com:443,_3bf90ea0a7c90988e578973f063fb4cc,,1589F4EC-8F6C-4F37-929F-C6F121B36A59,
com.apple.SafariShared.WBSCloudBookmarksStore,1,https://gateway.icloud.com:443/ckdatabase,https://gateway.icloud.com:443/ckshare,https://gateway.icloud.com:443/ckdevice,https://gateway.icloud.com:443/ckcoderouter,https://metrics.icloud.com:443,https://p24.ckdatabaserpc.icloud.com:443,_d9d5f44d5c4d1d9b97ffa99f35b29966,,1589F4EC-8F6C-4F37-929F-C6F121B36A59,
com.apple.Avatars,1,https://gateway.icloud.com:443/ckdatabase,https://gateway.icloud.com:443/ckshare,https://gateway.icloud.com:443/ckdevice,https://gateway.icloud.com:443/ckcoderouter,https://metrics.icloud.com:443,https://p37.ckdatabaserpc.icloud.com:443,_a95aa4f03a2f2c20cb10ce64a441106c,,1589F4EC-8F6C-4F37-929F-C6F121B36A59,
com.apple.siri.knowledge,1,https://gateway.icloud.com:443/ckdatabase,https://gateway.icloud.com:443/ckshare,https://gateway.icloud.com:443/ckdevice,https://gateway.icloud.com:443/ckcoderouter,https://metrics.icloud.com:443,https://p30.ckdatabaserpc.icloud.com:443,_63107f301d7affef6468b8d48eda4f3c,,1589F4EC-8F6C-4F37-929F-C6F121B36A59,
com.apple.cloudkit.metadata-com.apple.photos.cloud,1,https://gateway.icloud.com:443/ckdatabase,https://gateway.icloud.com:443/ckshare,https://gateway.icloud.com:443/ckdevice,https://gateway.icloud.com:443/ckcoderouter,https://metrics.icloud.com:443,https://p65.ckdatabaserpc.icloud.com:443,_07d5a2ddf06b9c3476707ad312cb77e6,,1589F4EC-8F6C-4F37-929F-C6F121B36A59,
com.apple.applemediaservices.multiuser,1,https://gateway.icloud.com:443/ckdatabase,https://gateway.icloud.com:443/ckshare,https://gateway.icloud.com:443/ckdevice,https://gateway.icloud.com:443/ckcoderouter,https://metrics.icloud.com:443,https://p68.ckdatabaserpc.icloud.com:443,_2c5107aeff5fc7212d761912fe2541e2,,1589F4EC-8F6C-4F37-929F-C6F121B36A59,
com.apple.clouddocs,1,https://gateway.icloud.com:443/ckdatabase,https://gateway.icloud.com:443/ckshare,https://gateway.icloud.com:443/ckdevice,https://gateway.icloud.com:443/ckcoderouter,https://metrics.icloud.com:443,https://p24.ckdatabaserpc.icloud.com:443,_982a54b33498579f7677d5a56c51fd6b,,1589F4EC-8F6C-4F37-929F-C6F121B36A59,
com.apple.photos.cloud,1,https://gateway.icloud.com:443/ckdatabase,https://gateway.icloud.com:443/ckshare,https://gateway.icloud.com:443/ckdevice,https://gateway.icloud.com:443/ckcoderouter,https://metrics.icloud.com:443,https://p24.ckdatabaserpc.icloud.com:443,_a948e91a3541700ceff0c11a8aef0576,,1589F4EC-8F6C-4F37-929F-C6F121B36A59,
com.apple.iad-cloudkit-secure,1,https://gateway.icloud.com:443/ckdatabase,https://gateway.icloud.com:443/ckshare,https://gateway.icloud.com:443/ckdevice,https://gateway.icloud.com:443/ckcoderouter,https://metrics.icloud.com:443,https://p34.ckdatabaserpc.icloud.com:443,_90967d69b86afeb96c7544f2e75d3a83,,1589F4EC-8F6C-4F37-929F-C6F121B36A59,
com.apple.private.ids.kt,1,https://gateway.icloud.com:443/ckdatabase,https://gateway.icloud.com:443/ckshare,https://gateway.icloud.com:443/ckdevice,https://gateway.icloud.com:443/ckcoderouter,https://metrics.icloud.com:443,https://p45.ckdatabaserpc.icloud.com:443,_0861fb392d1586ea2bb46397c7730250,,1589F4EC-8F6C-4F37-929F-C6F121B36A59,
