entry_ID,isDataOnFS,receiver_data
1,0,"b'{""Status"": 0,""TC"": false,""RD"": true,""RA"": true,""AD"": false,""CD"": false,""Question"":[ {""name"": ""apv3.stel.com."",""type"": 16}],""Answer"":[ {""name"": ""apv3.stel.com."",""type"": 16,""TTL"": 23,""data"": ""\\""uaUzrLTsPve/Il7JEnS3BVFWoEFz/yfNW4fEiUQK7ZYWV9sr2yby2hgOzBD+a1K5DvF/i3J7EwuHrz6Ax1n9nyLhfjMA==\\""""},{""name"": ""apv3.stel.com."",""type"": 16,""TTL"": 23,""data"": ""\\""ooq7bIMDXatd8ErvZDrv3ODsSBtSw7G43dwx4TO39t+ZdR+VoJp3wxWMJp81+61wdbM1cpTjqSrIANmt4dEZN5UEe+0UCx3BGmLBxDMuyfVvh4HHGL8Ls1gEfRCGb1uKfIDKk6pIZVTWRre/oXUeD+ePJ0DlBIDB7LNHEv+27ZTKbhZqmdxxODI5dphhkZqnVTzV2Ikxwsw80+iIajw7mgjv+OKKc48527e/OiSIhp8V9RfDaaLhWaRMuu\\""""}]}'"
2,0,"b'{""Status"": 0,""TC"": false,""RD"": true,""RA"": true,""AD"": false,""CD"": false,""Question"":[ {""name"": ""apv3.stel.com."",""type"": 16}],""Answer"":[ {""name"": ""apv3.stel.com."",""type"": 16,""TTL"": 16,""data"": ""\\""uaUzrLTsPve/Il7JEnS3BVFWoEFz/yfNW4fEiUQK7ZYWV9sr2yby2hgOzBD+a1K5DvF/i3J7EwuHrz6Ax1n9nyLhfjMA==\\""""},{""name"": ""apv3.stel.com."",""type"": 16,""TTL"": 16,""data"": ""\\""ooq7bIMDXatd8ErvZDrv3ODsSBtSw7G43dwx4TO39t+ZdR+VoJp3wxWMJp81+61wdbM1cpTjqSrIANmt4dEZN5UEe+0UCx3BGmLBxDMuyfVvh4HHGL8Ls1gEfRCGb1uKfIDKk6pIZVTWRre/oXUeD+ePJ0DlBIDB7LNHEv+27ZTKbhZqmdxxODI5dphhkZqnVTzV2Ikxwsw80+iIajw7mgjv+OKKc48527e/OiSIhp8V9RfDaaLhWaRMuu\\""""}]}'"
3,0,"b'\x89PNG\r\n\x1a\n\x00\x00\x00\rIHDR\x00\x00\x00X\x00\x00\x00X\x08\x03\x00\x00\x00FK\xc0\x06\x00\x00\x003PLTEGpL\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xcf\xd1\x8aa\x00\x00\x00\x11tRNS\x00\xff\xef\x8f \xafP\xdfp\x10\x9f0\xcf`@\x80\xbf\xfdDp\x8d\x00\x00\x00\xd0IDATx\x01\xed\xd4\x89\xaa\xc4 \x0c\x85\xe1\xe4\xb6\xae\xad\x9a\xf7\x7f\xda\xcb\x84\xa5\x02c\xb1:\x02\x85\xf3\xb1\x17\xf8)jB\x00\x00\x00\xeb0\xffm\xfb\x92\xf0\x87\xb1+\xc2\xca\xf9\xb0""\xac\xe2\xb1""\xac\xce\xf4\xaep\xccK.\xaf,\xb9<\xb1\xaf\x1a\x10\xfa\x1d\x84\x11F\x18a\x84\x11F\x18a\x84s*\xb1\x14\xae\x89\x98\x92\xf2Ds\xf7\xd1i\x89\x88\xbfp\xc6\x1f#\xd5M\xa3\xed\xb0r\xdb\xc3v\x16\xae\xb4\xc2J2u\x0b\x86k\x8e\xc8\xf1\r\x13\xa8\xd3\xc9\x97hI\xd9\xc8Mgg\xd9\xf3%\xd5\x9f\x9b<u)|\xa1\n7\xc9\xd4\x1f\x17n\xf2\x03g,i\xd7\xd7\x97d\xfe\x8c)D~\xc2\x84\xc1w|O\xf2\xe0\xe4U\xe6\'\xaf\xde\x15jvW4\xb6\x9bH\xdfv\x9b\x07\x00\x00\xf0\x0f\xbd/\x07\x12pr\xe1\x13\x00\x00\x00\x00IEND\xaeB`\x82'"
4,0,"b'\x89PNG\r\n\x1a\n\x00\x00\x00\rIHDR\x00\x00\x00X\x00\x00\x00X\x08\x03\x00\x00\x00FK\xc0\x06\x00\x00\x003PLTEGpL\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xcf\xd1\x8aa\x00\x00\x00\x10tRNS\x00 0\xdf`\xcf\x80\x10\xef\x9f@\xbfp\xaf\x8fPS\xb8\xb6l\x00\x00\x02JIDATx^\xed\x96\xc9\x8e\x830\x10D\xcbxi/,\xfe\xff\xaf\x1du)\x0c\x0c(R<\xe9#\xef\x94\\\x1e\x95r\xbb\t\xee<<<<<<8\x98#\xa1\xf8\xae\xe4\x96&Cm\xca\xfdD\x0c\xb0a\xf2\xfdB\x9cL\xbc\xb9\xdf\x99\rz\xa0\xf7F\xc1\xb7\x94N\xec3\xe7\xfe\x86\xd1\x9e\xd7\x803\xb5\xef\xb4\xaa\x85/}\'b\x88r\x892\x1f\xa5\xca\x9c\x1c\x10\xfaN\xc0\x00._\xa2\xa4=/\xa7#\x01X\xfe\x13\xb9bb\x94\xbbxCy\x85t\xe3-\xa3\xf4\x80\xf47\xca\xf6\x92h)9A\xf1\xa3\x83\xa1\xce\xect\x0c\xea\xfd\xf0p\xd0vq\x1b)\xb8]#\xdf\xc4G\xe2\x8c\x8f(+\xe39\xc9\x7f\xee\xd5\xb2wL\x8e\x8e\x95O\xe7,\xa0\xa83\xf5\xb39\\\x7f\xf62(\x8e\xbdg\xd14\x0e\x91\xe6\xcb\xae(\xc7\x83\x86\xc4\x14$\x8d\x13!j\xf6\x15\x04\xeb\xe5\xe6\x8d\x8a\xb1i\xe4\xcal\xc2\x83\xf7a?\xd2w\xe03\x9aN\xe6J3\x12m~\x02\xa7\xf0\r\x1e\x9f\x1142\x0b\x8e\x0e2\xfb}\x1f\x08?}\xb3\x93=\x0bf\r\xa5\x02\xf3n\xae\x17\xe1\xf0\x16\xda\xd4\xb8\x9fV\x9b\xb8v\xf2\xf4\xb6\x8c,Co\x8b(p\x85\x82@s{\xfb\x1aI\xc0\x909\'\x81[if\t\x15\xe0\x00^\xf1\x82\x01(\xcc\xabc\xd8\x1e\xf4\xfb\x025/\xb7""&\x0cQ=\xd5\x81!\xb3\x13^Ee\xfd\xc6K*\xc7be\xe6\xa2\xe5\xb4\xfd\x91_\xffe\xa9ZCb\xc1\xe2\xcekbo\xda\x07\xfc\x0f\x9e\xd5\x86\xa6\xfa\xf5d\x86\xdbRJA\xd3~a\xf6\x1a9\x0b\x1fR\x046p\xf3\x04D-\x98f\x1f\xac\xd4\x81\x91Y\x03G\x8d\xe3m\x82\xd7\xc8\x855 x\xaa+,\x98y\xb7\xb8\xeb*\xb0q\x06\x03\x0c\x90\xcc\x82YC\x0b\xc0\x9c9)\x06\xcc\xac\xe1X\xf9\xdcu\x0e\x06p\xd79\xb8\x94\x8f]W`e\xee\xc5A\xa8\x0e\xdc\xd7\x0e\x16\xa4\xfeRO\x9e\x05\x17\xa3\xc8\\H\xcak\xd7\x89c\xcb6\xb8\xc2\xd0,8\xa1q=\x1b\xc1\x1a\x12\xdf\xe1\xaf\xabh\x05\x97E\xfd\xbd\x8a\x11\xa6f\xcf\xed!\x12\xa3\xc0\x0c\x16\xbci\xe4\x05b\xe9\xe5\xdc5\x8d\xdcg\xd8""Y[.=\nl\xe1\xa1\x89\x14\x815\xee\xfc\xa7\xde\xbae\xf6`O9\xbc\xe6<<<<<<\xfc\x00\xf4\xdf>m\xd9\xc7 r\x00\x00\x00\x00IEND\xaeB`\x82'"
5,0,"b'\x89PNG\r\n\x1a\n\x00\x00\x00\rIHDR\x00\x00\x00X\x00\x00\x00X\x08\x03\x00\x00\x00FK\xc0\x06\x00\x00\x003PLTEGpL\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xcf\xd1\x8aa\x00\x00\x00\x10tRNS\x00\x9f\xdf 0\x80\xbf@\xef\x10p\x8f`\xcf\xafP%\xea\xce\xcb\x00\x00\x01\xd0IDATx^\xed\xd6\xc9\xce\xab0\x0c\x86agp\xec\x84\xa1\xdf\xfd_\xedi\xff\x0en\x04\xaa\x08ds\xa4<+\x16\xc8\x0b\xbfF-\xbd\x0c\xc30\x0c\xc3\x90\x85\xa7\xb4\xe0cI\x13K\xa6k\xc2\xbcz\xec\xf2\xeb\x1c\xe8\xa48y\xfc\xe4\xa7H\xcdr\xf18\xc0\x97L-\xa2\xc3a.\x1e\xcf\xb5\xe2\x9b>jI\xa4?Q\x1e-\x15\xdf\xd6\xa3)\x1d>\xd4\xed7\n\xb3S|8:\xa6\x8as(\xee\xc1n\xf8\xe3\xa4\x1e#\x7f\xea\x85\xde\\\xcb`R@\'\xdb\x80\xb0K0H\x8e\xc5v2)\xa0t\x0c\x83\xdf9bI\xd8\x95J|\xa7f0\x1d\x14_\x85~\xdf\xb2/\xc1^o \x0e?X\x87F\x92\xb0\xc3\xb6\x9c\xfc\xeb\xb1q\xf4\x8f\xb1:\xe7\xea\xebL\xd4\x82\xf1\xa0\x8eE\xd8iU-\xdb\xb1)\xee\x98Zd\x0f\x80\xf3\xa7\xfbG\xaa""\x03\xf0\x99\x9a\xdc\x00\x8bMQ\xf1\xa4\xf5\x98\x02\xdc\xa8Q\x82\x90\x89x\x9a\xa9""H\xd4*`\xd9.\x1d\x99*\x0b\x025\x9bP\xc8d\xdd\xb9\x80\x82\x89\xdae\xad\x16\xeap\xe7\xb6o\x9c0Ws\xca\xf6\xb4\x9c\xad\xfcB?\xc1\xddz\xa5\x9c\x89X\xea\xc1u\xcf\x05\x91N\x9a0\xd7\xab\xf8>\x82\xd9\xca\x9d\xedg\xf1\xe0\xae\x96\xb3{\xaa\xce\r\x90\xea\x1aO\xb3=2\x9e4\xda\xfe\xcf\xb3\xf2\x11oZ\xecb\xce\xb2[\x8d\n\xe3K\xb4\x1b\xbf\xd4/364\xd3E\x05\x8bb\xab\xd0e\x1e;<]\'\xd8!\xd4\xc1\x8a\x8d\x95z\x08\x8a;\'\xf6gC\x03u\xc1\xc0\xf2\x19\x15\x16\x80\xa9\x13_\xfd\xb0\xc2S/\xf2\xbd\xd4\x15B\xdd$H\xf5\x91w\x13\xe0m-\x81:b\xb0=\xf4\x94\xfd\xf3\xc4\x82\xfaL]\xdd\x9e\xfdV\xdc\xa8\xb3\x04\xb1r=\x05(\xb3""Pw\xb3\x02:S\x7f\x94E2\xfd\xaf\x86a\x18\x86\xe1\x1f\xf8\x1e2(\xb3\x80S\xc2\x00\x00\x00\x00IEND\xaeB`\x82'"
6,0,"b'\x89PNG\r\n\x1a\n\x00\x00\x00\rIHDR\x00\x00\x00X\x00\x00\x00X\x08\x03\x00\x00\x00FK\xc0\x06\x00\x00\x000PLTEGpL\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xffD>\xec\x02\x00\x00\x00\x10tRNS\x00 @\x80\x9f\xbf\xcf\xff\xdf`p\x8fP\xef\x10\xafl\xfb+,\x00\x00\x01\x0fIDATx\xda\xed\xd8\xd1\xae\xc3 \x08\x06`\n"":m}\xff\xb7=m\xb2\x98^\x9cE\x19\x89\xcb2\xbek\xfb\xc7\x0bT(8\xe7\x9cs\xdffC\n\x1c\xa5\x8b\x1c\x0870K\xf2\xafd\xd9*\\\xe4\x85\xbeD+\xb3\x8c\x83\x85\xb366\x89\xcc\x04\x8b\xa4\xac\x8b\xed\xdf&\xa6\x07""\xdc >\x88\xd33X\x15\xcd}S#\xcf\x85\x0c\x13\xfa>\n\xc2\x10\x96$\x97\xf9\xe0\x80\xb7:\xaeD\x85\xbbBTou\x8ca>x\xa7\x03:y\x01\xba\x83vP\xa8%\x8e\x83c\xa9\xa0R\xc3>[n{\x98\xcf.W\xeal\xf0\x95]\x14U\xa1\x08>\xfdHp\xe2S\xa3\xae\xf1)\xbd\x1f|f\xc1\x105\xd6\x04\xeb^\x88\r\xa9\xc1\xe7!f\xa2\xf1\xd3D\x94\x11aZ\xd4VE\xf4\x03\xe2\xc1\x8a`k\xb9-: \xeb5\xf5%\xb4\xe0\xda4_\xf4~@t\xc1\xf6\x86eq\x8beo\n\x8f\xd5m\xac\xbd\xf1^=*\xd8\x87\x9b\xa5\xe3\x98}\x80\\9\xf2\xda\x87\xf4u\xbf\x15\xec?B\x9cs\xce\xb9/\xf3\x07\x16\x0e\'p>\xe9\xc8\xcf\x00\x00\x00\x00IEND\xaeB`\x82'"
7,0,"b'\x89PNG\r\n\x1a\n\x00\x00\x00\rIHDR\x00\x00\x00X\x00\x00\x00X\x08\x03\x00\x00\x00FK\xc0\x06\x00\x00\x003PLTEGpL\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xcf\xd1\x8aa\x00\x00\x00\x10tRNS\x00\xcf\x10 P\xef\xdf\xbf\x80@\x8fp\x9f`0\xaf\x9f\xbf\xd2\xc5\x00\x00\x01[IDATx^\xed\xd6\xdb\x8a\xab@\x10F\xe1j\xed\xa3\x89\xba\xde\xffi7\x052\x9a\xa9\xcb\xaa\r\x19\xe8\x0fr\xe1\x7f\xb1\x90\xc6\xa0\xf2\xc7L\xd34M\xd3\xc8""Y\x7fCn\xb9\x92\xc5\xe9\xec""\xe7)\xd2\xcf{\xdb\x81$>\x0b]$%\x91\xce""\x97\x8c\x12\x9f]\xc3\xa0\xe1\xfd\x9a\x96\x02P\xc4\xe7}\x87\xdf\xd7\xd4QM|\xd2\x1dN\xd7TB\xc2\xdca\xee\x13\x0e\n\x1f0\xee\xf0\x16\x12^\xb504\xdc`\x15\xd5P\x9c\xe2\xa3\xe1\x1dv\xed=\x8f\x98\xee\x0e#]3\xc0\xb5\x84\x85\x8f\x04\xe9\x88\x0e7\xa8\x00\tZhx\xe3\xc7\xf6\x11~\x89O\xe6G\x96\xe7S1\xc4\xa9p)\x12\x1b\xee\xfc:\xd4-(\xbc\x14\x14e\xb9\x86WPX\xc6\x152\xd7n\xa3B}tPH\x84\xd6>\xae\xe2\xc2\xa5\xc8C\x8f\x0b\x7ff\x8e\xb0\xf0\x80!\x0f\xf5\x7f\x857\xa0I\x80\x0e]\x1e\x8e\xa8\xf0\x06\x9b<\xd5\xa0p\x83f\x87\x00\x15\xaa\x1d\x02\x00\xd8\xc1o\x05X\xed\xe06\x00\x86\x1d\xdc^\x00/;\xb8u\x80n\x07\xb7\x06\xd0\xcc\xf0\xc5a\x14v\xf0ZP,f\x88z\xe7\xd9\xc1)\xa3\xd8\x7f\x0f9\xe8\xc3\xa2\xdb\xc1\xe9\x8d\xe2m\x07\xa7\x86\xa2\xd9\xc1\xa9\xa0(vp\xe2b\x07\x9f\x95\xcbj\xc2_z\xc7\x92P$3|\xed?Or\x85\x9a\xed\xf0\xa7L\xd34M\xd3?\xbc\xbc$\xe0Meu0\x00\x00\x00\x00IEND\xaeB`\x82'"
8,0,"b""\x89PNG\r\n\x1a\n\x00\x00\x00\rIHDR\x00\x00\x00X\x00\x00\x00X\x08\x03\x00\x00\x00FK\xc0\x06\x00\x00\x003PLTEGpL\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xcf\xd1\x8aa\x00\x00\x00\x10tRNS\x00\x9f\xcf \x80`\xbf\xef0@\x10\x8fP\xdfp\xaf\x18-\xaa\x08\x00\x00\x01\x9aIDATx^\xed\xd6\xcbr\xc3 \x0c\x86Q\x01\xb2@\xbe\xa4z\xff\xa7-\x93&\xfd;\x0cnB\xadU\x87o\xe1\xe5Y`[\x82\xfeS\xb3\xd9l6\x9b\x95h\x99\x87\x81UU\xcb\xefn\xb6\xda\xa0\xbcD\xbb\x17\xb7\xfdw\xd7r\x1a`\xd7h(o\xe9\xdc\xad\x85\x01\xf8\xcbEA\xfb\xae\xacZ\x1b8\x07k\xb3\x90:\xae\t\x8d\x15\xad\x137\xee\x03.\xaa\xeb\xbb\xeej\xdd\x0em]\xcbD\xdb\xfd\xf9^j'1\xdcGD\\\xfd\xcb\xb0\xc5\x15.`[/\xc3\xb6=]\x119\x86\xe1r\xea\x86\xa7k\xe9\t\xdc\x06\x8e\x82^\xbb\xa687;.}np\x1fp\t\\\xd3\xdb\xc8\xaf\xb7\xbdt+\x8c7\xb1\xbf\r\xef/]\xdb\x01Gz\xbf\xfc\xca5\xc6\x9b(\x03\xf0v\xee\x06\xe5ZX\xbe\xe1\x85\x06J=\xb7\x9d\xebp\x07\n]\xb7\x85\xc7]\xd23\xd7\x84H\xcc\x0e\x11\x81;R\xe8\xb9\x80q\xbe\xa3\xa5\x8e\x0b\x18\xeex\xdcq\x01\xc3\x1d\xefh]\xaa\xa9\x16\xa2p\xc9%m\\\xcc0\x86\xfb\xa7\x18\xee\x03V\xd6Zb\xb8\x7f+\xc2\xc5\xb6\xa8]ui\xdd\xe0\xd6\x12-\x97]\x04\xd7\x94\xd4\xd9\r\x1cD$\x02\xf6p\x9b5\xe4\xea\x02R_\xd7\x98HD>\x98\xd9\xd7\xc5\xb6ps\x01;\xbb\x80\x9d]\xd1\xda\x8d\xab&^n{\xaf\x167\x17\xf7\xeat\x87]]\x0c\xf5\x9c\xbd\xdcv\xa0\xb9\xb9\x80]\\\xdc5E\x04\xb0\x93K\xcd\x1ars)\xff\x1ch\x8b\x9fK|\x87\x0b\xd7v\xbd\xc1u\x903\xb6\x05\\\x8fR\x00l\xb1\x90k)[\xed\x08;\xfd\x87f\xb3\xd9l6\xfb\x04+\xb6C\xaa\x11]\x04 \x00\x00\x00\x00IEND\xaeB`\x82"""
9,0,"b'\x89PNG\r\n\x1a\n\x00\x00\x00\rIHDR\x00\x00\x00X\x00\x00\x00X\x08\x03\x00\x00\x00FK\xc0\x06\x00\x00\x00-PLTEGpL\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xcd^\xdd\x02\x00\x00\x00\x0ftRNS\x00\xff\xcf`\x10\xbf\x80\xaf\x9fP p\xef\x8f\xdfy\xe0\x9a\x92\x00\x00\x00\xa4IDATx\xda\xed\xd4Q\x0e\xc3 \x0c\x03\xd0\x18R\xca(\xed\xfd\x8f;\xfe6i*h\xa0,\x1f\xf3;\x80\x85\x12\x1c!""""""""r\x81!\x06\xbf\t\xd1&\xb8\tj\x14\x8c\xcd 8\xedh\xa2\xc5\xf2""\x80\xdd""X2\x00\x93\xe0\x07\x80b\x15\xec?\n\xff\xe5\xa5\x8c&\x9a\x15\xc4\xbf\xd2\xfeGH\xe6l\xe3\xe9\xce90p\xc8\x1c\xad\xe8\xaa*\x93\x12\xba\x92L\x0b\xe8\x082OC\xf7\xff.\xd0\x137N\x955%_\xf8p\xe5""\xffaC\xc7B\x01\x0b\xbe\xe4\xfc\xe2\x97\x8c\x81\xbcT\x0f\x8b\x8ah\xaa\xb8U\x93\n\x11\x11\x11\xd1\x0f<\x01Vv\x05\xfaE9\x0b\x7f\x00\x00\x00\x00IEND\xaeB`\x82'"
10,0,"b'\x89PNG\r\n\x1a\n\x00\x00\x00\rIHDR\x00\x00\x00X\x00\x00\x00X\x01\x03\x00\x00\x00K[\xa2w\x00\x00\x00\x06PLTEGpL\xff\xff\xff\x9f\x94\xa2C\x00\x00\x00\x01tRNS\x00@\xe6\xd8f\x00\x00\x00/IDATx\x01c\x18!\x80\xff\xff\xff\xff\x1f\xa8\xcc\xfe\x0f\x02\x04\xd8\x1f\x1e\x1en\xe7\xa7\x16\x9b\xce\xf6\x8e\xda{\x18f>;\x98\xfd\x00\x85=""\x00\x00\xef^\xc0L>\xd7\xb4\xc5\x00\x00\x00\x00IEND\xaeB`\x82'"
