Z_PK,Z_ENT,Z_OPT,ZAUTHORTS,ZBUNDLEIDTS,ZCONTEXTNAMETS,ZPROCESSIDTS,ZTIMESTAMP,ZAUTHOR,ZBUNDLEID,ZCONTEXTNAME,ZPROCESSID,ZQUERYGEN
478,16002,,,1,,2,608321278.093857,,,,,
479,16002,,,1,,2,608321278.113548,,,,,
480,16002,,,1,,2,608321279.456844,,,,,
481,16002,,,1,,2,608321280.24901,,,,,
482,16002,,,1,,2,608321280.386013,,,,,
483,16002,,,1,,2,608321280.592861,,,,,
484,16002,,,1,,2,608321280.966105,,,,,
485,16002,,,1,,2,608321297.50321,,,,,
486,16002,,,1,,2,608321297.663835,,,,,
487,16002,,,1,,2,608321298.966224,,,,,
488,16002,,,1,,2,608321299.401487,,,,,
489,16002,,,1,,2,608321299.670512,,,,,
490,16002,,,1,,2,608321300.13208,,,,,
491,16002,,,1,,2,608321308.562978,,,,,
492,16002,,,1,,2,608321316.971039,,,,,
493,16002,,,1,,2,608321316.985946,,,,,
494,16002,,,1,,2,608321318.686627,,,,,
495,16002,,,1,,2,608321319.242216,,,,,
496,16002,,,1,,2,608321319.521163,,,,,
497,16002,,,1,,2,608321320.002699,,,,,
498,16002,,,1,,2,608321327.545171,,,,,
499,16002,,,1,,2,608321336.615388,,,,,
500,16002,,,1,,2,608321336.629385,,,,,
501,16002,,,1,,2,608321337.851026,,,,,
502,16002,,,1,,2,608321338.05714,,,,,
503,16002,,,1,,2,608321338.286074,,,,,
504,16002,,,1,,2,608321338.736964,,,,,
505,16002,,,1,,2,608321347.511674,,,,,
506,16002,,,1,,2,608321366.141571,,,,,
507,16002,,,1,,2,608398111.270711,,,,,
508,16002,,,1,,2,608398111.637666,,,,,
509,16002,,,1,,2,608398111.753287,,,,,
510,16002,,,1,,2,608398112.844852,,,,,
511,16002,,,1,,2,608398113.231052,,,,,
512,16002,,,1,,2,608398113.254815,,,,,
513,16002,,,1,,2,608398113.273953,,,,,
514,16002,,,1,,2,608398113.875296,,,,,
515,16002,,,1,,2,608398114.063896,,,,,
516,16002,,,1,,2,608398114.308333,,,,,
517,16002,,,1,,2,608398114.532269,,,,,
518,16002,,,1,,2,608398114.810038,,,,,
519,16002,,,1,,2,608398115.173849,,,,,
520,16002,,,1,,2,608398115.375603,,,,,
521,16002,,,1,,2,608398115.60235,,,,,
522,16002,,,1,,2,608398115.802332,,,,,
523,16002,,,1,,2,608398116.000507,,,,,
524,16002,,,1,,2,608398116.242266,,,,,
525,16002,,,1,,2,608398116.595387,,,,,
526,16002,,,1,,2,608398116.851486,,,,,
527,16002,,,1,,2,608398117.11789,,,,,
528,16002,,,1,,2,608398117.406598,,,,,
529,16002,,,1,,2,608398117.683267,,,,,
530,16002,,,1,,2,608398117.946812,,,,,
531,16002,,,1,,2,608398118.207593,,,,,
532,16002,,,1,,2,608398118.380506,,,,,
533,16002,,,1,,2,608398118.458947,,,,,
534,16002,,,1,,2,608398118.67426,,,,,
535,16002,,,1,,2,608398118.893744,,,,,
536,16002,,,1,,2,608398119.117963,,,,,
537,16002,,,1,,2,608398119.388478,,,,,
538,16002,,,1,,2,608398119.682494,,,,,
539,16002,,,1,,2,608398119.969323,,,,,
540,16002,,,1,,2,608398120.24329,,,,,
541,16002,,,1,,2,608398120.499934,,,,,
542,16002,,,1,,2,608398120.757056,,,,,
543,16002,,,1,,2,608398120.994856,,,,,
544,16002,,,1,,2,608398121.292555,,,,,
545,16002,,,1,,2,608398121.459244,,,,,
546,16002,,,1,,2,608398121.768195,,,,,
547,16002,,,1,,2,608398122.012119,,,,,
548,16002,,,1,,2,608398122.217688,,,,,
549,16002,,,1,,2,608398122.229348,,,,,
550,16002,,,1,,2,608398123.237407,,,,,
551,16002,,,1,,2,608398458.039263,,,,,
552,16002,,,1,,2,608398458.22801,,,,,
553,16002,,,1,,2,608398459.062749,,,,,
554,16002,,,1,,2,608398459.150211,,,,,
555,16002,,,1,,2,608398459.169154,,,,,
