Z_1DATATYPES,Z_4FEEDITEMS
3,3
3,2
2,3
1,3
24,18
23,18
22,18
21,18
20,18
19,18
18,18
17,18
16,18
15,18
14,18
13,18
12,18
11,18
10,18
9,18
8,18
7,18
6,18
5,18
4,18
114,105
113,25
112,80
111,94
110,50
109,35
108,99
107,77
106,97
105,23
104,122
103,131
102,24
101,112
100,107
99,38
98,115
97,88
96,30
95,114
94,65
93,22
92,69
91,34
90,111
89,58
88,39
87,100
86,66
85,67
84,31
83,49
82,71
81,129
80,73
79,124
78,121
77,95
76,64
75,81
74,75
73,84
72,21
71,48
70,133
69,103
68,60
67,96
66,55
65,79
64,117
63,40
62,37
61,85
60,126
59,36
58,113
57,128
56,68
55,127
54,118
53,93
52,46
51,108
50,101
49,89
48,47
47,26
46,78
45,62
44,52
43,59
42,29
41,134
40,104
39,120
38,41
37,83
36,98
35,63
34,130
33,106
32,42
31,91
30,61
29,102
28,123
27,116
26,33
25,27
23,57
22,92
24,53
4,70
6,28
21,44
20,82
1,110
14,51
17,54
15,32
19,109
16,90
18,86
9,125
13,56
11,45
5,43
3,132
8,74
2,72
12,76
10,119
7,87
44,141
104,148
29,149
38,136
99,140
68,138
58,151
26,146
1,139
108,135
50,137
47,145
66,147
79,152
80,153
114,142
2,150
80,171
80,165
66,168
66,166
47,169
68,181
68,179
68,180
68,178
68,177
25,185
25,184
25,182
25,186
25,183
72,188
72,187
72,190
72,189
72,191
81,192
81,196
81,194
81,193
81,195
108,199
108,200
108,201
108,197
80,202
80,206
80,203
80,204
80,205
47,211
47,209
47,208
50,213
50,212
50,214
93,216
93,218
93,215
93,217
93,219
40,224
40,221
40,222
40,220
40,223
43,228
43,226
43,227
43,229
43,225
85,234
85,233
85,231
85,230
85,232
61,236
61,239
61,238
61,235
61,237
69,243
69,244
69,242
69,240
69,241
89,247
89,245
89,246
89,248
89,249
32,251
32,254
32,253
32,252
32,250
103,259
103,256
103,255
103,258
103,257
48,260
48,262
48,261
75,265
75,263
75,264
112,268
112,266
112,267
65,269
65,272
65,273
65,271
65,270
87,276
87,275
87,277
87,274
38,279
38,280
38,281
38,282
38,278
66,287
66,286
66,285
66,284
66,283
30,289
30,288
30,290
100,294
100,291
100,292
100,293
100,295
58,300
58,296
58,297
58,299
26,305
26,303
26,301
26,304
26,302
21,307
21,306
18,311
18,310
23,316
23,312
23,315
23,313
4,319
4,318
79,321
79,323
79,324
79,320
79,322
105,325
105,326
3,329
3,330
3,328
66,340
80,344
47,347
66,357
114,354
80,353
99,356
47,358
108,373
108,374
47,375
21,376
18,377
23,378
4,379
38,417
80,426
66,427
99,434
38,433
47,431
47,435
47,437
58,438
80,442
66,444
47,441
38,443
99,451
99,450
114,452
114,449
104,448
1,460
