Z_4FEEDITEMS1,Z_6KEYWORDS
3,1
2,1
4,2
5,3
6,3
17,2
18,4
18,5
18,7
18,6
19,4
134,11
133,9
132,1
131,9
130,11
129,7
128,3
127,12
126,9
125,4
124,10
123,12
122,12
121,9
120,12
119,4
118,9
117,9
116,9
115,9
114,9
113,12
112,9
111,9
110,1
109,4
108,3
107,12
106,12
105,12
104,9
103,9
102,12
101,6
101,3
100,7
100,6
99,6
99,3
98,11
97,3
96,9
95,9
94,12
93,7
92,4
91,9
90,4
89,7
88,9
87,4
86,4
86,5
85,9
84,1
83,7
82,4
81,9
80,9
79,5
78,9
77,12
76,4
75,5
74,4
73,12
72,1
71,5
70,4
69,9
68,9
67,9
66,6
66,11
66,3
65,3
64,6
64,11
63,9
62,12
62,11
61,9
60,6
60,5
59,9
58,9
57,6
57,4
56,4
55,12
54,4
53,4
52,9
51,4
50,5
49,7
48,9
47,9
46,11
46,5
45,4
44,7
44,4
43,4
42,9
41,8
40,5
39,9
38,12
37,3
36,9
35,9
34,3
33,9
32,4
31,3
30,9
29,3
28,4
27,7
26,12
25,9
24,12
23,12
22,9
21,7
153,12
152,10
151,12
150,1
149,12
148,12
147,12
146,9
145,12
142,12
141,9
140,12
139,1
138,6
138,5
137,6
137,3
136,8
135,6
135,3
155,2
171,12
171,14
169,14
169,12
168,14
168,12
166,13
166,12
165,13
165,12
181,6
181,5
180,5
180,6
179,5
179,6
178,6
178,5
177,6
177,5
186,7
185,7
184,7
183,7
182,7
191,7
190,7
189,7
188,7
187,7
196,7
195,7
194,7
193,7
192,7
201,6
201,3
200,6
200,3
199,6
199,3
197,6
197,3
206,12
205,12
204,12
203,12
202,12
211,12
209,12
208,12
214,6
214,3
213,6
213,3
212,6
212,3
219,9
218,9
217,9
216,9
215,9
224,9
223,9
222,9
221,9
220,9
229,9
228,9
227,9
226,9
225,9
234,9
233,9
232,9
231,9
230,9
239,9
238,9
237,9
236,9
235,9
244,9
243,9
242,9
241,9
240,9
249,9
248,9
247,9
246,9
245,9
254,9
253,9
252,9
251,9
250,9
259,9
258,9
257,9
256,9
255,9
262,9
261,9
260,9
265,9
264,9
263,9
268,9
267,9
266,9
273,5
272,5
271,5
270,5
269,5
277,6
277,7
276,6
276,7
275,6
275,7
274,6
274,7
282,8
281,8
280,8
279,8
278,8
287,12
286,12
285,12
284,12
283,12
290,9
289,9
288,9
295,12
294,12
293,12
292,12
291,12
300,12
299,12
297,12
296,12
305,9
304,9
303,9
302,9
301,9
307,4
307,7
306,4
306,7
311,5
311,4
310,5
310,4
316,6
316,4
315,6
315,4
313,6
313,4
312,6
312,4
319,4
318,4
324,10
323,10
322,10
321,10
320,10
326,12
325,12
330,1
329,1
328,1
347,14
347,12
344,14
344,12
340,14
340,12
357,12
357,15
356,12
356,15
354,12
354,15
353,12
353,15
358,12
358,15
365,16
372,16
372,17
371,16
371,23
370,18
370,16
369,20
369,16
368,22
368,16
367,21
367,16
366,19
366,16
373,13
373,6
373,3
374,6
374,3
375,12
376,7
376,4
377,4
377,5
378,6
378,4
379,4
417,8
417,14
427,12
427,13
426,12
426,13
435,12
435,13
434,12
434,13
433,14
433,8
431,12
431,13
437,12
438,12
444,14
444,12
443,14
443,8
442,12
442,14
441,14
441,12
452,12
452,13
451,12
451,13
450,14
450,12
449,14
449,12
448,14
448,12
460,1
