ROWID,key,input_mode,value,secondary_value,real_value,properties,last_update_date,journaled
1138,tium.durationTappedWords,en_US,413,0,413.0,"b'bplist00\xd4\x01\x02\x03\x04\x05\x06\x07\nX$versionY$archiverT$topX$objects\x12\x00\x01\x86\xa0_\x10\x0fNSKeyedArchiver\xd1\x08\tTroot\x80\x01\xa6\x0b\x0c\x19\x1a\x1b\x1cU$null\xd6\r\x0e\x0f\x10\x11\x12\x13\x14\x15\x16\x17\x18Xlanguage\\keyboardTypeVregionV$classZlayoutName_\x10\x12userInterfaceIdiom\x80\x02\x10\x01\x80\x03\x80\x05\x80\x04\x10\x00RenRUSVQWERTY\xd2\x1d\x1e\x1f Z$classnameX$classes_\x10\x16TICAnalyticsMetricsKey\xa2!""_\x10\x16TICAnalyticsMetricsKeyXNSObject\x00\x08\x00\x11\x00\x1a\x00$\x00)\x002\x007\x00I\x00L\x00Q\x00S\x00Z\x00`\x00m\x00v\x00\x83\x00\x8a\x00\x91\x00\x9c\x00\xb1\x00\xb3\x00\xb5\x00\xb7\x00\xb9\x00\xbb\x00\xbd\x00\xc0\x00\xc3\x00\xca\x00\xcf\x00\xda\x00\xe3\x00\xfc\x00\xff\x01\x18\x00\x00\x00\x00\x00\x00\x02\x01\x00\x00\x00\x00\x00\x00\x00#\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01!'",1586651310.462853,
1139,tium.durationTappedWords,en_US,449,1,449.0,"b'bplist00\xd4\x01\x02\x03\x04\x05\x06\x07\nX$versionY$archiverT$topX$objects\x12\x00\x01\x86\xa0_\x10\x0fNSKeyedArchiver\xd1\x08\tTroot\x80\x01\xa6\x0b\x0c\x19\x1a\x1b\x1cU$null\xd6\r\x0e\x0f\x10\x11\x12\x13\x14\x15\x16\x17\x18Xlanguage\\keyboardTypeVregionV$classZlayoutName_\x10\x12userInterfaceIdiom\x80\x02\x10\x01\x80\x03\x80\x05\x80\x04\x10\x00RenRUSVQWERTY\xd2\x1d\x1e\x1f Z$classnameX$classes_\x10\x16TICAnalyticsMetricsKey\xa2!""_\x10\x16TICAnalyticsMetricsKeyXNSObject\x00\x08\x00\x11\x00\x1a\x00$\x00)\x002\x007\x00I\x00L\x00Q\x00S\x00Z\x00`\x00m\x00v\x00\x83\x00\x8a\x00\x91\x00\x9c\x00\xb1\x00\xb3\x00\xb5\x00\xb7\x00\xb9\x00\xbb\x00\xbd\x00\xc0\x00\xc3\x00\xca\x00\xcf\x00\xda\x00\xe3\x00\xfc\x00\xff\x01\x18\x00\x00\x00\x00\x00\x00\x02\x01\x00\x00\x00\x00\x00\x00\x00#\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01!'",1586651310.462853,
1140,tium.durationTappedWords,en_US,1016,3,1016.0,"b'bplist00\xd4\x01\x02\x03\x04\x05\x06\x07\nX$versionY$archiverT$topX$objects\x12\x00\x01\x86\xa0_\x10\x0fNSKeyedArchiver\xd1\x08\tTroot\x80\x01\xa6\x0b\x0c\x19\x1a\x1b\x1cU$null\xd6\r\x0e\x0f\x10\x11\x12\x13\x14\x15\x16\x17\x18Xlanguage\\keyboardTypeVregionV$classZlayoutName_\x10\x12userInterfaceIdiom\x80\x02\x10\x01\x80\x03\x80\x05\x80\x04\x10\x00RenRUSVQWERTY\xd2\x1d\x1e\x1f Z$classnameX$classes_\x10\x16TICAnalyticsMetricsKey\xa2!""_\x10\x16TICAnalyticsMetricsKeyXNSObject\x00\x08\x00\x11\x00\x1a\x00$\x00)\x002\x007\x00I\x00L\x00Q\x00S\x00Z\x00`\x00m\x00v\x00\x83\x00\x8a\x00\x91\x00\x9c\x00\xb1\x00\xb3\x00\xb5\x00\xb7\x00\xb9\x00\xbb\x00\xbd\x00\xc0\x00\xc3\x00\xca\x00\xcf\x00\xda\x00\xe3\x00\xfc\x00\xff\x01\x18\x00\x00\x00\x00\x00\x00\x02\x01\x00\x00\x00\x00\x00\x00\x00#\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01!'",1586651310.462853,
1141,tium.durationTappedWords,en_US,1550,6,1550.0,"b'bplist00\xd4\x01\x02\x03\x04\x05\x06\x07\nX$versionY$archiverT$topX$objects\x12\x00\x01\x86\xa0_\x10\x0fNSKeyedArchiver\xd1\x08\tTroot\x80\x01\xa6\x0b\x0c\x19\x1a\x1b\x1cU$null\xd6\r\x0e\x0f\x10\x11\x12\x13\x14\x15\x16\x17\x18Xlanguage\\keyboardTypeVregionV$classZlayoutName_\x10\x12userInterfaceIdiom\x80\x02\x10\x01\x80\x03\x80\x05\x80\x04\x10\x00RenRUSVQWERTY\xd2\x1d\x1e\x1f Z$classnameX$classes_\x10\x16TICAnalyticsMetricsKey\xa2!""_\x10\x16TICAnalyticsMetricsKeyXNSObject\x00\x08\x00\x11\x00\x1a\x00$\x00)\x002\x007\x00I\x00L\x00Q\x00S\x00Z\x00`\x00m\x00v\x00\x83\x00\x8a\x00\x91\x00\x9c\x00\xb1\x00\xb3\x00\xb5\x00\xb7\x00\xb9\x00\xbb\x00\xbd\x00\xc0\x00\xc3\x00\xca\x00\xcf\x00\xda\x00\xe3\x00\xfc\x00\xff\x01\x18\x00\x00\x00\x00\x00\x00\x02\x01\x00\x00\x00\x00\x00\x00\x00#\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01!'",1586651310.462853,
1142,tium.pathIneligibleWordsTapped,en_US,2,0,2.0,"b'bplist00\xd4\x01\x02\x03\x04\x05\x06\x07\nX$versionY$archiverT$topX$objects\x12\x00\x01\x86\xa0_\x10\x0fNSKeyedArchiver\xd1\x08\tTroot\x80\x01\xa6\x0b\x0c\x19\x1a\x1b\x1cU$null\xd6\r\x0e\x0f\x10\x11\x12\x13\x14\x15\x16\x17\x18Xlanguage\\keyboardTypeVregionV$classZlayoutName_\x10\x12userInterfaceIdiom\x80\x02\x10\x01\x80\x03\x80\x05\x80\x04\x10\x00RenRUSVQWERTY\xd2\x1d\x1e\x1f Z$classnameX$classes_\x10\x16TICAnalyticsMetricsKey\xa2!""_\x10\x16TICAnalyticsMetricsKeyXNSObject\x00\x08\x00\x11\x00\x1a\x00$\x00)\x002\x007\x00I\x00L\x00Q\x00S\x00Z\x00`\x00m\x00v\x00\x83\x00\x8a\x00\x91\x00\x9c\x00\xb1\x00\xb3\x00\xb5\x00\xb7\x00\xb9\x00\xbb\x00\xbd\x00\xc0\x00\xc3\x00\xca\x00\xcf\x00\xda\x00\xe3\x00\xfc\x00\xff\x01\x18\x00\x00\x00\x00\x00\x00\x02\x01\x00\x00\x00\x00\x00\x00\x00#\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01!'",1586651310.462853,
1143,tium.wordsTyped,en_US,2,0,2.0,"b'bplist00\xd4\x01\x02\x03\x04\x05\x06\x07\nX$versionY$archiverT$topX$objects\x12\x00\x01\x86\xa0_\x10\x0fNSKeyedArchiver\xd1\x08\tTroot\x80\x01\xa6\x0b\x0c\x19\x1a\x1b\x1cU$null\xd6\r\x0e\x0f\x10\x11\x12\x13\x14\x15\x16\x17\x18Xlanguage\\keyboardTypeVregionV$classZlayoutName_\x10\x12userInterfaceIdiom\x80\x02\x10\x01\x80\x03\x80\x05\x80\x04\x10\x00RenRUSVQWERTY\xd2\x1d\x1e\x1f Z$classnameX$classes_\x10\x16TICAnalyticsMetricsKey\xa2!""_\x10\x16TICAnalyticsMetricsKeyXNSObject\x00\x08\x00\x11\x00\x1a\x00$\x00)\x002\x007\x00I\x00L\x00Q\x00S\x00Z\x00`\x00m\x00v\x00\x83\x00\x8a\x00\x91\x00\x9c\x00\xb1\x00\xb3\x00\xb5\x00\xb7\x00\xb9\x00\xbb\x00\xbd\x00\xc0\x00\xc3\x00\xca\x00\xcf\x00\xda\x00\xe3\x00\xfc\x00\xff\x01\x18\x00\x00\x00\x00\x00\x00\x02\x01\x00\x00\x00\x00\x00\x00\x00#\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01!'",1586651310.462853,
1144,tium.wordsTyped,en_US,1,1,1.0,"b'bplist00\xd4\x01\x02\x03\x04\x05\x06\x07\nX$versionY$archiverT$topX$objects\x12\x00\x01\x86\xa0_\x10\x0fNSKeyedArchiver\xd1\x08\tTroot\x80\x01\xa6\x0b\x0c\x19\x1a\x1b\x1cU$null\xd6\r\x0e\x0f\x10\x11\x12\x13\x14\x15\x16\x17\x18Xlanguage\\keyboardTypeVregionV$classZlayoutName_\x10\x12userInterfaceIdiom\x80\x02\x10\x01\x80\x03\x80\x05\x80\x04\x10\x00RenRUSVQWERTY\xd2\x1d\x1e\x1f Z$classnameX$classes_\x10\x16TICAnalyticsMetricsKey\xa2!""_\x10\x16TICAnalyticsMetricsKeyXNSObject\x00\x08\x00\x11\x00\x1a\x00$\x00)\x002\x007\x00I\x00L\x00Q\x00S\x00Z\x00`\x00m\x00v\x00\x83\x00\x8a\x00\x91\x00\x9c\x00\xb1\x00\xb3\x00\xb5\x00\xb7\x00\xb9\x00\xbb\x00\xbd\x00\xc0\x00\xc3\x00\xca\x00\xcf\x00\xda\x00\xe3\x00\xfc\x00\xff\x01\x18\x00\x00\x00\x00\x00\x00\x02\x01\x00\x00\x00\x00\x00\x00\x00#\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01!'",1586651310.462853,
1145,tium.wordsTyped,en_US,1,3,1.0,"b'bplist00\xd4\x01\x02\x03\x04\x05\x06\x07\nX$versionY$archiverT$topX$objects\x12\x00\x01\x86\xa0_\x10\x0fNSKeyedArchiver\xd1\x08\tTroot\x80\x01\xa6\x0b\x0c\x19\x1a\x1b\x1cU$null\xd6\r\x0e\x0f\x10\x11\x12\x13\x14\x15\x16\x17\x18Xlanguage\\keyboardTypeVregionV$classZlayoutName_\x10\x12userInterfaceIdiom\x80\x02\x10\x01\x80\x03\x80\x05\x80\x04\x10\x00RenRUSVQWERTY\xd2\x1d\x1e\x1f Z$classnameX$classes_\x10\x16TICAnalyticsMetricsKey\xa2!""_\x10\x16TICAnalyticsMetricsKeyXNSObject\x00\x08\x00\x11\x00\x1a\x00$\x00)\x002\x007\x00I\x00L\x00Q\x00S\x00Z\x00`\x00m\x00v\x00\x83\x00\x8a\x00\x91\x00\x9c\x00\xb1\x00\xb3\x00\xb5\x00\xb7\x00\xb9\x00\xbb\x00\xbd\x00\xc0\x00\xc3\x00\xca\x00\xcf\x00\xda\x00\xe3\x00\xfc\x00\xff\x01\x18\x00\x00\x00\x00\x00\x00\x02\x01\x00\x00\x00\x00\x00\x00\x00#\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01!'",1586651310.462853,
1146,tium.wordsTyped,en_US,1,6,1.0,"b'bplist00\xd4\x01\x02\x03\x04\x05\x06\x07\nX$versionY$archiverT$topX$objects\x12\x00\x01\x86\xa0_\x10\x0fNSKeyedArchiver\xd1\x08\tTroot\x80\x01\xa6\x0b\x0c\x19\x1a\x1b\x1cU$null\xd6\r\x0e\x0f\x10\x11\x12\x13\x14\x15\x16\x17\x18Xlanguage\\keyboardTypeVregionV$classZlayoutName_\x10\x12userInterfaceIdiom\x80\x02\x10\x01\x80\x03\x80\x05\x80\x04\x10\x00RenRUSVQWERTY\xd2\x1d\x1e\x1f Z$classnameX$classes_\x10\x16TICAnalyticsMetricsKey\xa2!""_\x10\x16TICAnalyticsMetricsKeyXNSObject\x00\x08\x00\x11\x00\x1a\x00$\x00)\x002\x007\x00I\x00L\x00Q\x00S\x00Z\x00`\x00m\x00v\x00\x83\x00\x8a\x00\x91\x00\x9c\x00\xb1\x00\xb3\x00\xb5\x00\xb7\x00\xb9\x00\xbb\x00\xbd\x00\xc0\x00\xc3\x00\xca\x00\xcf\x00\xda\x00\xe3\x00\xfc\x00\xff\x01\x18\x00\x00\x00\x00\x00\x00\x02\x01\x00\x00\x00\x00\x00\x00\x00#\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01!'",1586651310.462853,
1147,tium.pathEligibleWordsTapped,en_US,1,1,1.0,"b'bplist00\xd4\x01\x02\x03\x04\x05\x06\x07\nX$versionY$archiverT$topX$objects\x12\x00\x01\x86\xa0_\x10\x0fNSKeyedArchiver\xd1\x08\tTroot\x80\x01\xa6\x0b\x0c\x19\x1a\x1b\x1cU$null\xd6\r\x0e\x0f\x10\x11\x12\x13\x14\x15\x16\x17\x18Xlanguage\\keyboardTypeVregionV$classZlayoutName_\x10\x12userInterfaceIdiom\x80\x02\x10\x01\x80\x03\x80\x05\x80\x04\x10\x00RenRUSVQWERTY\xd2\x1d\x1e\x1f Z$classnameX$classes_\x10\x16TICAnalyticsMetricsKey\xa2!""_\x10\x16TICAnalyticsMetricsKeyXNSObject\x00\x08\x00\x11\x00\x1a\x00$\x00)\x002\x007\x00I\x00L\x00Q\x00S\x00Z\x00`\x00m\x00v\x00\x83\x00\x8a\x00\x91\x00\x9c\x00\xb1\x00\xb3\x00\xb5\x00\xb7\x00\xb9\x00\xbb\x00\xbd\x00\xc0\x00\xc3\x00\xca\x00\xcf\x00\xda\x00\xe3\x00\xfc\x00\xff\x01\x18\x00\x00\x00\x00\x00\x00\x02\x01\x00\x00\x00\x00\x00\x00\x00#\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01!'",1586651310.462853,
