Z_PK,Z_ENT,Z_OPT,ZFLAGS,ZPREDOMINANTMOTIONACTIVITYTYPE,ZDESTINATION,ZDEVICE,ZORIGIN,ZCREATIONDATE,ZEXPIRATIONDATE,ZSTARTDATE,ZSTOPDATE,ZCKRECORDID,ZIDENTIFIER,ZCKRECORDSYSTEMFIELDS
2,13,4,0,2,4,1,,606879240.018892,611683606.231525,606766461.840949,606766943.732257,8A64227D-3738-47AD-BFBD-2F169A2EA2F4,"b'\x8ad""}78G\xad\xbf\xbd/\x16\x9a.\xa2\xf4'",
3,13,5,0,4,5,1,,606965715.81429,611778445.011714,606846716.533653,606847285.011714,B324ADAC-F62E-46DA-AC9E-0BAA8579657E,b'\xb3$\xad\xac\xf6.F\xda\xac\x9e\x0b\xaa\x85ye~',
5,13,2,0,2,8,1,5.0,607053111.820486,611866666.726572,606940045.011714,606940426.726572,DFC4A73A-B15B-4295-A398-59A4B384767B,b'\xdf\xc4\xa7:\xb1[B\x95\xa3\x98Y\xa4\xb3\x84v{',
6,13,2,0,0,9,2,,607077099.831349,611866672.261674,606846651.321071,606847552.261674,594D04BD-41D3-42FC-AFC7-A4E0AB5C3013,b'YM\x04\xbdA\xd3B\xfc\xaf\xc7\xa4\xe0\xab\\0\x13',
7,13,1,0,0,11,2,10.0,607163359.992106,611962672.9978166,607099312.9978166,607100752.9978166,B8300403-8D0A-4067-84D8-909F32060EA6,b'\xb80\x04\x03\x8d\n@g\x84\xd8\x90\x9f2\x06\x0e\xa6',
8,13,1,0,0,10,2,9.0,607163359.992106,611937712.9978166,607028272.261674,607029652.9978166,24DA9A01-7451-4ACE-896D-5DEF396D99CE,b'$\xda\x9a\x01tQJ\xce\x89m]\xef9m\x99\xce',
9,13,2,0,4,13,1,12.0,607454020.143407,612258308.665651,607372171.358878,607373108.665651,18E1F80F-3773-4F89-AD0E-3467A95BD40B,b'\x18\xe1\xf8\x0f7sO\x89\xad\x0e4g\xa9[\xd4\x0b',
10,13,2,0,3,12,1,8.0,607454020.143407,612210571.358878,607028266.726572,607029706.9968524,F59B8905-F2B2-4AC1-BC03-74C38F7E95FB,b'\xf5\x9b\x89\x05\xf2\xb2J\xc1\xbc\x03t\xc3\x8f~\x95\xfb',
11,13,1,0,0,14,2,16.0,607336162.757104,612107952.606557,607265117.301558,607267097.301558,0F60D18E-B1E5-4335-9996-0641E51C7826,b'\x0f`\xd1\x8e\xb1\xe5C5\x99\x96\x06A\xe5\x1cx&',
12,13,1,0,0,16,2,11.0,607336162.757104,609079517.301558,607124272.9978166,607125257.301558,BAED8766-CFA1-44AD-BF96-1F7EDD727099,b'\xba\xed\x87f\xcf\xa1D\xad\xbf\x96\x1f~\xddrp\x99',
13,13,1,0,0,15,2,14.0,607336162.757104,609085651.243969,607269552.606557,607269952.541009,CE780A86-4E04-48A9-AD4E-3F9F7495DBFB,b'\xcex\n\x86N\x04H\xa9\xadN?\x9ft\x95\xdb\xfb',
14,13,2,0,4,17,1,18.0,607527495.979759,609271255.9948255,607455286.9984567,607456677.9940804,2E10C046-1A28-478D-9131-7FDB64CA01F9,b'.\x10\xc0F\x1a(G\x8d\x911\x7f\xdbd\xca\x01\xf9',
15,13,3,0,1,18,1,,607527495.979759,612293686.9984567,607419908.665651,607420293.0219659,A1CB4ED1-9D9B-4BA5-853A-5AA642B87B3B,b'\xa1\xcbN\xd1\x9d\x9bK\xa5\x85:Z\xa6B\xb8{;',
16,13,1,0,0,19,2,15.0,607422558.0639,612212352.24604,607271251.243969,607272192.24604,52390DAA-5105-42F8-849D-DE16D1355B26,b'R9\r\xaaQ\x05B\xf8\x84\x9d\xde\x16\xd15[&',
