entry_ID,isDataOnFS,receiver_data
1,1,C6900EAC-BA82-49DA-8253-89732E2A1FDE
2,0,"b'{""iOS.Podcasts.EpisodeBonus"":""Episode @@episodeNumber@@ Bonus"",""iOS.Podcasts.EpisodeAndSeasonBonusVideo"":""Season @@seasonNumber@@, Episode @@episodeNumber@@ Bonus Video"",""iOS.Podcasts.SeeMoreEpisodes"":""See More Episodes"",""iOS.Podcasts.TrailersHeader.one"":""Trailer"",""iOS.Podcasts.EpisodeFormat"":""Episode @@episodeNumber@@"",""iOS.Podcasts.EpisodeWebpage"":""Episode Webpage"",""iOS.Podcasts.BonusDocument"":""Bonus Document"",""iOS.Podcasts.SeasonBonusDocument"":""Season @@seasonNumber@@ Bonus Document"",""iOS.Podcasts.StartWithSeasonFormat"":""Start with Season @@seasonNumber@@"",""iOS.Podcasts.EpisodeNotes"":""Episode Notes"",""iOS.Podcasts.EpisodeBonusDocument"":""Episode @@episodeNumber@@ Bonus Document"",""iOS.Podcasts.BonusVideo"":""Bonus Video"",""iOS.Podcasts.FeaturedProviders"":""Featured Providers"",""iOS.Podcasts.TrailersHeader"":""Trailers"",""iOS.Podcasts.EpisodeAndSeasonBonusDocument"":""Season @@seasonNumber@@, Episode @@episodeNumber@@ Bonus Document"",""iOS.Podcasts.EpisodeNumberAndTitleFormat"":""@@episodeNumber@@. @@episodeTitle@@"",""iOS.Podcasts.BadgeCategory"":""Category"",""iOS.Podcasts.EpisodeAndSeasonTrailer"":""Season @@seasonNumber@@, Episode @@episodeNumber@@ Trailer"",""iOS.Podcasts.SeasonBonus"":""Season @@seasonNumber@@ Bonus"",""iOS.Podcasts.EpisodeAndSeasonNumberFormat"":""Season @@seasonNumber@@, Episode @@episodeNumber@@"",""iOS.Podcasts.EpisodeTrailer"":""Episode @@episodeNumber@@ Trailer"",""iOS.Podcasts.UnknownSeason"":""Unknown Season"",""iOS.Podcasts.Bonus"":""Bonus"",""iOS.Podcasts.SeasonTrailerFormat"":""Season @@seasonNumber@@ Trailer"",""iOS.Podcasts.EpisodeDetailsActionTitle"":""Details"",""iOS.Podcasts.EpisodeBonusVideo"":""Episode @@episodeNumber@@ Bonus Video"",""Podcast.Reco.Module.PYML.Title"":""Shows You Might Like"",""iOS.Podcasts.SeasonBonusVideo"":""Season @@seasonNumber@@ Bonus Video"",""iOS.Podcasts.EpisodeAndSeasonBonus"":""Season @@seasonNumber@@, Episode @@episodeNumber@@ Bonus"",""iOS.Podcasts.SeasonFormat"":""Season @@seasonNumber@@"",""Ok"":""OK""}'"
3,1,BFA9B4E5-74B9-41FB-9937-5818840B2D54
4,0,b'<plist>\n<dict>\n<key>sign-sap-setup-cert</key>\n<data>AQIAAAQWMIIEEjCCAvqgAwIBAgIBHDANBgkqhkiG9w0BAQUFADBiMQswCQYDVQQGEwJVUzETMBEGA1UEChMKQXBwbGUgSW5jLjEmMCQGA1UECxMdQXBwbGUgQ2VydGlmaWNhdGlvbiBBdXRob3JpdHkxFjAUBgNVBAMTDUFwcGxlIFJvb3QgQ0EwHhcNMTEwMTI2MTkwMTM0WhcNMTkwMTI2MTkwMTM0WjCBhTELMAkGA1UEBhMCVVMxEzARBgNVBAoMCkFwcGxlIEluYy4xJjAkBgNVBAsMHUFwcGxlIENlcnRpZmljYXRpb24gQXV0aG9yaXR5MTkwNwYDVQQDDDBBcHBsZSBTeXN0ZW0gSW50ZWdyYXRpb24gQ2VydGlmaWNhdGlvbiBBdXRob3JpdHkwggEiMA0GCSqGSIb3DQEBAQUAA4IBDwAwggEKAoIBAQDa4A+Yl8tYKYYqC7ieGVoxwy0OaixSAe4dA/uCQWnNUCY2ercMbw45A7jUGFajCLI8w/s2QeTXyGdgMgtOMn2H9/3NU7AauvwfbMlFB62COPOofMROwrFW2T6ybW0EQRrBmkfArBV8LXiRqweiZbF6g92YS3dA2O5Q68drWAgGl1dVfSf4Cua1Feenk/nxgOZCeT8W0zKdEXZBKQoxCe8PW/jzp6n3Ug27+C10rKZJHx/OewWnhT2+z6KnqiOFZv7FFhJ+W+Ixd5ECCd9+fuSK4OxBrBcsBOC8eaSJeEQGiztLoLyE4rCCtTK+BBwD7YI+dTcUz3WfgjFtzwkUhtEnAgMBAAGjga4wgaswDgYDVR0PAQH/BAQDAgGGMA8GA1UdEwEB/wQFMAMBAf8wHQYDVR0OBBYEFPAwc2Py7x2szOYJMsH6eXqxaVBoMB8GA1UdIwQYMBaAFCvQaUeUdgn+9GuNLkCm90dNfwheMDYGA1UdHwQvMC0wK6ApoCeGJWh0dHA6Ly93d3cuYXBwbGUuY29tL2FwcGxlY2Evcm9vdC5jcmwwEAYKKoZIhvdjZAYCBAQCBQAwDQYJKoZIhvcNAQEFBQADggEBAD17j60fDCKKm0ujz/grsB9o4Qz3nCSDFgMt07Ko0EPorzyXJsit1SzETFVTAUnQ4rT75tty0Zi7/JvITrePzGWGf0S52icqTt/L39N930Fx+LPAHaIKM7nsK8Vzcvvhyl2OLzT0a8RPD8iKrA/7byVut66Ox+QCuCBOXVZMSZexJHR+yZOTNIyZ0afAHNPUwq5p65+fV+Jox8rVxSKCZEFY/njRysH5NmprRPezhnJ6ZEAXMZ28rHXw+jNR5b0Balg/8ACumVwKwsnpXhyHAuygCFVBKpuMZIWOUAPN4BGvznIZ61Lzr5Ktky6Undav/8Am8d6UkhzZvD02zFX6ONsAAAUxMIIFLTCCBBWgAwIBAgIISnQ/0ZM7Y5AwDQYJKoZIhvcNAQEFBQAwgYUxCzAJBgNVBAYTAlVTMRMwEQYDVQQKDApBcHBsZSBJbmMuMSYwJAYDVQQLDB1BcHBsZSBDZXJ0aWZpY2F0aW9uIEF1dGhvcml0eTE5MDcGA1UEAwwwQXBwbGUgU3lzdGVtIEludGVncmF0aW9uIENlcnRpZmljYXRpb24gQXV0aG9yaXR5MB4XDTExMDQxNDIyMTE1NVoXDTE0MDQxMzIyMTE1NVowaTEdMBsGA1UEAwwURFJNIFRlY2hub2xvZ2llcyBBMDExJjAkBgNVBAsMHUFwcGxlIENlcnRpZmljYXRpb24gQXV0aG9yaXR5MRMwEQYDVQQKDApBcHBsZSBJbmMuMQswCQYDVQQGEwJVUzCCASIwDQYJKoZIhvcNAQEBBQADggEPADCCAQoCggEBAL4tkXdyBqnMthEsRK5gt/jeP83WbyB6RoltOli/TPr+DPipyRVPqSn391cfFiPVAEcZ/d8OI8hdTc5gdxTasGug6RLkC0prjq/Tf67ZQxG1X082Vr2T1ZWZa6iYid5v3UmtM+fKN6XCb+3Gj0opLqwXxTrpbfogirVOar2cIlJOdxyQj+ZCZla6NhvjBeCDMUCOMkV8zU7qtLIwIL0tEGX1wgiCUdYOljNPU1j1SMHeWruhqn47Y3inQRMTBGyb/kX9p1LEqrBbEoY0S/TU1pV+BaZS1HzkoXi9YJyL0/9K8j4zLNf7oMcGFj7T+c6QZxYSBTUBrj3qUMQFUk125zUCAwEAAaOCAbowggG2MB0GA1UdDgQWBBQMbHKfljPJRvMMXWJDZxYlhrNcVDAMBgNVHRMBAf8EAjAAMB8GA1UdIwQYMBaAFPAwc2Py7x2szOYJMsH6eXqxaVBoMIIBDgYDVR0gBIIBBTCCAQEwgf4GCSqGSIb3Y2QFATCB8DAoBggrBgEFBQcCARYcaHR0cDovL3d3dy5hcHBsZS5jb20vYXBwbGVjYTCBwwYIKwYBBQUHAgIwgbYMgbNSZWxpYW5jZSBvbiB0aGlzIGNlcnRpZmljYXRlIGJ5IGFueSBwYXJ0eSBhc3N1bWVzIGFjY2VwdGFuY2Ugb2YgdGhlIHRoZW4gYXBwbGljYWJsZSBzdGFuZGFyZCB0ZXJtcyBhbmQgY29uZGl0aW9ucyBvZiB1c2UsIGNlcnRpZmljYXRlIHBvbGljeSBhbmQgY2VydGlmaWNhdGlvbiBwcmFjdGljZSBzdGF0ZW1lbnRzLjAvBgNVHR8EKDAmMCSgIqAghh5odHRwOi8vY3JsLmFwcGxlLmNvbS9hc2ljYS5jcmwwDgYDVR0PAQH/BAQDAgWgMBMGCiqGSIb3Y2QGDAIBAf8EAgUAMA0GCSqGSIb3DQEBBQUAA4IBAQCzR9MjeoFy1yK32EyHlabYoUy1XY+OfcDN/qZkDJj3XJVKKrYVjfGtsyCQdMFaRhi9ItDUfk+GNjRC8rp6F3vaWqghiSyxQ9YlPKq+jVQGRBQbgIcSqLmso3b21KrJU3mdGcjgCwt7AIV8/sZAKuSgExUOb+RVF0clhTiWRdolLcdsYTM6Bq8LkZ8Ts/7CnwN0VC6Txp9gR+vuK1YPpVni9mxqGsiA1C2U42QZAYAytXYSHC7G25kCf4coEXOZRSCaDwWs9Aft0NMeLzLstJyKKRdGI1P9ynH6FM+BNhpWdL8ej9BpdNHYsVQTb8KrHSyxiHp11wYrOFZlGB58wcWr</data>\n</dict>\n</plist>\n'
5,1,64114EE2-EC85-4280-AA78-37981611BAEE
6,1,8673FA79-80B0-46A9-B04D-50EAF5695787
7,1,5BA4352D-8293-4D15-9B5F-4A75160B3090
8,1,E77031A6-8B38-4BF7-8DD0-D267D904B9C3
9,1,ECFC0CAC-55C4-4E26-BCC4-8649063246A1
10,1,265D9263-C201-4711-962D-F61DD02B5A6B
