id,topic_id,algorithm,initial_score,decay_rate,sentiment_score,extraction_os_build,extraction_asset_version,source_id,is_remote,is_sync_eligible,dk_event_id,impression_count,occurrences_in_source,algorithm_result_position,algorithm_result_count
1,Q2766,6,0.7980232834815979,0.0,0.04452822357416153,iOS-17D50,303,2,0,0,,1,1,0,0
11,Q4830453,7,1.0,0.0,0.0,iOS-17D50,303,15,0,1,b'\xf6\xbf1\x93B\xd7M\x94\xbcPe\xb830~\xcc',1,1,0,0
12,Q43229,7,1.0,0.0,0.0,iOS-17D50,303,15,0,1,b'\xf6\xb3\x9d\xbcM\xecB\x84\xa5\x9b\x9d\xa6x\xeck<',1,1,0,0
43,Q1454,4,1.0,0.0,0.0,iOS-17D50,303,141,0,0,,1,1,0,0
52,Q1454,4,0.5,0.0,0.0,iOS-17D50,303,172,0,0,,1,1,0,0
53,Q1454,4,0.5,0.0,0.0,iOS-17D50,303,173,0,0,,1,1,0,0
56,Q1454,4,0.5,0.0,0.0,iOS-17E262,303,177,0,0,,1,1,0,0
57,Q1454,4,0.5,0.0,0.0,iOS-17E262,303,178,0,0,,1,1,0,0
59,Q1454,4,0.5,0.0,0.0,iOS-17E262,304,181,0,0,,1,1,0,0
60,Q1454,4,0.5,0.0,0.0,iOS-17E262,304,182,0,0,,1,1,0,0
61,Q1454,4,1.96875,0.0,0.0,iOS-17E262,304,183,0,0,,1,1,0,0
