elementId,intValue,realValue,stringValue,dataType
10,2,,,1
21,1,,,1
22,3,,,1
23,2,,,1
24,3,,,1
25,4,,,1
26,3,,,1
27,2,,,1
28,4,,,1
29,2,,,1
30,4,,,1
31,5,,,1
32,2,,,1
33,2,,,1
45,1,,,1
46,1,,,1
47,1,,,1
48,1,,,1
49,1,,,1
50,1,,,1
51,1,,,1
62,1,,,1
66,1,,,1
67,1,,,1
68,1,,,1
69,1,,,1
70,1,,,1
71,1,,,1
72,1,,,1
73,1,,,1
74,1,,,1
75,1,,,1
76,1,,,1
77,1,,,1
78,1,,,1
79,3,,,1
80,1,,,1
91,2,,,1
92,1,,,1
93,2,,,1
94,1,,,1
95,1,,,1
96,2,,,1
97,2,,,1
98,1,,,1
99,1,,,1
100,1,,,1
101,2,,,1
102,1,,,1
103,1,,,1
104,1,,,1
105,2,,,1
106,1,,,1
107,1,,,1
108,1,,,1
109,2,,,1
129,4,,,1
130,6,,,1
131,1,,,1
132,3,,,1
140,2,,,1
141,1,,,1
142,2,,,1
143,1,,,1
144,1,,,1
145,1,,,1
146,3,,,1
147,1,,,1
148,1,,,1
152,1,,,1
153,1,,,1
154,1,,,1
155,1,,,1
156,1,,,1
157,1,,,1
158,1,,,1
159,1,,,1
160,1,,,1
164,1,,,1
165,1,,,1
166,1,,,1
167,1,,,1
168,1,,,1
169,1,,,1
170,1,,,1
171,1,,,1
172,2,,,1
173,1,,,1
174,3,,,1
175,2,,,1
176,1,,,1
177,1,,,1
178,3,,,1
179,1,,,1
180,2,,,1
181,1,,,1
182,1,,,1
186,1,,,1
187,1,,,1
188,1,,,1
189,1,,,1
190,1,,,1
191,1,,,1
192,1,,,1
193,1,,,1
194,1,,,1
195,2,,,1
196,1,,,1
197,1,,,1
208,1,,,1
209,1,,,1
210,1,,,1
211,1,,,1
212,1,,,1
213,1,,,1
214,1,,,1
215,1,,,1
216,1,,,1
217,1,,,1
218,1,,,1
219,1,,,1
220,1,,,1
221,1,,,1
222,2,,,1
223,1,,,1
224,1,,,1
