elementId,intValue,realValue,stringValue,dataType
13,,,,3
86,3.6304765361087713e+18,,,1
87,4.0672046240507607e+18,,,1
88,5.031819061026969e+18,,,1
89,6.155697889325509e+18,,,1
90,-3.394718122061262e+17,,,1
91,3.86051544535039e+18,,,1
101,-2.862257494356111e+18,,,1
102,-4.1325373293779277e+18,,,1
134,,,C0A0477A-67C0-49EB-ADFC-B92E22522ADE,3
135,,,B4226C96-28A2-47AF-BD09-21435C32AA37,3
136,,,66E564B9-928D-4DFC-8943-29BAA989D84A,3
137,,,6DFF50B3-2FEB-4CA0-B4EB-B6BA3CEDE9B7,3
138,,,B2D6C118-A6D7-43EE-8E6D-3257D9CA7553,3
139,,,BC89127A-E3B7-4CDB-80BC-B6FDD2E3F24F,3
140,,,97708402-FD70-4E46-94D6-AE98A7E92B8C,3
141,,,9C5FD9B6-4D2A-4AD5-9A4E-A36CA0201DD3,3
143,,,38D2B0AE-C7E3-4FE8-B424-912F9D673132,3
148,,,7C4FE257-D40B-46B5-A0CE-6B78D879A78B,3
