elementId,intValue,realValue,stringValue,dataType
2,,,04EEFB89-7C30-4C84-9FBB-32E1F07DA276,3
15,,,C6413147-4827-4410-942E-F7479959C709,3
34,,,E3D25850-01C8-443D-A401-69D8E9222CF4,3
44,,,1348EE5A-05AC-4856-A7F0-F3A0B0948D76,3
49,,,A255CDDC-8468-47CB-A36D-16D73BB4CE2F,3
60,,,A4FF7B0B-D081-4C2C-8A5A-44D797E0ED24,3
93,,,B1ECD86B-A1C2-4486-9018-F79DF6652530,3
103,,,3AD762A2-1FE5-4BFC-B815-A56CD045C49E,3
107,,,79A2E5D4-BD75-445D-AF84-DD5213906343,3
113,,,A05BB4E8-32A0-4063-88FD-3C7955E62A4B,3
121,,,2C2D4639-3DD8-41CD-9D78-922FF8A03523,3
125,,,F18B6261-B1BA-4E5F-BE10-66F7D153BA4C,3
145,,,3F134799-E800-4743-9ADD-1569CFE5AD6F,3
