elementId,intValue,realValue,stringValue,dataType
10,1,,,1
21,0,,,1
22,0,,,1
23,0,,,1
24,0,,,1
25,1,,,1
26,0,,,1
27,0,,,1
28,1,,,1
29,0,,,1
30,1,,,1
31,1,,,1
32,0,,,1
33,0,,,1
45,1,,,1
46,1,,,1
47,1,,,1
48,1,,,1
49,1,,,1
50,1,,,1
51,1,,,1
62,1,,,1
66,1,,,1
67,1,,,1
68,1,,,1
69,1,,,1
70,1,,,1
71,1,,,1
72,1,,,1
73,1,,,1
74,1,,,1
75,1,,,1
76,1,,,1
77,1,,,1
78,1,,,1
79,1,,,1
80,1,,,1
91,1,,,1
92,1,,,1
93,1,,,1
94,1,,,1
95,1,,,1
96,1,,,1
97,1,,,1
98,1,,,1
99,1,,,1
100,1,,,1
101,1,,,1
102,1,,,1
103,1,,,1
104,1,,,1
105,1,,,1
106,1,,,1
107,1,,,1
108,1,,,1
109,1,,,1
129,1,,,1
130,1,,,1
131,0,,,1
132,0,,,1
140,1,,,1
141,0,,,1
142,1,,,1
143,0,,,1
144,0,,,1
145,0,,,1
146,1,,,1
147,0,,,1
148,0,,,1
152,1,,,1
153,1,,,1
154,1,,,1
155,1,,,1
156,1,,,1
157,1,,,1
158,1,,,1
159,1,,,1
160,1,,,1
164,1,,,1
165,1,,,1
166,1,,,1
167,1,,,1
168,1,,,1
169,1,,,1
170,1,,,1
171,1,,,1
172,1,,,1
173,1,,,1
174,1,,,1
175,1,,,1
176,1,,,1
177,1,,,1
178,1,,,1
179,1,,,1
180,1,,,1
181,1,,,1
182,1,,,1
186,1,,,1
187,1,,,1
188,1,,,1
189,1,,,1
190,1,,,1
191,1,,,1
192,1,,,1
193,1,,,1
194,1,,,1
195,1,,,1
196,1,,,1
197,1,,,1
208,1,,,1
209,1,,,1
210,1,,,1
211,1,,,1
212,1,,,1
213,1,,,1
214,1,,,1
215,1,,,1
216,1,,,1
217,1,,,1
218,1,,,1
219,1,,,1
220,1,,,1
221,1,,,1
222,1,,,1
223,1,,,1
224,1,,,1
