elementId,intValue,realValue,stringValue,dataType
2,,1585272002.4356472,,2
15,,1584889756.250668,,2
34,,1585172928.105,,2
44,,1585101152.0,,2
49,,1584902960.330511,,2
60,,1586627815.8685725,,2
93,,1586702877.724489,,2
103,,1585249815.1636992,,2
107,,1585056476.3898158,,2
113,,1586656629.0,,2
121,,1584928342.305729,,2
125,,1586114837.8156989,,2
134,,1585101152.0,,2
135,,1584928342.305729,,2
136,,1585172928.105,,2
137,,1586702877.724489,,2
138,,1586114837.8156989,,2
139,,1586656629.0,,2
140,,1585272002.4356472,,2
141,,1585272002.4356472,,2
143,,1586702877.724489,,2
145,,1587051640.0,,2
148,,1587052498.0,,2
