Z_PK,Z_ENT,Z_OPT,ZAUTHORTS,ZBUNDLEIDTS,ZCONTEXTNAMETS,ZPROCESSIDTS,ZTIMESTAMP,ZAUTHOR,ZBUNDLEID,ZCONTEXTNAME,ZPROCESSID,ZQUERYGEN
1,16002,,,1,,2,606519591.896445,,,,,
2,16002,,,1,,2,606519594.985146,,,,,
3,16002,,,1,,2,606520079.817614,,,,,
4,16002,,,1,,2,606520084.259335,,,,,
5,16002,,,1,,2,606520142.352786,,,,,
6,16002,,,1,,2,606520142.369837,,,,,
7,16002,,,1,,2,606520142.373719,,,,,
8,16002,,,1,7.0,2,606520142.764234,,,,,
9,16002,,,1,,2,606520142.897564,,,,,
10,16002,,,8,,9,606520175.7378,,,,,
11,16002,,,1,,2,606520175.944615,,,,,
12,16002,,,1,,2,606520176.139557,,,,,
13,16002,,,1,7.0,2,606520457.924429,,,,,
14,16002,,,1,7.0,2,606520470.408325,,,,,
15,16002,,,1,7.0,2,606520485.827316,,,,,
16,16002,,,1,7.0,2,606520499.371664,,,,,
17,16002,,,1,,2,606520964.371674,,,,,
18,16002,,,8,,9,606524576.952164,,,,,
19,16002,,,1,,2,606524578.095918,,,,,
20,16002,,,1,,2,606524578.410309,,,,,
21,16002,,,1,7.0,2,606531135.625926,,,,,
22,16002,,,1,7.0,2,606532954.845363,,,,,
23,16002,,,1,7.0,2,606533036.71512,,,,,
24,16002,,,1,7.0,2,606533074.273228,,,,,
25,16002,,,1,7.0,2,606533114.716771,,,,,
26,16002,,,1,7.0,2,606533191.820795,,,,,
27,16002,,,1,7.0,2,606533239.107322,,,,,
28,16002,,,1,7.0,2,606533331.691765,,,,,
29,16002,,,1,7.0,2,606533395.484622,,,,,
30,16002,,,1,7.0,2,606533552.326034,,,,,
31,16002,,,1,7.0,2,606533625.556686,,,,,
32,16002,,,1,7.0,2,606533668.195162,,,,,
33,16002,,,1,7.0,2,606533731.878196,,,,,
34,16002,,,1,7.0,2,606533799.253058,,,,,
35,16002,,,1,7.0,2,606533870.53509,,,,,
36,16002,,,1,7.0,2,606533916.996496,,,,,
37,16002,,,1,7.0,2,606534018.83816,,,,,
38,16002,,,1,7.0,2,606534123.392424,,,,,
39,16002,,,1,7.0,2,606534219.023917,,,,,
40,16002,,,1,7.0,2,606534301.649252,,,,,
41,16002,,,1,7.0,2,606534351.531687,,,,,
42,16002,,,1,7.0,2,606534468.886326,,,,,
43,16002,,,1,7.0,2,606534636.480335,,,,,
44,16002,,,1,7.0,2,606534699.126246,,,,,
45,16002,,,1,7.0,2,606534766.117074,,,,,
46,16002,,,1,7.0,2,606534838.474806,,,,,
47,16002,,,1,7.0,2,606534879.366631,,,,,
48,16002,,,1,7.0,2,606534950.786221,,,,,
49,16002,,,1,7.0,2,606535009.487325,,,,,
50,16002,,,1,,2,606539137.139649,,,,,
51,16002,,,1,,2,606540095.577066,,,,,
52,16002,,,1,,2,606541177.68985,,,,,
53,16002,,,1,,2,606543626.517722,,,,,
54,16002,,,1,,2,606546349.34886,,,,,
55,16002,,,1,,2,606550479.464738,,,,,
56,16002,,,1,,2,606554116.085261,,,,,
57,16002,,,1,,2,606556825.028064,,,,,
58,16002,,,1,,2,606557708.209692,,,,,
59,16002,,,1,,2,606561365.934505,,,,,
60,16002,,,1,,2,606562785.643732,,,,,
61,16002,,,1,,2,606564626.161641,,,,,
62,16002,,,1,,2,606568520.045866,,,,,
63,16002,,,8,,9,606577496.926051,,,,,
64,16002,,,1,,2,606577497.156905,,,,,
65,16002,,,1,,2,606577497.288633,,,,,
66,16002,,,1,,2,606597674.717866,,,,,
67,16002,,,1,,2,606598593.807271,,,,,
68,16002,,,1,,2,606599495.68331,,,,,
69,16002,,,1,,2,606601284.798017,,,,,
70,16002,,,1,,2,606604884.698349,,,,,
71,16002,,,1,,2,606606000.38146,,,,,
72,16002,,,1,,2,606608484.603677,,,,,
73,16002,,,1,,2,606612358.99227,,,,,
74,16002,,,8,,9,606666587.501181,,,,,
75,16002,,,1,,2,606666587.88649,,,,,
76,16002,,,1,,2,606666588.186717,,,,,
77,16002,,,1,,2,606688374.606332,,,,,
78,16002,,,1,,2,606689275.690963,,,,,
79,16002,,,1,,2,606690175.360906,,,,,
80,16002,,,1,,2,606692034.222433,,,,,
81,16002,,,1,,2,606695587.813694,,,,,
82,16002,,,1,,2,606699200.491241,,,,,
83,16002,,,1,,2,606769856.017351,,,,,
84,16002,,,1,,2,606770757.44007,,,,,
85,16002,,,1,,2,606771690.297011,,,,,
86,16002,,,1,,2,606773475.263298,,,,,
87,16002,,,1,,2,606792008.64858,,,,,
88,16002,,,1,,2,606792912.795549,,,,,
89,16002,,,1,,2,606794032.911754,,,,,
90,16002,,,1,,2,606795610.255472,,,,,
91,16002,,,1,,2,606799250.625034,,,,,
92,16002,,,1,,2,606802836.724167,,,,,
93,16002,,,1,,2,606806458.466921,,,,,
94,16002,,,1,,2,606810027.532189,,,,,
95,16002,,,1,,2,606813630.386516,,,,,
96,16002,,,1,,2,606817271.295503,,,,,
97,16002,,,1,,2,606821392.311889,,,,,
98,16002,,,1,,2,606824482.258858,,,,,
99,16002,,,1,,2,606880149.036395,,,,,
100,16002,,,1,,2,606881115.628326,,,,,
101,16002,,,1,,2,606882021.020592,,,,,
102,16002,,,1,,2,606883759.402728,,,,,
103,16002,,,1,,2,606887360.766536,,,,,
104,16002,,,1,,2,606891365.635828,,,,,
105,16002,,,1,,2,606894681.005502,,,,,
106,16002,,,1,,2,606898214.844885,,,,,
107,16002,,,1,,2,606901992.081592,,,,,
108,16002,,,1,,2,606905925.006654,,,,,
109,16002,,,1,,2,606908954.82348,,,,,
