Z_ENT,Z_NAME,Z_SUPER,Z_MAX
1,AskForTimeRequestResponse,0,0
2,Blueprint,0,1
3,BlueprintConfiguration,0,1
4,BlueprintSchedule,0,0
5,BlueprintUsageLimit,0,0
6,CoreDevice,0,1
7,CoreOrganization,0,1
8,CloudOrganization,7,0
9,FamilyOrganization,7,0
10,LocalOrganization,7,0
11,CoreOrganizationSettings,0,1
12,CloudOrganizationSettings,11,0
13,FamilyOrganizationSettings,11,0
14,LocalOrganizationSettings,11,0
15,CoreTransportPayload,0,0
16,CoreUser,0,1
17,DailySchedule,0,0
18,Downtime,0,0
19,InstalledApp,0,87
20,RMCloudActivation,0,0
21,ScreenTimeSettings,0,1
22,TestSyncableObject,0,0
23,TestSyncableSubObject,0,0
24,Usage,0,2
25,UsageBlock,0,1227
26,UsageCategory,0,941
27,UsageCountedItem,0,1503
28,UsageRequest,0,1
29,UsageTimedItem,0,1346
30,UserDeviceAddress,0,0
31,UserDeviceState,0,1
16001,CHANGE,0,8874
16002,TRANSACTION,0,360
16003,TRANSACTIONSTRING,0,78
