ad_source_id,cpm
9ba8053b42b74aeda46497053d87c8c1,4.1
c827a61b966e414c9e16b7bb9aaf8db4,0.55
361c29e2906c4070b738bf5f16800c3a,3.0
1ccd7270c01c40409a168ad81b254c1e,0.4
9f6945c78daa469aabf8a84c3bc5cac6,6.9
d2c4426258164211b90cd43853e43b16,0.4
498c48b08aca4330ba968f343d444aa3,7.4
d5985dd42826409990a11fe97ab55db2,7.0
587334e837eb442eab871caf1bbd8d5a,0.46
b73ca288b9b2420abac6ca770b44f35e,1.5
8dde112a744b41dc999a1e32194e8f48,0.01
78523c97b58e4e46abb4472ae04e0b6c,0.85
82d606522c86483f833e68bf4c44e7ae,1.0
c1a879b841714c1db24a402b99e976b1,1.3
ce0d8d76e2704ff5a9b019fd3ef0d1fc,0.05
0288cafd2b304a2d8045add39c6e764f,4.7
b5f60326949f4a4e953699fb625ba100,9.0
62abff10c2214f69942249a51e71ae7d,4.4
bc94e193bdd2445e923a89a636fbac70,0.6
92d41acf02504d7da08ac9784327147d,0.45
a0e30e231ff34fabb6f79a40c4c63846,0.3
72e6d2136ac14e8781884cf90cdfde87,1.5
d1642ce8aa324c4485ccdf7c6a0df803,0.4
b4950aa84dea44d3a5c1a035ec2cbd7f,7.2
6f681808d33844bcb7667969b23b13c6,1.0
b4a01a5c531d40fa85f228ba7038b5b7,2.3
bea8c71cd1dc42f9858368d7cec94a57,0.8
cb5a23a4fd5e4c71a21c730aba4e4fad,2.5
fc6551b98421450084139db3b2642b5d,8.4
d53c203b347b4e10b5568edf9307cee4,5.9
9a1104956dfe4a5c88e8b47910bcf97e,1.0
37db9e2cdafe486e9cc6311e47246728,0.7
bac1ab2ed21e47bb9c98f4d78ba570e3,4.0
76dc71c53dc5468c95164b56aab2667e,20.0
81ccd37c9dfc4f9781a15b09a4fa8c99,6.8
94a93eec35ca4859a5334890e8224bf0,3.2
b5dfbd080b5b4136b361ec7f353568e7,0.75
da1d5e99542d4e8d93f0d25e07ceee61,2.8
b63b157eeddc439c9bba45782df53349,0.2
d10efbf6cfb14585880b6a5db7d2e80e,0.85
fa8843e7a41d45e49c93172113352b9f,0.2
c36727c1017648a49be28ea267165547,5.2
c977d79937374a439042e00016dd5ccd,5.4
033a3560939d4ce1b93f51901d714994,0.75
f44b31b0d35e477f950238067c4dea42,0.55
6156bf8ee9e84557be88c0ba58475e78,1.2
d782c377a70e46228d657a298c80de2a,0.2
3fd946f0a2ee42eaa20df2af57d9f8b8,6.6
49bf0fef5d6445e78257b91ada2bc6ed,0.25
ccc6e406c7a0405d9b9123966a1bef3e,6.3
f56ee18db84c437d8f0a88791ab79d1c,2.0
4615ae7337ca468aabdbb075fcb3a8b0,0.25
6787876aa58b4c1c8b43c29bbbe7fd6f,0.3
3f8e0668b6a54d1082081e152acd4365,0.1
39440a6d262a47a7865bfa7f7acb9fb2,1.3
85f4631204654119b0122ad5cf61af1b,0.5
06ed5c6642ee49d0a6ac7ee698d928b5,1.0
faa597b3498c4db7b27abdf7e96b197c,5.4
27340b64f2cb4ff2a5e382981303f298,1.8
85e81148aa234aa0b3bd27c2b06b45e1,0.15
