rowid,nodeno
1,1393
2,4
3,4
4,4
5,4
6,4
7,4
8,4
9,4
10,4
11,4
12,4
13,4
14,4
15,4
16,1405
17,1405
18,1405
19,1405
20,1405
21,1405
22,1405
23,1405
24,1405
25,1405
26,1405
27,1405
28,1405
29,1405
30,1405
31,1405
32,1405
33,1405
34,1405
35,1405
36,1405
37,1405
38,6
39,6
40,6
41,6
42,6
43,6
44,6
45,6
46,6
47,6
48,6
49,1389
50,1389
51,1389
52,1389
53,6
54,6
55,6
56,6
57,6
58,6
59,6
60,6
61,6
62,6
63,6
64,6
65,6
66,6
67,6
68,6
69,6
70,6
71,6
72,6
73,6
74,6
75,6
76,6
77,6
78,6
79,14
80,14
81,14
82,14
83,14
84,14
85,14
86,14
87,14
88,14
89,14
90,14
91,14
92,1390
93,1390
94,1390
95,14
96,14
97,14
98,14
99,14
100,14
101,14
102,14
103,14
104,14
105,1390
106,1390
107,1390
108,1390
109,1390
110,1390
111,1390
112,1390
113,1390
114,1390
115,1390
116,1390
117,1390
118,1390
119,1390
120,1390
121,1390
122,1390
123,8
124,8
125,8
126,8
127,8
128,8
129,8
130,8
131,8
132,1390
133,1390
134,1390
135,1390
136,1390
137,1390
138,8
139,8
140,8
141,8
142,32
143,32
144,32
145,32
146,32
147,32
148,32
149,32
150,32
151,32
152,32
153,32
154,32
155,32
156,32
157,32
158,32
159,32
160,32
161,32
162,32
163,32
164,7
165,7
166,7
167,7
168,7
169,7
170,7
171,7
172,7
173,7
174,7
175,7
176,7
177,7
178,7
179,7
180,7
181,7
182,7
183,7
184,7
185,1394
186,1392
187,1392
188,1392
189,1392
190,1392
191,1392
192,1392
193,1392
194,1392
195,1392
196,1392
197,1392
198,1392
199,1392
200,1392
201,1392
202,1392
203,1392
204,1401
205,1401
206,1401
207,1401
208,1401
209,1401
210,1401
211,19
212,19
213,19
214,19
215,19
216,19
217,19
218,19
219,19
220,19
221,19
222,19
223,19
224,19
225,19
226,19
227,19
228,19
229,19
230,19
231,1420
232,1420
233,1420
234,1420
235,1420
236,1420
237,1420
238,1420
239,1420
240,7148
241,7148
242,7148
243,7148
244,7148
245,7148
246,7148
247,7148
248,7148
249,12
250,12
251,12
252,12
253,12
254,12
255,12
256,12
257,12
258,1402
259,1402
260,1402
261,1402
262,1402
263,1402
264,1402
265,1402
266,1402
267,1402
268,1402
269,1402
270,1402
271,1402
272,12
273,12
274,12
275,12
276,12
277,12
278,12
279,12
280,12
281,12
282,12
283,1403
284,1403
285,1403
286,1388
287,1388
288,1388
289,1388
290,1388
291,1388
292,1388
293,1388
294,1388
295,1388
296,1388
297,1388
298,1388
299,302
300,4
301,4
302,13
303,13
304,13
305,13
306,13
307,13
308,13
309,13
310,13
311,13
312,13
313,13
314,13
315,13
316,13
317,13
318,13
319,13
320,13
321,13
322,30
323,30
324,30
325,30
326,30
327,30
328,30
329,30
330,30
331,30
332,30
333,30
334,30
335,30
336,30
337,30
338,30
339,30
340,30
341,30
342,30
343,30
344,30
345,30
346,30
347,30
348,30
349,30
350,30
351,30
352,30
353,30
354,30
355,30
356,30
357,15
358,15
359,15
360,15
361,15
362,15
363,15
364,15
365,15
366,15
367,15
368,15
369,15
370,15
371,15
372,15
373,15
374,15
375,15
376,15
377,15
378,15
379,15
380,15
381,15
382,15
383,15
384,15
385,15
386,15
387,15
388,15
389,15
390,15
391,15
392,306
393,306
394,17
395,17
396,17
397,17
398,17
399,17
400,17
401,17
402,17
403,17
404,17
405,17
406,17
407,17
408,17
409,17
410,17
411,17
412,17
413,17
414,17
415,17
416,17
417,17
418,17
419,17
420,17
421,17
422,17
423,17
424,17
425,34
426,34
427,34
428,34
429,34
430,34
431,34
432,34
433,34
434,34
435,34
436,34
437,34
438,34
439,34
440,34
441,34
442,34
443,34
444,34
445,34
446,34
447,34
448,35
449,35
450,35
451,35
452,35
453,35
454,35
455,35
456,35
457,181
458,35
459,35
460,35
461,181
462,181
463,181
464,181
465,181
466,181
467,181
468,181
469,181
470,181
471,181
472,181
473,181
474,181
475,35
476,35
477,35
478,35
479,35
480,35
481,35
482,35
483,35
484,35
485,10
486,10
487,10
488,10
489,10
490,10
491,10
492,10
493,10
494,10
495,10
496,10
497,10
498,20
499,20
500,20
501,20
502,20
503,20
504,20
505,20
506,20
507,36
508,36
509,36
510,36
511,36
512,36
513,20
514,20
515,20
516,20
517,20
518,20
519,20
520,20
521,20
522,20
523,20
524,20
525,7148
526,7148
527,7148
528,312
529,312
530,312
531,312
532,312
533,37
534,37
535,37
536,37
537,37
538,37
539,37
540,37
541,37
542,37
543,37
544,37
545,37
546,37
547,37
548,37
549,37
550,37
551,37
552,37
553,37
554,21
555,21
556,21
557,21
558,21
559,21
560,21
561,21
562,21
563,21
564,21
565,21
566,21
567,21
568,21
569,21
570,21
571,21
572,21
573,21
574,21
575,21
576,21
577,21
578,21
579,21
580,21
581,21
582,21
583,21
584,20
585,20
586,41
587,41
588,41
589,41
590,41
591,41
592,41
593,41
594,41
595,41
596,41
597,41
598,41
599,313
600,313
601,313
602,313
603,313
604,313
605,313
606,313
607,313
608,313
609,313
610,313
611,313
612,313
613,313
614,313
615,313
616,313
617,313
618,313
619,313
620,313
621,313
622,313
623,313
624,313
625,313
626,314
627,314
628,314
629,314
630,314
631,314
632,314
633,314
634,314
635,314
636,314
637,314
638,314
639,302
640,302
641,302
642,302
643,302
644,302
645,302
646,302
647,302
648,302
649,302
650,302
651,302
652,314
653,314
654,314
655,314
656,314
657,314
658,314
659,314
660,314
661,314
662,314
663,314
664,314
665,314
666,26
667,26
668,26
669,26
670,26
671,26
672,26
673,26
674,26
675,26
676,26
677,26
678,26
679,26
680,27
681,27
682,27
683,27
684,27
685,27
686,27
687,27
688,27
689,27
690,27
691,27
692,27
693,302
694,315
695,315
696,315
697,315
698,315
699,315
700,315
701,315
702,315
703,303
704,303
705,303
706,303
707,303
708,303
709,303
710,303
711,303
712,303
713,303
714,303
715,303
716,303
717,303
718,303
719,303
720,316
721,316
722,316
723,316
724,316
725,316
726,316
727,316
728,316
729,316
730,316
731,316
732,316
733,316
734,316
735,316
736,305
737,305
738,305
739,305
740,305
741,318
742,318
743,318
744,318
745,318
746,318
747,318
748,318
749,305
750,305
751,305
752,305
753,305
754,305
755,305
756,305
757,305
758,305
759,305
760,305
761,305
762,318
763,318
764,318
765,318
766,304
767,304
768,304
769,304
770,304
771,304
772,304
773,304
774,318
775,318
776,318
777,318
778,318
779,318
780,318
781,318
782,318
783,318
784,318
785,318
786,318
787,318
788,318
789,304
790,304
791,304
792,304
793,304
794,306
795,306
796,306
797,306
798,306
799,306
800,306
801,306
802,306
803,306
804,306
805,306
806,306
807,306
808,307
809,307
810,307
811,307
812,307
813,307
814,307
815,307
816,307
817,307
818,307
819,307
820,306
821,306
822,306
823,308
824,308
825,308
826,308
827,308
828,308
829,308
830,308
831,308
832,308
833,308
834,308
835,308
836,308
837,308
838,308
839,308
840,308
841,308
842,308
843,308
844,308
845,308
846,308
847,308
848,308
849,308
850,309
851,309
852,309
853,309
854,309
855,309
856,309
857,309
858,309
859,309
860,309
861,309
862,309
863,309
864,309
865,309
866,309
867,309
868,309
869,309
870,309
871,309
872,309
873,309
874,309
875,309
876,35
877,35
878,35
879,35
880,35
881,35
882,35
883,35
884,35
885,35
886,35
887,10
888,10
889,10
890,10
891,36
892,36
893,36
894,944
895,944
896,944
897,944
898,944
899,944
900,944
901,311
902,323
903,7148
904,312
905,312
906,312
907,312
908,312
909,312
910,312
911,312
912,312
913,312
914,312
915,312
916,312
917,312
918,312
919,312
920,312
921,312
922,312
923,312
924,37
925,37
926,37
927,21
928,21
929,21
930,21
931,1320
932,1320
933,929
934,929
935,929
936,929
937,929
938,929
939,929
940,929
941,39
942,929
943,929
944,929
945,929
946,929
947,929
948,929
949,929
950,929
951,929
952,929
953,929
954,39
955,39
956,39
957,39
958,39
959,39
960,39
961,39
962,39
963,39
964,39
965,39
966,39
967,39
968,39
969,39
970,39
971,929
972,929
973,929
974,929
975,929
976,929
977,929
978,929
979,929
980,929
981,929
982,929
983,39
984,39
985,39
986,39
987,39
988,39
989,39
990,39
991,39
992,39
993,39
994,39
995,39
996,39
997,197
998,197
999,197
1000,197
1001,197
1002,197
1003,46
1004,46
1005,46
1006,46
1007,46
1008,46
1009,46
1010,46
1011,46
1012,46
1013,46
1014,46
1015,46
1016,46
1017,44
1018,44
1019,44
1020,44
1021,44
1022,44
1023,44
1024,44
1025,44
1026,44
1027,44
1028,44
1029,44
1030,46
1031,46
1032,46
1033,46
1034,46
1035,46
1036,46
1037,46
1038,46
1039,46
1040,46
1041,46
1042,46
1043,44
1044,46
1045,46
1046,46
1047,46
1048,46
1049,46
1050,46
1051,46
1052,46
1053,46
1054,46
1055,46
1056,44
1057,44
1058,44
1059,24
1060,24
1061,24
1062,24
1063,24
1064,24
1065,24
1066,24
1067,24
1068,24
1069,24
1070,24
1071,24
1072,24
1073,24
1074,24
1075,24
1076,24
1077,24
1078,24
1079,24
1080,24
1081,24
1082,24
1083,24
1084,24
1085,24
1086,24
1087,24
1088,24
1089,24
1090,24
1091,24
1092,49
1093,49
1094,49
1095,49
1096,49
1097,49
1098,49
1099,49
1100,49
1101,49
1102,49
1103,49
1104,49
1105,49
1106,85
1107,85
1108,85
1109,85
1110,85
1111,85
1112,85
1113,85
1114,85
1115,85
1116,85
1117,85
1118,49
1119,49
1120,49
1121,49
1122,49
1123,49
1124,49
1125,49
1126,49
1127,49
1128,49
1129,49
1130,49
1131,49
1132,49
1133,49
1134,49
1135,49
1136,49
1137,49
1138,49
1139,49
1140,49
1141,49
1142,49
1143,48
1144,48
1145,48
1146,48
1147,48
1148,48
1149,48
1150,48
1151,48
1152,48
1153,48
1154,48
1155,48
1156,48
1157,48
1158,48
1159,48
1160,48
1161,48
1162,48
1163,48
1164,48
1165,48
1166,48
1167,48
1168,48
1169,51
1170,51
1171,51
1172,51
1173,51
1174,51
1175,51
1176,51
1177,51
1178,51
1179,51
1180,51
1181,51
1182,52
1183,52
1184,52
1185,52
1186,52
1187,52
1188,52
1189,52
1190,52
1191,52
1192,52
1193,52
1194,52
1195,52
1196,52
1197,52
1198,52
1199,52
1200,53
1201,53
1202,53
1203,53
1204,53
1205,53
1206,53
1207,53
1208,53
1209,53
1210,53
1211,53
1212,53
1213,53
1214,53
1215,53
1216,53
1217,53
1218,54
1219,54
1220,54
1221,54
1222,54
1223,54
1224,54
1225,54
1226,54
1227,50
