mcc,mnc,arfcn
202,1,1000
202,1,1001
202,1,1002
202,1,1003
202,1,1004
202,1,1005
202,1,1006
202,1,1007
202,1,1008
202,1,1009
202,1,1010
202,1,1011
202,1,1012
202,1,1013
202,1,1014
202,1,1015
202,1,1016
202,1,1017
202,1,1018
202,1,1019
202,1,1020
202,1,1021
202,1,1022
202,1,1023
202,1,811
202,1,812
202,1,813
202,1,814
202,1,815
202,1,816
202,1,817
202,1,818
202,1,819
202,1,820
202,1,821
202,1,822
202,1,823
202,1,824
202,1,825
202,1,826
202,1,827
202,1,828
202,1,829
202,1,830
202,1,831
202,1,832
202,1,833
202,1,834
202,1,835
202,1,836
202,1,837
202,1,838
202,1,839
202,1,840
202,1,841
202,1,842
202,1,843
202,1,844
202,1,845
202,1,846
202,1,847
202,1,848
202,1,849
202,1,850
202,1,851
202,1,852
202,1,853
202,1,854
202,1,855
202,1,856
202,1,857
202,1,858
202,1,859
202,1,860
202,1,861
202,1,862
202,1,863
202,1,864
202,1,865
202,1,866
202,1,867
202,1,868
202,1,869
202,1,870
202,1,871
202,1,872
202,1,873
202,1,874
202,1,875
202,1,876
202,1,877
202,1,878
202,1,879
202,1,880
202,1,881
202,1,882
202,1,883
202,1,884
202,1,885
202,1,975
202,1,976
202,1,977
202,1,978
202,1,979
202,1,980
202,1,981
202,1,982
202,1,983
202,1,984
202,1,985
202,1,986
202,1,987
202,1,988
202,1,989
202,1,990
202,1,991
202,1,992
202,1,993
202,1,994
202,1,995
202,1,996
202,1,997
202,1,998
202,1,999
202,10,1
202,10,10
202,10,11
202,10,12
202,10,13
202,10,14
202,10,15
202,10,16
202,10,17
202,10,18
202,10,19
202,10,2
202,10,20
202,10,21
202,10,22
202,10,23
202,10,24
202,10,25
202,10,26
202,10,27
202,10,28
202,10,29
202,10,3
202,10,30
202,10,31
202,10,32
202,10,33
202,10,34
202,10,35
202,10,36
202,10,37
202,10,38
202,10,39
202,10,4
202,10,40
202,10,41
202,10,42
202,10,43
202,10,44
202,10,45
202,10,46
202,10,47
202,10,48
202,10,49
202,10,5
202,10,50
202,10,512
202,10,513
202,10,514
202,10,515
202,10,516
202,10,517
202,10,518
202,10,519
202,10,520
202,10,521
202,10,522
202,10,523
202,10,524
202,10,525
202,10,526
202,10,527
202,10,528
202,10,529
202,10,531
202,10,532
202,10,533
202,10,534
202,10,535
202,10,536
202,10,6
202,10,7
202,10,8
202,10,9
202,5,100
202,5,101
202,5,102
202,5,103
202,5,104
202,5,105
202,5,106
202,5,107
202,5,108
202,5,109
202,5,110
202,5,111
202,5,112
202,5,113
202,5,114
202,5,115
202,5,116
202,5,117
202,5,118
202,5,119
202,5,120
202,5,121
202,5,122
202,5,123
202,5,124
202,5,52
202,5,53
202,5,55
202,5,57
202,5,58
202,5,59
202,5,60
202,5,61
202,5,62
202,5,63
202,5,64
202,5,65
202,5,66
202,5,662
202,5,668
202,5,67
202,5,670
202,5,672
202,5,677
202,5,68
202,5,687
202,5,688
202,5,689
202,5,69
202,5,690
202,5,691
202,5,692
202,5,693
202,5,694
202,5,695
202,5,696
202,5,697
202,5,698
202,5,699
202,5,70
202,5,700
202,5,701
202,5,702
202,5,703
202,5,704
202,5,705
202,5,706
202,5,707
202,5,708
202,5,709
202,5,71
202,5,710
202,5,72
202,5,73
202,5,75
202,5,76
202,5,77
202,5,78
202,5,79
202,5,80
202,5,81
202,5,82
202,5,83
202,5,84
202,5,85
202,5,86
202,5,87
202,5,88
202,5,89
202,5,90
202,5,91
202,5,92
202,5,93
202,5,94
202,5,95
202,5,96
202,5,97
202,5,98
204,16,101
204,16,102
204,16,103
204,16,104
204,16,105
204,16,106
204,16,107
204,16,108
204,16,109
204,16,110
204,16,111
204,16,112
204,16,113
204,16,114
204,16,115
204,16,116
204,16,117
204,16,118
204,16,119
204,16,120
204,16,121
204,16,122
204,16,123
204,16,124
204,16,714
204,16,715
204,16,718
204,16,719
204,16,720
204,16,721
204,16,722
204,16,724
204,16,725
204,16,726
204,16,727
204,16,728
204,16,731
204,16,732
204,16,734
204,16,856
204,16,858
204,16,860
204,4,1000
204,4,1001
204,4,1002
204,4,1003
204,4,1004
204,4,1005
204,4,1006
204,4,1007
204,4,1008
204,4,1009
204,4,1010
204,4,1011
204,4,1012
204,4,1013
204,4,1014
204,4,1015
204,4,1016
204,4,1017
204,4,1018
204,4,1019
204,4,1020
204,4,1021
204,4,1022
204,4,1023
204,4,611
204,4,615
204,4,707
204,4,708
204,4,709
204,4,710
204,4,975
204,4,976
204,4,977
204,4,978
204,4,979
204,4,980
204,4,981
204,4,982
204,4,983
204,4,984
204,4,985
204,4,986
204,4,987
204,4,988
204,4,989
204,4,990
204,4,991
204,4,992
204,4,993
204,4,994
204,4,995
204,4,996
204,4,997
204,4,998
204,4,999
204,8,10
204,8,11
204,8,12
204,8,13
204,8,14
204,8,15
204,8,16
204,8,17
204,8,18
204,8,19
204,8,4
204,8,5
204,8,6
204,8,7
204,8,8
204,8,9
206,1,12
206,1,13
206,1,16
206,1,18
206,1,19
206,1,2
206,1,20
206,1,24
206,1,26
206,1,27
206,1,28
206,1,29
206,1,3
206,1,30
206,1,4
206,1,6
206,1,61
206,1,62
206,1,63
206,1,64
206,1,65
206,1,66
206,1,67
206,1,68
206,1,69
