event_id,module_id,sample_rate
16,3,0
18,3,0
26,3,0
27,3,0
52,3,100
55,3,1
59,3,0
71,3,0
75,3,0
76,3,0
38,6,500
44,6,0
47,6,25
48,6,0
52,6,1
53,6,1
54,6,1
55,6,1
61,6,0
62,6,1
63,6,1
65,6,0
40,7,0
50,7,0
53,7,0
54,7,0
56,7,0
64,7,1
65,7,1
73,7,1
74,7,1
75,7,1
76,7,0
77,7,1
79,7,1
175,10,0
184,10,100
186,10,0
199,10,0
200,10,50
204,10,0
205,10,1
210,10,0
211,10,0
213,10,10
214,10,10000
217,10,0
218,10,0
220,10,0
230,10,0
234,10,0
242,10,0
243,10,0
259,10,10
262,10,0
264,10,1
272,10,1000
274,10,0
276,10,0
30,14,10
129,19,0
136,19,0
137,19,0
138,19,0
139,19,0
140,19,0
141,19,0
142,19,0
146,19,1
147,19,1
148,19,0
149,19,0
151,19,20
152,19,20
154,19,0
156,19,0
158,19,0
161,19,0
164,19,0
166,19,20
167,19,1
169,19,0
12,24,0
13,24,0
16,24,0
62,26,1
11,29,0
12,29,4096
13,29,1000000
18,29,1000
27,29,0
32,29,100000
33,29,0
34,29,1000000
36,29,100000
38,29,1000000
46,29,0
47,29,0
52,29,5000
63,29,0
67,29,0
27,32,1
29,32,1
30,32,25
31,32,1
35,32,0
36,32,1
37,32,1
42,32,0
43,32,1
45,32,0
46,32,0
47,32,0
48,32,0
50,32,0
51,32,0
59,32,1
61,32,2
65,32,20
67,32,0
68,32,1
74,32,0
75,32,0
79,32,20
80,32,1
83,32,0
87,32,20
89,32,1
92,32,1
96,32,0
97,32,1
98,32,1
100,32,1
102,32,0
26,35,150
4,40,10000
5,40,1
6,40,100
7,40,1
8,40,1
2,46,0
24,47,500
47,49,0
62,49,0
63,49,0
65,49,10000
66,49,10000
68,49,10000
69,49,10000
70,49,10000
18,53,10
23,53,1
24,53,1
50,53,25
12,61,0
17,61,0
13,68,10
3,75,0
4,75,0
5,75,0
6,75,0
7,75,0
8,75,0
9,75,0
11,75,1
12,75,1
37,84,1000
42,84,100000
43,84,500
62,84,1000
63,84,1000
80,84,500
96,84,100
106,84,100
107,84,100
121,84,1
129,84,1
132,84,1
133,84,1
137,84,1
138,84,100
139,84,100
140,84,100
141,84,100
147,84,1
148,84,1
154,84,1
165,84,1000
168,84,1
169,84,1
170,84,1
171,84,10
199,84,100
2,92,0
5,108,1
48,110,1
115,110,1
3,118,1
24,118,1
25,118,1
26,118,1
24,120,1
27,120,1
30,120,1
36,120,1
38,120,1
39,120,1
40,120,1
42,120,1
54,120,1
55,120,1
1,122,0
2,122,0
13,122,1
14,122,1
15,122,1
18,122,0
2,124,0
6,124,0
21,124,0
22,124,0
25,124,0
42,124,0
48,124,0
57,124,0
58,124,0
66,124,0
3,127,500
1,128,0
3,128,0
4,128,0
5,128,0
6,128,0
7,128,1
8,128,0
9,128,0
10,128,0
11,128,0
13,128,1000
14,128,2
15,128,0
16,128,0
19,128,0
20,128,100
21,128,10
22,128,10
24,128,0
25,128,10
26,128,10
27,128,1
28,128,100
29,128,0
34,128,0
1,132,50000
2,132,0
3,132,0
4,132,0
5,132,10000
6,132,5000
7,132,0
8,132,0
1,135,0
2,135,1
3,135,0
4,135,0
5,135,0
7,135,0
8,135,0
9,135,0
10,135,0
11,135,0
12,135,0
16,135,10
17,135,10
20,135,0
21,135,10
22,135,0
23,135,0
24,135,0
26,135,0
30,135,0
1,137,0
2,137,0
3,137,0
4,137,0
5,137,0
4,139,1
56,141,250
57,141,250
62,141,1
1,148,150
17,148,1
18,148,0
19,148,0
20,148,1
21,148,1
22,148,1
2,151,0
4,151,1
5,151,1
6,151,1
7,151,1
8,151,1
1,152,0
2,152,0
36,152,0
37,152,0
41,152,10
48,152,1
50,152,0
51,152,0
52,152,0
53,152,0
1,155,75
6,155,0
7,155,0
8,155,0
11,155,0
12,155,0
13,155,4096
14,155,0
15,155,4096
16,155,0
11,156,1
12,156,1
13,156,1
15,156,5
20,156,1
16,159,50000
20,159,50000
60,159,30000
16,162,1
1,169,2000
3,169,1
5,169,200
6,169,200
8,169,1000
9,169,1
11,169,1
13,169,1
15,169,1
16,169,1
18,169,1
20,169,1
23,169,1
25,169,1
28,169,1
30,169,0
32,169,0
34,169,1
35,169,1
37,169,1
38,169,1
39,169,1
40,169,1
41,169,1
42,169,1
43,169,1
44,169,1
45,169,1
46,169,1
47,169,1
48,169,1
49,169,1
50,169,1
51,169,1
55,169,1
56,169,1
57,169,1
58,169,1
59,169,1
60,169,1
62,169,1
64,169,1
66,169,0
67,169,1
68,169,1000
71,169,1
74,169,0
77,169,1
78,169,1
81,169,0
83,169,0
86,169,1
88,169,0
89,169,1
92,169,1
93,169,1
94,169,10
95,169,1
97,169,1
3,172,1
4,172,1
5,172,1
6,172,1
11,172,1
13,172,1
14,172,0
15,172,1
19,172,100
22,172,0
25,172,500
26,172,500
27,172,500
28,172,500
40,172,1
41,172,1
42,172,1
43,172,1
3,175,0
4,175,0
5,175,0
3,176,250
1,178,10
10,178,25
12,178,10
2,179,1
5,179,1
6,179,1
7,179,10
8,179,10
11,179,10
12,179,10
1,180,10
2,181,1000000000
3,181,1000
1,182,0
2,182,0
3,182,0
4,182,0
6,182,50
7,182,0
8,182,0
9,182,10
10,182,0
11,182,0
12,182,1000
13,182,0
14,182,500
15,182,0
16,182,0
17,182,0
18,182,50
19,182,0
20,182,0
21,182,0
22,182,500
25,182,0
33,182,0
34,182,0
35,182,0
50,182,0
72,182,0
73,182,0
82,182,0
90,182,0
91,182,0
92,182,0
95,182,0
96,182,0
98,182,0
101,182,0
104,182,500
107,182,50
8,185,500
10,185,500
11,185,0
17,185,500
1,189,0
2,189,0
3,189,0
4,189,0
5,189,0
5,190,1
9,190,1
11,190,10
12,190,10
15,190,100
16,190,100
17,190,10
18,190,10
20,190,10
21,190,10
22,190,1
23,190,10
24,190,10
25,190,10
26,190,10
27,190,10
3,192,2500
6,196,5
7,196,5
8,196,5
15,196,10
45,196,1
50,196,1
3,199,0
5,199,0
6,199,0
8,199,0
9,199,0
10,199,0
1,200,0
2,200,1
3,200,1
1,202,20
2,202,20
3,202,20
8,202,20
11,202,0
12,202,0
21,202,0
24,202,0
25,202,0
26,202,0
27,202,0
34,202,10
35,202,0
40,202,0
44,202,0
50,202,0
51,202,1
52,202,0
59,202,0
60,202,1
61,202,0
62,202,0
63,202,0
75,202,1
76,202,0
77,202,0
80,202,0
93,202,1
94,202,0
95,202,0
103,202,10
104,202,0
105,202,0
107,202,0
108,202,0
112,202,1
113,202,1
116,202,0
119,202,1000
1,203,5
2,203,5
3,203,5
4,203,5
5,203,5
1,204,5
2,204,5
3,204,5
4,204,5
8,204,5
1,208,10000
10,208,0
7,209,1000
2,211,500
17,211,0
1,217,0
2,217,0
3,217,0
7,222,5
8,222,5
9,222,100
10,222,1
21,222,1
25,222,5
26,222,5
27,222,5
2,223,1
3,223,1
1,229,0
1,231,1
1,234,0
7,234,0
8,234,0
9,234,0
11,234,1
15,234,0
17,234,100
18,234,0
1,238,0
2,238,0
3,238,0
4,238,0
5,238,0
6,238,0
7,238,0
6,244,1
13,244,1
14,244,1
15,244,10000
2,247,250
3,247,250
1,248,1
2,248,1
3,248,10
4,248,10
5,248,10
6,248,100000
7,248,100
8,248,100
9,248,1000
10,248,1
11,248,10
13,248,1000
14,248,1000
15,248,1000
17,248,1000
18,248,1000
19,248,10
20,248,10
22,248,1
23,248,10
26,248,1
27,248,10
28,248,10
29,248,10
31,248,1
33,248,1000
34,248,1
35,248,1000
41,248,1
43,248,10
3,249,1000
4,249,1000
5,249,0
8,249,2000
10,249,5
11,249,2000
12,249,2000
13,249,2000
14,249,2000
16,249,10000000
17,249,2000
18,249,0
19,249,0
20,249,0
21,249,0
22,249,0
24,249,2000
25,249,2000
26,249,2000
27,249,20000
28,249,20000
30,249,2000
31,249,2000
32,249,20000
33,249,50000
35,249,10
36,249,2000
37,249,2000
38,249,500
40,249,20000
44,249,0
45,249,0
46,249,0
47,249,0
48,249,1
51,249,100
53,249,1
54,249,1
55,249,1
56,249,1
57,249,0
58,249,0
59,249,2000
60,249,0
61,249,0
62,249,0
63,249,0
64,249,2000
65,249,2000
66,249,100000
67,249,20000
68,249,20000
69,249,20000
70,249,0
71,249,2000
72,249,2000
74,249,500
75,249,2000
76,249,2000
78,249,10
79,249,1
80,249,100
81,249,100
82,249,10
83,249,10
85,249,0
86,249,0
87,249,100
96,249,10
97,249,0
98,249,0
99,249,0
100,249,0
101,249,0
103,249,10
104,249,10
107,249,10
108,249,0
114,249,1
117,249,100
118,249,100
119,249,100
120,249,100
121,249,100
122,249,1
1,252,0
5,252,0
6,252,0
8,252,3000
9,252,0
10,252,0
1,257,0
1,264,100
2,268,1
3,269,0
4,269,0
5,269,0
6,269,0
7,269,0
9,269,100
10,269,100
11,269,100
15,269,0
20,269,1
3,272,0
4,272,0
5,274,10000
4,279,1
8,279,0
1,283,20000
3,283,20000
4,283,20000
5,283,1
6,283,1
7,283,1
8,283,1
9,283,20000
10,283,20000
11,283,1000
12,283,1000
13,283,1000
14,283,1000
15,283,1
16,283,1000
17,283,1
18,283,1000
1,284,10
2,284,5000
2,286,1000
1,287,1
2,287,100
3,287,100
4,287,1
1,289,0
2,289,0
3,289,0
1,290,0
2,290,0
3,290,0
4,290,0
5,290,0
6,290,0
9,290,0
10,290,0
11,290,0
12,290,0
14,290,0
15,290,0
18,290,0
19,290,0
1,293,20
2,293,20
3,293,20
4,293,20
26,293,20
23,294,0
16,297,250
17,297,1
18,297,1
4,299,0
4,302,10
3,303,1
2,307,0
7,307,0
10,307,0
11,307,0
12,307,0
1,313,0
2,313,0
3,313,0
4,313,0
2,314,0
3,314,0
4,314,0
5,314,1
6,314,1
7,314,1
8,314,1
9,314,0
10,314,0
11,314,0
13,314,0
14,314,0
15,314,1
4,315,250
5,315,250
2,316,0
3,316,0
