facet,version
cql_schema_v1,1636981041602265246
cql_schema_v2,-135571270755460184
cql_schema_v3,7592140019016837423
cql_schema_v4,1276017618128167043
cql_schema_v5,-8226567486613236486
cql_schema_v6,-5433829731319845608
cql_schema_v7,-1000760893995871595
cql_schema_v8,5962617312344247376
cql_schema_v9,-3088092297228560223
cql_schema_v10,1751136188247264303
cql_schema_v11,-2597268463825857131
cql_schema_v12,5543741338153801839
cql_schema_v13,5902937361925144616
cql_schema_v14,7039216394666800705
cql_schema_v15,5558830156207917104
cql_schema_v16,-3533906850725103008
cql_schema_v17,2339213529808986793
cql_schema_v18,-1446770633526207893
cql_schema_v19,8389078160582649271
cql_schema_v20,3568600348980669922
cql_schema_v21,-2771597503824148337
cql_schema_v22,4888212259521527672
cql_schema_v23,8495483085294440029
cql_schema_v24,-6439463112691910925
cql_schema_v25,-1139765549656047625
account_settings_group_crc,7074650391932335827
aloha_group_crc,-2474105563981875448
app_alerts_group_crc,3325592531522045186
ar_effects_group_crc,1600552748587815235
booking_group_crc,1207092117421933483
business_tab_group_crc,-1337266092671285882
composer_menus_group_crc,-3102080415055037884
composer_state_group_crc,7969817398425177226
contact_upload_group_crc,-3731478361374836716
cowatch_group_crc,4828033165619535074
forward_contents_group_crc,5566728940485318670
frx_group_crc,-2813527429891147254
inbox_ads_group_crc,8965454387368920598
inthreadbanner_group_crc,6432433755953938785
log_sampling_group_crc,-4868833248362260529
media_editing_group_crc,8632668938711992347
payments_group_crc,3249290163741554645
presence_group_crc,2480962545416260756
qp_group_crc,-159967115416206650
ranking_group_crc,4423083878481714671
search_group_crc,-6079735517443269605
settings_group_crc,571014033588495958
sp_media_set_group_crc,-7650239610446527888
sticker_group_crc,-4042211053275506421
stories_group_crc,7418564988593472363
switch_account_badge_counts_group_crc,3672330056039670066
switch_account_badging_group_crc,3588811177656778134
thread_emoji_group_crc,743158107768937525
thread_theme_group_crc,-3869089062625702480
universal_links_group_crc,-7802336878147398198
zero_rating_group_crc,-2800046932018170138
__idx__threads__thread_key__client_thread_key_index_crc,7264289561385622277
__idx__threads__last_activity_timestamp_ms__authority_level__folder_name_index_crc,-8968095275537740877
__idx__threads__parent_thread_key__last_activity_timestamp_ms__authority_level_index_crc,-798191655625315113
__idx__threads__last_activity_timestamp_ms__mute_expire_time_ms__last_read_watermark_timestamp_ms__folder_name__thread_key_index_crc,8530733652134196904
__idx__participants__thread_key__contact_id_index_crc,566112463008442741
__idx__participants__read_watermark_timestamp_ms_index_crc,-2008240322185797912
__idx__participants__delivered_watermark_timestamp_ms_index_crc,-3798543950757438993
__idx__contacts__rank__name__contact_type__blocked_by_viewer_status__messenger_call_log_third_party_id_index_crc,2770023688483595705
__idx__messages__reply_source_id_index_crc,-8740879378875530918
__idx__messages__thread_key__primary_sort_key__secondary_sort_key__timestamp_ms__message_id_index_crc,3739445332000082494
__idx__messages__message_id_index_crc,-3942427668217198786
__idx__messages__timestamp_ms_index_crc,-1544047256925928758
__idx__attachments__original_file_hash_index_crc,8152676654081059823
__idx__secure_threads__last_activity_timestamp_ms__mute_expire_time_ms__last_read_watermark_timestamp_ms__thread_key__secure_thread_status_index_crc,6827060858193242857
__idx__secure_threads__thread_key__client_thread_key_index_crc,2246975390576719756
__idx__quick_reply_ctas__cta_id_index_crc,958258028750904844
__idx__group_membership_approval_requests__thread_key__contact_id_index_crc,-161188326951381890
__idx__android_notification_metadata__last_processed_message_timestamp_index_crc,8686877805316257671
__idx__android_notification_metadata__last_acknowledged_message_timestamp_index_crc,6649914146076872646
__idx__focus_mode_ctas__cta_id_index_crc,2451127035683015843
cql_schema_v26,-914314921011950691
cql_schema_version,26
cql_schema_crc,-7603648682472672588
