fbid,theme_idx,fallback_color,reverse_gradiants_for_radial,accessibility_label
205488546921017,0,-33624,0,Candy
370940413392601,1,-15017125,1,Citrus
164535220883264,2,-1041046,0,Berry
930060997172551,3,-25575,1,Mango
417639218648241,4,-15803170,0,Aqua
196241301102133,5,-16743169,0,Default Blue
1928399724138152,6,-12271929,0,Teal Blue
174636906462322,7,-15616,0,Yellow
2129984390566328,8,-377780,0,Red
2058653964378557,9,-2713925,0,Lavender Purple
2136751179887052,10,-15479021,0,Green
175615189761153,11,-33239,0,Orange
980963458735625,12,-1669755,0,Coral Pink
234137870477637,13,-9025793,0,Bright Purple
2442142322678320,14,-14627083,0,Aqua Blue
169463077092846,15,-41823,0,Hot Pink
