Z_PK,Z_ENT,Z_OPT,ZKIND,ZHASNETWORKATTACHMENT,ZADMINDISABLES,ZBYTESIN,ZBYTESOUT,ZCAPTIVITYREDIRECTS,ZCERTERRORS,ZCONNATTEMPTS,ZCONNSUCCESSES,ZDATASTALLS,ZEPOCHS,ZFAULTYSTAY,ZLOWLQMSTAY,ZLOWQSTAY,ZLQMTRANSITIONCOUNT,ZOVERALLSTAY,ZOVERALLSTAYM2,ZPACKETSIN,ZPACKETSOUT,ZRETXBYTES,ZRTTAVG,ZRTTMIN,ZRTTVAR,ZRXDUPEBYTES,ZRXOOOBYTES,ZTIMESTAMP,ZTOPDOWNLOADRATE
1,8,244,2,1,0.0,1578480297.0,87089080.0,0.0,0.0,4376.0,3930.0,26.0,44459.0,0.0,22334.46010541916,0.0,227.0,1116854.02929008,823042970.817724,1305630.0,522770.0,1355071.0,0.0,0.02246875,0.0,608201.0,81395623.0,608702400,1695848.1147698294
2,8,211,2,2,0.0,39293617.0,8572587.0,0.0,0.0,879.0,806.0,5.0,50794.0,0.0,2658.4378262758255,0.0,66.0,810077.4969338179,177002541.43939334,47631.0,42223.0,136354.0,0.0,0.0143125,0.0,203573.0,2419134.0,608702400,0.0
3,8,177,2,3,0.0,4911036.0,1903149.0,0.0,0.0,115.0,83.0,0.0,7370.0,0.0,1199.6215858459473,0.0,20.0,99665.45358407497,21913358.272013936,7797.0,8238.0,133838.0,0.0,0.013625,0.0,61693.0,518032.0,608702400,0.0
4,8,2,2,4,0.0,0.0,1180.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.499521970748901,0.0,0.0,18.0,0.0,0.0,1.7976931348623157e+308,0.0,0.0,0.0,606542400,0.0
5,8,81,2,5,0.0,257322.0,385554.0,0.0,0.0,87.0,37.0,4.0,353.0,0.0,5725.875735640526,0.0,138.0,27253.67344021797,3342368.6302592126,990.0,2054.0,105090.0,0.0,0.346,0.0,26620.0,73469.0,608616000,0.0
6,8,47,2,6,0.0,36965.0,109795.0,0.0,0.0,29.0,5.0,0.0,202.0,0.0,1845.7081946134567,0.0,56.0,10774.188886761665,2090121.3863711848,245.0,676.0,22553.0,0.0,0.44,0.0,3002.0,2036.0,608616000,0.0
7,8,37,2,7,0.0,8402.0,48668.0,0.0,0.0,12.0,1.0,0.0,64.0,0.0,17.78006100654602,0.0,51.0,2210.932512164116,174228.9769616346,21.0,258.0,14677.0,0.0,0.10125,0.0,0.0,0.0,608616000,0.0
8,8,125,1,8,0.0,1313713441.0,89643770.0,0.0,0.0,7911.0,6816.0,57.0,302.0,6.48233699798584,2109.559603214264,88.80210196971893,596.0,631004.8772534132,16008019242.350597,1002062.0,443588.0,789037.0,0.0,0.00875,0.0,881783.0,66880464.0,608702400,12466566.547933677
9,8,10,2,9,0.0,0.0,1309.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,30.605272889137268,0.0,6.0,176.19213998317719,4890.168382689997,0.0,12.0,468.0,0.0,1.7976931348623157e+308,0.0,0.0,0.0,607406400,0.0
10,8,79,1,10,0.0,3290926634.0,215065909.0,0.0,1.0,10127.0,9576.0,32.0,64.0,0.0,603.6146873235703,0.0,110.0,905947.6575214863,23453779406.417408,2418793.0,1216358.0,1345781.0,0.0,0.012,0.0,3164492.0,184958455.0,608702400,8011618.583396991
11,8,5,2,11,0.0,341.0,4794.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.3601229190826416,0.0,1.0,42.54915189743042,3.8128625624624934,4.0,5.0,829.0,0.0,1.7976931348623157e+308,0.0,0.0,0.0,606974400,0.0
12,8,40,1,12,0.0,1513855.0,421172.0,0.0,0.0,139.0,87.0,2.0,61.0,0.0,93.73082029819489,0.3532789945602417,75.0,2873.3448317050934,987591.0307856838,1956.0,2611.0,35760.0,0.0,0.0143125,0.0,56554.0,113470.0,608702400,0.0
13,8,117,1,13,0.0,542418007.0,90687417.0,0.0,0.0,4135.0,3469.0,25.0,306.0,500.26835203170776,873.6554434299469,87.43471813201904,503.0,442379.57288622856,8169201955.907021,428057.0,245861.0,386412.0,0.0,0.0085625,0.0,377394.0,49646596.0,608702400,15105873.218285775
14,8,99,1,14,0.0,11950207.0,3657783.0,0.0,0.0,899.0,432.0,8.0,299.0,1148.9166060686111,469.4905364513397,3.2412859201431274,523.0,66778.22666144371,46100355.43444053,14663.0,18251.0,203541.0,0.0,0.010375,0.0,110381.0,254972.0,608702400,141905.859472638
15,8,25,1,15,0.0,222131.0,237372.0,0.0,0.0,35.0,21.0,0.0,39.0,0.0,92.94806492328644,33.853946924209595,32.0,1190.0589510202408,117974.85278059776,447.0,769.0,15609.0,0.0,0.0155,0.0,2894.0,821.0,607752000,0.0
16,8,56,1,16,0.0,50429284.0,2985997.0,0.0,0.0,679.0,366.0,8.0,107.0,0.0,1384.966414809227,317.9559940099716,223.0,16951.427876591682,4454559.450866744,38935.0,20892.0,148085.0,0.0,0.014,0.0,336041.0,1480919.0,607752000,1658045.910131111
