resourceName,effectName,cacheSize,lastAccessDate
02958a40bbb196357434fc3390215d37,Shape,11810,1586656538.698722
0e9530c3b330cc590061108fcf34a91c,Normal,36169,1586656538.708547
9547164b15f95871078bf9d4fb824721,F1,179959,1586656538.7379432
3cfd85b53325fe883fced2a0b9a5759c,F2,279377,1586656538.759825
f2997e579a953bdc7b5419f50d8a7f73,Smooth,490909,1586656864.128604
f322784bfe1e397bd14b1cc9821e3089,F3,161461,1586656538.860458
fd5a4cd809dd28fb8903ef16c065e121,F4,239144,1586656538.88414
68f2d398c1330a6999642515533ea0db,S1,220198,1586656538.949372
feca9d0b67112b81c0a762098480d759,S2,178913,1586656538.985403
6cca554c727d2770db19688e22f8d3ad,S3,204547,1586656539.015215
c281cf8bb7a3a7d42597346c64f5f7b6,S4,166575,1586656539.064192
1ab17f335cd9c0369c102bee0acd460d,S5,214362,1586656539.092401
82bf9aeb3cc0884108b5aa6c8183e7b0,S6,9021,1586656539.116006
59fb81c7d707f503fdb5d75e05d50e43,S8,9088,1586656539.165416
fdd46777b93f6c0ea6151f9a3fd54ceb,S9,206838,1586656539.3237839
a3fff8b3374ab346d67de2c9c34248ae,S7,230380,1586656539.3421369
398fdf2bdd1a285256f2e1ff555d7a87,S10,8248,1586656539.380024
185fdcf3e3a88d09def7eb33fa3235e2,S11,167768,1586656539.4438338
27f52b1398833cce5aa0017673925cdd,S12,354396,1586656539.553791
58ad482c5bf05d1f0e968bbf87e7f138,S13,199341,1586656539.5707269
36662d33684f7d90a98de48fad99a66a,B1,264258,1586656539.619866
81d3d9a8cee09b209c0e7bb4c1c407bb,B3,397816,1586656539.716836
18cc829fd3d2342ef7e7fccd34cfe17b,B2,380440,1586656539.815398
d1ed47ecfc68fe5b80119665c1860f10,B5,277316,1586656539.8376498
d7c48620a6bdd239843efb86a002aa09,B4,356014,1586656539.881635
592d0b8645ab0ef6d6bf44148107f5e6,B6,344940,1586656539.96488
7ec752a8f349ce0704758728223db2ce,B7,251320,1586656540.1810179
ea238f28184eeda94728a088ed05e68a,B8,302146,1586656540.1971822
6f0f3c0dda6ebb723e19e3407d43d381,B9,275062,1586656540.220825
1eac9f9c7adfe2869885b858f30cf692,B10,317403,1586656540.304761
45007e311ae2f6571a8bc07610a5415c,G1,251487,1586656540.398602
f55d5fcf299664d2082c37c90d4a55c3,G2,344590,1586656540.452096
b65c1c7368c5b2c041b1c318cef5aa31,B11,339353,1586656540.495084
ecfce739df160b9ab35ecce4dab4e29e,G3,251845,1586656540.839297
8f0b4b55715d6f7568192844628aa2bf,G4,295188,1586656540.917046
d9c23aaa457cc9eac047c72b1f9d2b5b,G5,274795,1586656540.963931
3a8c090ff0004ba265c2817caa85f81f,G7,222673,1586656541.068039
7a54b50dd0de4fcba5125acf1e08ddf2,V1,71611,1586656541.0923018
6543df989ac3e7137d3247cf307c1d10,V2,57769,1586656541.157763
c203efb9a8f74289df00e3e5ba4e06ce,G6,752113,1586656541.200443
530925fd8848c97c902bc340aee1d515,V3,211757,1586656541.235592
53b476f7456d0222715ee42c33b2ddeb,V4,333087,1586656541.334944
c7175072a3639399f2a6f5ff4c850cad,V5,198273,1586656541.370429
af8b8a73b9e20672cda52f15a21078f1,V6,339833,1586656542.038476
640629fbfee9064a462209c6e1e64a79,V7,346671,1586656542.143423
ba5186b8c76de619820d4ecb6bd86c51,V8,264624,1586656542.33513
0c142ccb44762b45357652d1ce8bd211,V9,333558,1586656542.6362948
bfe402f4d45c573dbdbfaf92f4c74814,V11,317095,1586656542.84109
62eea53cd0c9fd03d5febc7f35c7deb5,V10,269470,1586656542.9150481
5b55960cc505244afeebcb5e6e4f5e1a,Handwriting,45507,1586656580.793621
3a8194237eebfe284764a84c223dbe6c,Neon,44903,1586656580.804862
9df48d5100c9aa2c8dd6cee7d29fc460,Typewriter,92863,1586656580.81773
45ad18e35b754ccb59f928227551e61c,Classic,137875,1586656580.8325891
