entry_ID,isDataOnFS,receiver_data
1,1,8439D4CA-ABA5-49E1-B568-823EA711CFF6
2,0,b'<plist>\n<dict>\n<key>sign-sap-setup-cert</key>\n<data>AQIAAAQWMIIEEjCCAvqgAwIBAgIBHDANBgkqhkiG9w0BAQUFADBiMQswCQYDVQQGEwJVUzETMBEGA1UEChMKQXBwbGUgSW5jLjEmMCQGA1UECxMdQXBwbGUgQ2VydGlmaWNhdGlvbiBBdXRob3JpdHkxFjAUBgNVBAMTDUFwcGxlIFJvb3QgQ0EwHhcNMTEwMTI2MTkwMTM0WhcNMTkwMTI2MTkwMTM0WjCBhTELMAkGA1UEBhMCVVMxEzARBgNVBAoMCkFwcGxlIEluYy4xJjAkBgNVBAsMHUFwcGxlIENlcnRpZmljYXRpb24gQXV0aG9yaXR5MTkwNwYDVQQDDDBBcHBsZSBTeXN0ZW0gSW50ZWdyYXRpb24gQ2VydGlmaWNhdGlvbiBBdXRob3JpdHkwggEiMA0GCSqGSIb3DQEBAQUAA4IBDwAwggEKAoIBAQDa4A+Yl8tYKYYqC7ieGVoxwy0OaixSAe4dA/uCQWnNUCY2ercMbw45A7jUGFajCLI8w/s2QeTXyGdgMgtOMn2H9/3NU7AauvwfbMlFB62COPOofMROwrFW2T6ybW0EQRrBmkfArBV8LXiRqweiZbF6g92YS3dA2O5Q68drWAgGl1dVfSf4Cua1Feenk/nxgOZCeT8W0zKdEXZBKQoxCe8PW/jzp6n3Ug27+C10rKZJHx/OewWnhT2+z6KnqiOFZv7FFhJ+W+Ixd5ECCd9+fuSK4OxBrBcsBOC8eaSJeEQGiztLoLyE4rCCtTK+BBwD7YI+dTcUz3WfgjFtzwkUhtEnAgMBAAGjga4wgaswDgYDVR0PAQH/BAQDAgGGMA8GA1UdEwEB/wQFMAMBAf8wHQYDVR0OBBYEFPAwc2Py7x2szOYJMsH6eXqxaVBoMB8GA1UdIwQYMBaAFCvQaUeUdgn+9GuNLkCm90dNfwheMDYGA1UdHwQvMC0wK6ApoCeGJWh0dHA6Ly93d3cuYXBwbGUuY29tL2FwcGxlY2Evcm9vdC5jcmwwEAYKKoZIhvdjZAYCBAQCBQAwDQYJKoZIhvcNAQEFBQADggEBAD17j60fDCKKm0ujz/grsB9o4Qz3nCSDFgMt07Ko0EPorzyXJsit1SzETFVTAUnQ4rT75tty0Zi7/JvITrePzGWGf0S52icqTt/L39N930Fx+LPAHaIKM7nsK8Vzcvvhyl2OLzT0a8RPD8iKrA/7byVut66Ox+QCuCBOXVZMSZexJHR+yZOTNIyZ0afAHNPUwq5p65+fV+Jox8rVxSKCZEFY/njRysH5NmprRPezhnJ6ZEAXMZ28rHXw+jNR5b0Balg/8ACumVwKwsnpXhyHAuygCFVBKpuMZIWOUAPN4BGvznIZ61Lzr5Ktky6Undav/8Am8d6UkhzZvD02zFX6ONsAAAUxMIIFLTCCBBWgAwIBAgIISnQ/0ZM7Y5AwDQYJKoZIhvcNAQEFBQAwgYUxCzAJBgNVBAYTAlVTMRMwEQYDVQQKDApBcHBsZSBJbmMuMSYwJAYDVQQLDB1BcHBsZSBDZXJ0aWZpY2F0aW9uIEF1dGhvcml0eTE5MDcGA1UEAwwwQXBwbGUgU3lzdGVtIEludGVncmF0aW9uIENlcnRpZmljYXRpb24gQXV0aG9yaXR5MB4XDTExMDQxNDIyMTE1NVoXDTE0MDQxMzIyMTE1NVowaTEdMBsGA1UEAwwURFJNIFRlY2hub2xvZ2llcyBBMDExJjAkBgNVBAsMHUFwcGxlIENlcnRpZmljYXRpb24gQXV0aG9yaXR5MRMwEQYDVQQKDApBcHBsZSBJbmMuMQswCQYDVQQGEwJVUzCCASIwDQYJKoZIhvcNAQEBBQADggEPADCCAQoCggEBAL4tkXdyBqnMthEsRK5gt/jeP83WbyB6RoltOli/TPr+DPipyRVPqSn391cfFiPVAEcZ/d8OI8hdTc5gdxTasGug6RLkC0prjq/Tf67ZQxG1X082Vr2T1ZWZa6iYid5v3UmtM+fKN6XCb+3Gj0opLqwXxTrpbfogirVOar2cIlJOdxyQj+ZCZla6NhvjBeCDMUCOMkV8zU7qtLIwIL0tEGX1wgiCUdYOljNPU1j1SMHeWruhqn47Y3inQRMTBGyb/kX9p1LEqrBbEoY0S/TU1pV+BaZS1HzkoXi9YJyL0/9K8j4zLNf7oMcGFj7T+c6QZxYSBTUBrj3qUMQFUk125zUCAwEAAaOCAbowggG2MB0GA1UdDgQWBBQMbHKfljPJRvMMXWJDZxYlhrNcVDAMBgNVHRMBAf8EAjAAMB8GA1UdIwQYMBaAFPAwc2Py7x2szOYJMsH6eXqxaVBoMIIBDgYDVR0gBIIBBTCCAQEwgf4GCSqGSIb3Y2QFATCB8DAoBggrBgEFBQcCARYcaHR0cDovL3d3dy5hcHBsZS5jb20vYXBwbGVjYTCBwwYIKwYBBQUHAgIwgbYMgbNSZWxpYW5jZSBvbiB0aGlzIGNlcnRpZmljYXRlIGJ5IGFueSBwYXJ0eSBhc3N1bWVzIGFjY2VwdGFuY2Ugb2YgdGhlIHRoZW4gYXBwbGljYWJsZSBzdGFuZGFyZCB0ZXJtcyBhbmQgY29uZGl0aW9ucyBvZiB1c2UsIGNlcnRpZmljYXRlIHBvbGljeSBhbmQgY2VydGlmaWNhdGlvbiBwcmFjdGljZSBzdGF0ZW1lbnRzLjAvBgNVHR8EKDAmMCSgIqAghh5odHRwOi8vY3JsLmFwcGxlLmNvbS9hc2ljYS5jcmwwDgYDVR0PAQH/BAQDAgWgMBMGCiqGSIb3Y2QGDAIBAf8EAgUAMA0GCSqGSIb3DQEBBQUAA4IBAQCzR9MjeoFy1yK32EyHlabYoUy1XY+OfcDN/qZkDJj3XJVKKrYVjfGtsyCQdMFaRhi9ItDUfk+GNjRC8rp6F3vaWqghiSyxQ9YlPKq+jVQGRBQbgIcSqLmso3b21KrJU3mdGcjgCwt7AIV8/sZAKuSgExUOb+RVF0clhTiWRdolLcdsYTM6Bq8LkZ8Ts/7CnwN0VC6Txp9gR+vuK1YPpVni9mxqGsiA1C2U42QZAYAytXYSHC7G25kCf4coEXOZRSCaDwWs9Aft0NMeLzLstJyKKRdGI1P9ynH6FM+BNhpWdL8ej9BpdNHYsVQTb8KrHSyxiHp11wYrOFZlGB58wcWr</data>\n</dict>\n</plist>\n'
3,0,"b'{""result"":{""token"":""Ae-fcDW8l0913fXmjtH7vKcY6VbbioZjZgPDywBEv0lyYLhzmaK3_M_XJAvmEfKHfCuoUhF9dYgg6Cv_KvYKMwy-uAU46lC39vQvil-giFRzIARpiXqJGqJyKwpPztAL1g=="",""generatedAtMillis"":1586697840000,""timeToLiveMillis"":604756072,""tokenID"":{""dsid"":17193901029,""deviceGUID"":""c623fbd7e91b041e07a68f8523f53a35973e475d""},""lifespanMillis"":604800000},""serverInstance"":null}'"
4,0,b'mupd\x00\x00\x00\x18mstt\x00\x00\x00\x04\x00\x00\x00\xc8musr\x00\x00\x00\x04\x00\x00\x00\x02'
5,0,b'adbs\x00\x00\x009mstt\x00\x00\x00\x04\x00\x00\x00\xc8muty\x00\x00\x00\x01\x00mtco\x00\x00\x00\x04\x00\x00\x00\x00mrco\x00\x00\x00\x04\x00\x00\x00\x00musr\x00\x00\x00\x04\x00\x00\x00\x02'
6,0,"b'{""isMatchSubscriber"":false,""status"":10000001}'"
7,0,"b'<?xml version=""1.0"" encoding=""UTF-8"" standalone=""no""?>\n<!DOCTYPE plist PUBLIC ""-//Apple Computer//DTD PLIST 1.0//EN"" ""http://www.apple.com/DTDs/PropertyList-1.0.dtd"">\n<plist version=""1.0"">\n<dict>\n  <key>status</key><integer>0</integer>\n  <key>protocol-version</key><integer>1</integer>\n  <key>url</key><string>https://genius-upload-2.itunes.apple.com/updateLibrary/?cuid=583a5a1f2e8ef066cbd678a11edf4882&amp;update-id=1585163060392&amp;troveid=9f79038d1a279935d866c9113bc40109</string>\n  <key>min-compatible-version</key><integer>1</integer>\n  <key>troveid</key><string>9f79038d1a279935d866c9113bc40109</string>\n  <key>cuid</key><string>583a5a1f2e8ef066cbd678a11edf4882</string>\n  <key>update-id</key><string>1711314c4a8</string>\n</dict>\n</plist>\n'"
8,0,"b'<?xml version=""1.0"" encoding=""UTF-8"" standalone=""no""?>\n<!DOCTYPE plist PUBLIC ""-//Apple Computer//DTD PLIST 1.0//EN"" ""http://www.apple.com/DTDs/PropertyList-1.0.dtd"">\n<plist version=""1.0"">\n<dict>\n  <key>retry-in-ms</key><integer>5000</integer>\n  <key>min-compatible-version</key><integer>1</integer>\n  <key>protocol-version</key><integer>1</integer>\n  <key>status</key><integer>0</integer>\n</dict>\n</plist>\n'"
9,0,"b'<?xml version=""1.0"" encoding=""UTF-8"" standalone=""no""?>\n<!DOCTYPE plist PUBLIC ""-//Apple Computer//DTD PLIST 1.0//EN"" ""http://www.apple.com/DTDs/PropertyList-1.0.dtd"">\n<plist version=""1.0"">\n<dict>\n  <key>additional-fields-url</key><string>https://genius-download-2.itunes.apple.com/getLibraryUpdateResponse/?cuid=583a5a1f2e8ef066cbd678a11edf4882&amp;update-id=1585163060392&amp;troveid=9f79038d1a279935d866c9113bc40109&amp;xtra-fields=true&amp;cddb-fingerprint=false&amp;rsid=303601</string>\n  <key>status</key><integer>0</integer>\n  <key>protocol-version</key><integer>1</integer>\n  <key>sim-md5</key><string></string>\n  <key>sim-url</key><string>https://genius-download-2.itunes.apple.com/getLibraryUpdateResponse/?cuid=583a5a1f2e8ef066cbd678a11edf4882&amp;update-id=1585163060392&amp;troveid=9f79038d1a279935d866c9113bc40109&amp;xtra-fields=false&amp;cddb-fingerprint=false&amp;rsid=303601</string>\n  <key>min-compatible-version</key><integer>1</integer>\n  <key>update-id</key><string>1711314eede</string>\n</dict>\n</plist>\n'"
10,0,"b'<?xml version=""1.0"" encoding=""UTF-8"" standalone=""no""?>\n<!DOCTYPE plist PUBLIC ""-//Apple Computer//DTD PLIST 1.0//EN"" ""http://www.apple.com/DTDs/PropertyList-1.0.dtd"">\n<plist version=""1.0"">\n<dict>\n  <key>tracks</key>\n  <array>\n  </array>\n  <key>min-compatible-version</key><integer>1</integer>\n  <key>protocol-version</key><integer>1</integer>\n  <key>status</key><integer>0</integer>\n</dict>\n</plist>\n'"
11,0,b'mupd\x00\x00\x00!mstt\x00\x00\x00\x04\x00\x00\x00\xc8ajFA\x00\x00\x00\x01\x02musr\x00\x00\x00\x04\x00\x98\x96\x8b'
12,0,b'adbs\x00\x00\x00-mstt\x00\x00\x00\x04\x00\x00\x00\xc8muty\x00\x00\x00\x01\x00mtco\x00\x00\x00\x04\x00\x00\x00\x00mrco\x00\x00\x00\x04\x00\x00\x00\x00'
13,0,b'aply\x00\x00\x00-mstt\x00\x00\x00\x04\x00\x00\x00\xc8muty\x00\x00\x00\x01\x00mtco\x00\x00\x00\x04\x00\x00\x00\x00mrco\x00\x00\x00\x04\x00\x00\x00\x00'
