entry_ID,isDataOnFS,receiver_data
1873,1,8D777E7A-626C-475F-A333-199873CB8DAE
1874,1,18371F9C-86E1-45AA-B862-317BACB9F74E
1875,1,D42B64BE-591E-47EA-9435-805539A5B070
1876,1,F19A2BA1-D8E6-4D17-A8B8-58DA47CAFDA6
1877,1,AA80EFC5-AE6D-4882-A626-BC4BF3857554
1878,1,0807B315-B433-434B-B8BD-01C2C1FA834B
1879,1,A96C5A33-2EB6-42C7-9FB9-0AC19F3FAA2F
1880,1,C22E9617-9D68-4E0C-B337-24092A9E77BB
1881,0,"b'{""code"":200,""message"":""Success""}'"
1882,0,"b'c102\t301653755-0.0\nc113\t301653770-0.0\nc118\t301653758-0.0\nc127\t301653770-0.0\nc143\t301653752-0.0,301653760-0.0,301653763-0.0\nc157\t301653757-0.0\nc17\t301653755-0.0\nc172\t301653761-0.0,301653764-0.0\nc173\t301653753-0.0,301653754-0.0,301653762-0.0,301653767-0.0\nc174\t301653757-0.0\nc178\t301653765-0.0\nc182\t301653771-0.0\nc187\t301653753-0.0,301653761-0.0,301653771-0.0\nc194\t301653766-0.0\nc200\t301653771-0.0\nc215\t301653765-0.0\nc218\t301653756-0.0\nc225\t301653750-0.0,301653751-0.0\nc232\t301653764-0.0\nc233\t301653764-0.0\nc236\t301653767-0.0,301653768-0.0\nc242\t301653762-0.0\nc243\t301653754-0.0\nc246\t301653757-0.0\nc251\t301653750-0.0,301653751-0.0\nc252\t301653750-0.0,301653751-0.0,301653758-0.0,301653768-0.0\nc257\t301653758-0.0,301653766-0.0,301653772-0.0\nc259\t301653773-0.0\nc277\t301653773-0.0\nc284\t301653773-0.0\nc296\t301653760-0.0,301653761-0.0\nc297\t301653770-0.0\nc316\t301653759-0.0,301653772-0.0\nc37\t301653769-0.0\nc39\t301653765-0.0\nc4\t301653760-0.0,301653763-0.0\nc42\t301653755-0.0,301653763-0.0\nc43\t301653752-0.0,301653759-0.0\nc51\t301653767-0.0\nc56\t301653756-0.0,301653769-0.0\nc57\t301653756-0.0\nc79\t301653753-0.0,301653754-0.0,301653762-0.0,301653768-0.0,301653769-0.0\nc95\t301653752-0.0,301653759-0.0,301653766-0.0,301653772-0.0\n'"
1883,0,b'\n'
1884,0,b'\n'
1885,0,b'\n'
1886,0,b'\n'
1887,1,951E602D-597E-475E-BE27-F6D6A5221E97
1888,0,b'\n'
1889,1,A132E4BE-D8A4-4291-8A6A-56A3ABDF8794
1890,1,74E4B797-DFEA-43B3-8DB7-219218B489C7
1891,0,b'\n'
1892,0,b'\n'
1893,1,6F39F7E9-1C12-442C-8ED0-2D6F5566356B
1894,1,C8DDA166-13FA-4603-B6B3-98F2049CE885
1895,1,E31E25DE-BBDA-4754-985C-D8CA97924C07
1896,1,7A3DE119-9421-465C-A1A6-16E021A717D7
1897,1,D17A2580-ED0B-4629-AB99-B0E837ACCEE6
1898,1,C215D3F1-972D-4CB3-85E8-177E4D080B52
1899,1,CD320329-1714-415C-8C55-FF1879575927
1900,1,342CA0BD-F466-4A93-8E1C-E1C5D07F609B
1901,1,7D43963E-616F-4857-BFEC-59E66893C0B1
1902,1,B7F19779-456F-4629-A7DD-AA69BC5D538A
1903,1,2A3D5F9B-E688-4A73-A00F-A9E08208C679
1904,1,423E6570-372C-44E4-89AC-516DEDA03423
1905,1,1A2D0359-DEC4-4DBF-B117-1C9BCE727129
1906,1,394913A3-0F6D-4A3C-8A57-291CF4CD984F
1907,1,E911D47A-5409-4E87-AF39-F5B7C03645D3
1908,1,E46F26CE-C362-4135-A50E-F7CAB2C73ACE
1909,1,619973AA-0711-4BEB-A6F4-72CBFA6038AE
1910,1,534BA4E4-1C9D-4AD0-9E77-F74EE61DCABB
1911,1,26C955C9-034A-49DD-B9F9-84F4223A09C6
1912,1,0B59DE2B-B3B8-4727-97E9-88E88A4BBE86
1913,1,51E1C9AE-BE8B-4C19-B9D7-8582BB4F113C
1914,1,B54DF7FF-4972-4787-80F0-FF229DD25A08
1915,1,53FC0D65-A2B0-4C75-9743-1DDF7D11C7FE
1916,1,136C45BB-ED90-4D30-9C25-7A347B6B9E77
1917,1,0D482A6C-2BF5-4947-A9EB-178B4FBA99D7
1918,1,FEF751F7-0E39-4FBE-B23F-2C8402E7AAF5
1919,1,208E0FE4-7669-4D40-AB40-BD867B3BD1FF
1920,1,BDDB752C-3DF3-4B2E-B9E5-42397AC78EE4
1921,1,9D62608E-F741-4A37-8F72-239E44A53149
1922,1,30B4DFE0-CA4C-4941-8B3C-EFEAC0405485
1923,1,1431D32D-B358-4156-BB1E-DAA020D9E24E
1924,1,26C854E7-5BBE-4205-9952-AFEBD9F865F5
1925,1,D9CA916E-8525-4FEE-86A7-74211EE2E011
1926,1,7B78A63D-0FFD-40ED-86E1-FEAF2A9FD4E4
