entry_ID,version,hash_value,storage_policy,request_key,time_stamp,partition
1873,0,3770948543768575652,0,https://obs.line-scdn.net:443//r/shop/suggest/tag_sticker_3260_1580622200039_19e64134t0b728874,2020-04-03 19:15:58,
1874,0,5512078865582527159,0,https://obs.line-scdn.net:443//r/shop/suggest/tag_sticker_3820_1580622200039_19e57389t0b728877,2020-04-03 19:15:58,
1875,0,-8033851509121808016,0,https://obs.line-scdn.net:443//r/shop/suggest/tag_sticker_574_1580622200039_192a4820t0b728872,2020-04-03 19:15:58,
1876,0,511078411,0,https://obs.line-scdn.net:443//r/shop/suggest/tag_sticker_10926_1580622200039_192b7058t0b72887b,2020-04-03 19:15:59,
1877,0,1628966533,0,https://obs.line-scdn.net:443//r/shop/suggest/tag_sticker_14532_1585306001912_192b6356t0bba00de,2020-04-03 19:15:59,
1878,0,-1908819047,0,https://obs.line-scdn.net:443//r/shop/suggest/tag_sticon_5ac21c46040ab15980c9b442_1585061200885_192b6553t0bb64441,2020-04-03 19:15:59,
1879,0,925456824,0,https://obs.line-scdn.net:443//r/shop/suggest/tag_sticon_5ac221ca040ab15980c9b449_1585061200885_192a4204t0bb64441,2020-04-04 00:35:20,
1880,0,-2139977390,0,https://scdn.line-apps.com/appresources/moretab/list.json?lang=en&device=iphone&region=us&v=8,2020-04-11 18:03:46,
1881,0,2114483142,0,https://nelo2-col.linecorp.com:443/_store,2020-04-11 18:03:46,
1882,0,-5338594463717391285,0,https://obs.line-scdn.net:443//r/shop/suggest/tag_sticker_17289_1586112400888_192a8562t0bc64e81,2020-04-11 18:03:46,
1883,0,1053892665,0,https://obs.line-scdn.net:443//r/shop/suggest/tag_sticker_17029_1585198000885_19284111t0bb85aa1,2020-04-11 18:03:46,
1884,0,-1536225480,0,https://obs.line-scdn.net:443//r/shop/suggest/tag_sticker_17031_1585194401337_192a6165t0bb84c91,2020-04-11 18:03:46,
1885,0,1583869795,0,https://obs.line-scdn.net:443//r/shop/suggest/tag_sticker_17032_1585219601350_19e59208t0bb8af01,2020-04-11 18:03:46,
1886,0,386706141,0,https://obs.line-scdn.net:443//r/shop/suggest/tag_sticker_17045_1585561600886_192b6917t0bbde6ff,2020-04-11 18:03:46,
1887,0,203056407,0,https://obs.line-scdn.net:443//r/shop/suggest/tag_sticker_15412_1586332000886_19298097t0bc9a870,2020-04-11 18:03:46,
1888,0,1083553813,0,https://obs.line-scdn.net:443//r/shop/suggest/tag_sticker_17036_1585194401337_19299720t0bb84c91,2020-04-11 18:03:46,
1889,0,1917088527,0,https://obs.line-scdn.net:443//r/shop/suggest/tag_sticker_16219_1586252802229_192c1433t0bc87328,2020-04-11 18:03:46,
