item_rowid,item_id,item_parent_id,item_type,zone_rowid,item_parent_zone_rowid,faults_count,needs_faulting_count,over_quota_count,shared_by_me_count,shared_to_me_count,uploaded_size,uploaded_count,needs_upload_size,needs_upload_count,downloaded_size,downloaded_count,needs_download_size,needs_download_count,dl_unstaged_count,needs_dl_unstage_count,synced_up_count,needs_sync_up_count
1,b'\x02\x02\x00\x00\x00',b'\x01\x02\x00\x00\x00',0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,b'\xe5\xea\x85\xb8\x1f\x8fB\x1c\xaaK|S\xa8\x03\xa9\x06',b'\x01\x02\x00\x00\x00',0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,b'\x02\x03\x00\x00\x00',b'\x01\x03\x00\x00\x00',0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4,b'\x02\x04\x00\x00\x00',b'\x01\x04\x00\x00\x00',0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5,b'\x02\x05\x00\x00\x00',b'\x01\x05\x00\x00\x00',0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6,b'\x02\x06\x00\x00\x00',b'\x01\x06\x00\x00\x00',0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7,b'\x02\x07\x00\x00\x00',b'\x01\x07\x00\x00\x00',0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8,b'\x02\x08\x00\x00\x00',b'\x01\x08\x00\x00\x00',0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9,b'\x02\t\x00\x00\x00',b'\x01\t\x00\x00\x00',0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10,b'\x02\n\x00\x00\x00',b'\x01\n\x00\x00\x00',0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
11,b'\x02\x0b\x00\x00\x00',b'\x01\x0b\x00\x00\x00',0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
12,b'\x02\x0c\x00\x00\x00',b'\x01\x0c\x00\x00\x00',0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
13,b'\xb9\xe6\x1b\x04elA\x17\x9f\t\xba\xbb\x0b+\x8e\x01',b'\x01\x0b\x00\x00\x00',0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,b'\xeb\xbc3\xa4\x7fIC\x8f\xb7\xb3\x060\x80\xff{A',b'\xb9\xe6\x1b\x04elA\x17\x9f\t\xba\xbb\x0b+\x8e\x01',0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,b'\xee\x90\xfc\xa7\x9d_D+\xa3\x88iD1\x11g\xd6',b'\xeb\xbc3\xa4\x7fIC\x8f\xb7\xb3\x060\x80\xff{A',0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,b'T\xac_a\xb5\x02H!\xbd\x87Ey\x96U\xdf~',b'\xee\x90\xfc\xa7\x9d_D+\xa3\x88iD1\x11g\xd6',0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,b'!\x8c\xe0\x9c\x18\x93H@\xac\x85\xf9\xf4\xf6~Z\\',b'\xb9\xe6\x1b\x04elA\x17\x9f\t\xba\xbb\x0b+\x8e\x01',0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,b'\xf2l\x07\x0e\x08\x87D\xa0\xa3\x15B\xe3/\x1a\x80\x97',b'\xb9\xe6\x1b\x04elA\x17\x9f\t\xba\xbb\x0b+\x8e\x01',0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,b'\xef\xd0M8\t\xd2A2\xbe^7r\xbb\x1d\x07\xb3',b'\xf2l\x07\x0e\x08\x87D\xa0\xa3\x15B\xe3/\x1a\x80\x97',0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,b'P\xebU\xf2\xcb\xd2N\xe0\xa9\xf3x\\~\x1fs\x19',b'\xef\xd0M8\t\xd2A2\xbe^7r\xbb\x1d\x07\xb3',0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,b'\x02\r\x00\x00\x00',b'\x01\r\x00\x00\x00',0,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
25,b'\x02\x0e\x00\x00\x00',b'\x01\x0e\x00\x00\x00',0,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
26,b'\x02\x0f\x00\x00\x00',b'\x01\x0f\x00\x00\x00',0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
27,b'\x02\x10\x00\x00\x00',b'\x01\x10\x00\x00\x00',0,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
28,b'\x02\x11\x00\x00\x00',b'\x01\x11\x00\x00\x00',0,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
29,b'\x02\x12\x00\x00\x00',b'\x01\x12\x00\x00\x00',0,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
30,b'\x02\x13\x00\x00\x00',b'\x01\x13\x00\x00\x00',0,19,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
31,b'\x02\x14\x00\x00\x00',b'\x01\x14\x00\x00\x00',0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
32,b'\x02\x15\x00\x00\x00',b'\x01\x15\x00\x00\x00',0,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
33,b'\x02\x16\x00\x00\x00',b'\x01\x16\x00\x00\x00',0,22,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
34,b'\x1f\x07\x9d\x82&CK\xc3\x9b\xad\x8a)\x93\xbf\x89O',b'\x01\x01\x00\x00\x00',0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
39,b'\x02\x17\x00\x00\x00',b'\x01\x17\x00\x00\x00',0,23,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
40,"b'c\xe2v\x9c""IH\xc2\xbd\x8b$\x01Ql\x83n'",b'\x1f\x07\x9d\x82&CK\xc3\x9b\xad\x8a)\x93\xbf\x89O',1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
41,b'\x02\x18\x00\x00\x00',,0,24,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
