db_tag_id,tag_id,lang_code,tag_name
1,10,en,&
2,100,en,actually
3,1000,en,diva
4,1001,en,dive
5,1002,en,division
6,1003,en,dizzy
7,1004,en,dj
8,1005,en,djembe
9,1006,en,doberman
10,1007,en,doc
11,1008,en,dock
12,1009,en,doctor
13,101,en,adam
14,1010,en,document
15,1011,en,dog
16,1012,en,doh
17,1013,en,doing
18,1014,en,doll
19,1015,en,dollar
20,1016,en,dolphin
21,1017,en,donald
22,1018,en,donburi
23,1019,en,done
24,102,en,addition
25,1020,en,donotenter
26,1021,en,donttouch
27,1022,en,dontworry
28,102237,en,bunty
29,102238,en,shaakal
30,102239,en,baisakhi
31,102240,en,eid
32,102241,en,guru
33,102242,en,thappad
34,102243,en,henna
35,102244,en,mehndi
36,102245,en,paan
37,102246,en,roti
38,102247,en,parantha
39,102248,en,puri
40,102249,en,pani
41,102250,en,bhel
42,102251,en,jalebi
43,102252,en,gulab
44,102253,en,jamun
45,102254,en,tikka
46,102255,en,paneer
47,102256,en,ladoo
48,102257,en,gujia
49,102258,en,biryani
50,102259,en,thali
51,102260,en,dosa
52,102261,en,pav
53,102262,en,bhaji
54,102263,en,kulfi
55,102264,en,falooda
56,102265,en,makki
57,102266,en,sarson
58,102267,en,saag
59,102268,en,misti
60,102269,en,dohi
61,102270,en,rasgulla
62,102271,en,kathi
63,102272,en,anda
64,102273,en,chole
65,102274,en,maggi
66,102275,en,kala
67,102276,en,khatta
68,102277,en,bhature
69,102278,en,momos
70,102279,en,gol
71,102280,en,gappa
72,102281,en,vada
73,102282,en,idii
74,102283,en,idly
75,102285,en,nimbu
76,102286,en,mirchi
77,102287,en,rupee
78,102288,en,dhol
79,102289,en,sitar
80,102290,en,tabla
81,102291,en,veena
82,102292,en,wicket
83,102293,en,hookah
84,102294,en,dandiya
85,102295,en,raas
86,102296,en,buri
87,102297,en,nazar
88,102298,en,pitthu
89,102299,en,jhaadu
90,1023,en,donut
91,102301,en,garland
92,102302,en,kerala
93,102303,en,shaadi
94,102304,en,ghodi
95,102305,en,kutte
96,102306,en,pooch
97,102307,en,holy
98,102308,en,khujali
99,102309,en,dimaag
100,102310,en,dahi
101,102311,en,ambassador
102,102312,en,maruti
103,102313,en,rickshaw
104,102314,en,erickshaw
105,102315,en,houseboat
106,102316,en,jaat
107,102317,en,meter
108,102318,en,aah
109,102319,en,aaiga
110,102320,en,adda
111,102321,en,baccha
112,102322,en,bhai
113,102323,en,bidu
114,102324,en,bygod
115,102325,en,chal
116,102326,en,chalu
117,102327,en,changa
118,102328,en,chep
119,102329,en,chotu
120,102330,en,fadu
121,102331,en,fotu
122,102332,en,futt
123,102333,en,goli
124,102334,en,haan
125,102335,en,hain
126,102336,en,hatt
127,102337,en,hool
128,102338,en,hulchul
129,102339,en,hurr
130,102340,en,jhalli
131,102341,en,katle
132,102342,en,kya
133,102343,en,kyu
134,102344,en,lagi
135,102345,en,lebe
136,102346,en,ma
137,102347,en,macha
138,102348,en,mama
139,102349,en,mast
140,102350,en,nahi
141,102351,en,nawab
142,102352,en,oye
143,102353,en,paap
144,102354,en,ruk
145,102355,en,saand
146,102356,en,shanti
147,102357,en,sols
148,102358,en,sunn
149,102359,en,teri
150,102360,en,thoko
151,102361,en,uyi
152,102362,en,vella
153,102363,en,waat
154,102364,en,yaar
155,102365,en,9211
156,102366,en,sell
157,102367,en,result
158,102368,en,cc
159,102369,en,re
160,102370,en,fwd
161,102371,en,recliner
162,102372,en,shred
163,102373,en,settle
164,102374,en,then
165,102375,en,condolence
166,102376,en,scrunch
167,102377,en,sadsong
168,102378,en,choochoo
169,102379,en,melody
170,102380,en,corny
171,102382,en,beautify
172,102383,en,kickout
173,102385,en,brainfart
174,102386,en,shriek
175,1024,en,doodle
176,1025,en,doom
177,1026,en,door
178,1027,en,dope
179,1028,en,dopey
180,1029,en,doraemon
181,103,en,adjust
182,1030,en,dorayaki
183,1031,en,dory
184,1032,en,dot
185,1033,en,doubledecker
186,1034,en,dove
187,1035,en,down
188,1037,en,downtown
189,1038,en,doze
190,1039,en,drag
191,104,en,admire
192,1040,en,dragon
193,1041,en,dragonfly
194,1042,en,dragqueen
195,1043,en,drama
196,1044,en,draw
197,1045,en,dread
198,1046,en,dreadlocks
199,1047,en,dream
200,1048,en,dress
201,1049,en,dressup
202,105,en,admission
203,1050,en,drill
204,1051,en,drink
205,1052,en,drip
206,1053,en,drive
207,1054,en,driver
208,1055,en,drizzle
209,1056,en,drool
210,1057,en,drop
211,1058,en,droplette
212,1059,en,drought
213,106,en,adorable
214,1060,en,drown
215,1061,en,drowsy
216,1062,en,drug
217,1063,en,drumkit
218,1063930,en,mmhmm
219,1063932,en,fluster
220,1063933,en,pant
221,1063934,en,maisonikkoku
222,1064,en,drums
223,1066,en,drunk
224,1067,en,dry
225,1068,en,dubstep
226,1069,en,duck
227,107,en,adore
228,1070,en,duckbilled
229,1071,en,duckface
230,1072,en,dude
231,1073,en,duet
232,1074,en,duh
233,1075,en,dumb
234,1076,en,dumbbells
235,1077,en,dumped
236,1078,en,dumpling
237,1079,en,dune
238,108,en,adult
239,1080,en,dunk
240,1081,en,dunktank
241,1082,en,dusk
242,1083,en,dust
243,1084,en,dwarf
244,1085,en,dyed
245,1086,en,eagle
246,1087,en,ear
247,1088,en,earring
248,1089,en,earth
249,109,en,adventure
250,1090,en,easter
251,1091,en,easy
252,1092,en,eat
253,1093,en,eavesdrop
254,1094,en,eclair
255,1096,en,ecstatic
256,1097,en,edm
257,1098,en,edward
258,1099,en,eek
259,110,en,adventuretime
260,1100,en,eeyore
261,1101,en,egg
262,1102,en,egged
263,1103,en,egginahole
264,1104,en,eggplant
265,1105,en,eggroll
266,1106,en,egypt
267,1107,en,eh
268,1108,en,eiffel
269,1108865,en,ya
270,1108870,en,:)
271,1108884,en,...
272,1108885,en,hımmm
273,1108901,en,hey
274,1109,en,eighth
275,1110,en,eighthnote
276,1111,en,electric
277,1112,en,electricguitar
278,1113,en,electrician
279,1114,en,electrocute
280,1115,en,elegant
281,1116,en,elementary
282,1117,en,elephant
283,1118,en,elf
284,1119,en,elk
285,112,en,aerobics
286,1120,en,elmo
287,1121,en,elvis
288,112106,en,jom
289,112107,en,mari
290,112108,en,fuiyoh
291,112109,en,sedap
292,112110,en,bagus
293,112111,en,hebat
294,112112,en,aiyah
295,112113,en,aiyoh
296,112114,en,marah
297,112115,en,berang
298,112116,en,arrr
299,112117,en,geram
300,112118,en,ahboh
301,112119,en,diam
302,112120,en,senyap
303,112121,en,tiam
304,112122,en,apa
305,112123,en,apani
306,112124,en,kns
307,112125,en,cantik
308,112126,en,comel
309,112127,en,swee
310,112128,en,yumcha
311,112129,en,minum
312,112130,en,yamcah
313,112131,en,cincai
314,112132,en,saja
315,112133,en,apapa
316,112134,en,je
317,112135,en,sian
318,112136,en,xian
319,112137,en,sien
320,112138,en,ai
321,112139,en,boleh
322,112140,en,geli
323,112141,en,gaotim
324,112142,en,sudah
325,112143,en,invite
326,112144,en,bojio
327,112145,en,bo
328,112146,en,jio
329,112147,en,takajak
330,112148,en,last
331,112149,en,rilek
332,112150,en,ilek
333,112151,en,but
334,112152,en,abuden
335,112153,en,offwork
336,112154,en,panggang
337,112155,en,pang
338,112156,en,shut
339,112157,en,kena
340,112158,en,otw
341,112159,en,walaoeh
342,112160,en,alamak
343,112161,en,great
344,112162,en,sui
345,112163,en,steady
346,112164,en,okie
347,112165,en,shag
348,112166,en,letih
349,112167,en,penat
350,112168,en,phewwit
351,112169,en,howdy
352,112171,en,autograph
353,112173,en,ringing
354,112174,en,print
355,112175,en,bribe
356,112176,en,forensics
357,112177,en,bible
358,1121807,en,letitgo
359,1121808,en,attackontitan
360,1121809,en,swoop
361,1121810,en,titan
362,1121811,en,goblin
363,1121812,en,bighero6
364,1122,en,email
365,1123,en,embarrass
366,1124,en,embrace
367,1125,en,emergency
368,1126,en,emo
369,1127,en,emoji
370,1128,en,emoticon
371,1129,en,empowered
372,1130,en,empty
373,1131,en,enchilada
374,1132,en,encourage
375,1133,en,end
376,1134,en,enemy
377,1135,en,energy
378,1137,en,engaged
379,1138,en,engineer
380,1139,en,england
381,114,en,afro
382,1140,en,english
383,1141,en,enjoy
384,1141724,en,giggity
385,1141725,en,familyguy
386,1141726,en,popular
387,1142,en,enough
388,1143,en,entertain
389,1144,en,enthralled
390,1145,en,entrance
391,1146,en,envy
392,1147,en,epic
393,1148,en,erase
394,1149,en,eric
395,1150,en,ernie
396,1151,en,error
397,1152,en,eruption
398,1153,en,escargot
399,1154,en,eskimo
400,1155,en,espresso
401,1156,en,euro
402,1157,en,europe
403,1158,en,eustace
404,1159,en,evergreen
405,1160,en,evil
406,1161,en,ew
407,1162,en,ex
408,1163,en,exactly
409,1164,en,exasperate
410,1165,en,excellent
411,1166,en,exchange
412,1167,en,excite
413,1167525,en,unwanted
414,1167526,en,obey
415,1168,en,excuse
416,1169,en,exercise
417,117,en,again
418,1170,en,exhaust
419,1171,en,expensive
420,1172,en,experiment
421,1173,en,explain
422,117346,en,walao
423,117347,en,yamcha
424,117348,en,hai
425,117349,en,dah
426,117352,en,monk
427,1174,en,explore
428,1175,en,explosion
429,1176,en,expose
430,1177,en,eye
431,1178,en,eyebrow
432,1179,en,eyelash
433,118,en,agent
434,1180,en,eyepatch
435,1181,en,eyepopping
436,1182,en,eyeroll
437,1183,en,f1
438,1184,en,fabulous
439,1185,en,face
440,1186,en,facemelt
441,1187,en,facepalm
442,1188,en,facial
443,1189,en,fail
444,119,en,aggravated
445,1190,en,faint
446,1191,en,fair
447,1192,en,fairy
448,1193,en,fajita
449,1194,en,fake
450,1195,en,fall
451,1196,en,fam
452,1196647,en,unplug
453,1196648,en,chavo
454,1196649,en,foul
455,1196650,en,moustache
456,1196651,en,sesamestreet
457,1196652,en,zoe
458,1196653,en,mofy
459,1196654,en,utano
460,1197,en,family
461,1198,en,fan
462,1199,en,fancy
463,12,en,:(
464,120,en,aggression
465,1200,en,fantastic
466,1201,en,fantasy
467,1202,en,farm
468,1203,en,farmer
469,1204,en,fart
470,1205,en,fashion
471,1206,en,fashiongirls
472,1207,en,fashionista
473,1208,en,fasho
474,1209,en,fastfood
475,121,en,aghast
476,1210,en,fastforward
477,1211,en,fat
478,1212,en,faucet
479,1213,en,fav
480,1214,en,fax
481,1215,en,FBI
482,1216,en,fear
483,1217,en,feast
484,1218,en,feather
485,1219,en,fedora
486,122,en,agitated
487,1220,en,feed
488,1221,en,feet
489,1222,en,feign
490,1223,en,fence
491,1224,en,fennec
492,1225,en,ferris
493,1226,en,ferry
494,1227,en,festival
495,1228,en,fetal
496,1229,en,fetch
497,123,en,agony
498,1230,en,fever
499,1231,en,fiance
500,1232,en,fierce
501,1233,en,fight
502,1234,en,figures
503,1235,en,figureskate
504,1236,en,file
505,1237,en,film
506,1238,en,fin
507,1239,en,finals
508,124,en,agree
509,1240,en,finance
510,1241,en,find
511,1242,en,findingnemo
512,1243,en,fine
513,1244,en,finger
514,1245,en,fingercross
515,1246,en,fingers
516,1247,en,finish
517,1248,en,finn
518,1249,en,fionna
519,125,en,ah
520,1250,en,fire
521,1251,en,fireball
522,1252,en,firecracker
523,1253,en,fired
524,1254,en,fireman
525,1255,en,fireplace
526,1256,en,firetruck
527,1257,en,fireworks
528,1258,en,firstaid
529,126,en,aha
530,1260,en,fish
531,1261,en,fishandchips
532,1262,en,fishcake
533,1262471,en,0:)
534,1262472,en,:*
535,1262473,en,B-)
536,1262474,en,:P
537,1262475,en,;)
538,1262476,en,header
539,1262477,en,intercept
540,1262478,en,forearm
541,1262479,en,quarterback
542,1262480,en,fumble
543,1262481,en,kicker
544,1262482,en,receive
545,1262483,en,round
546,1262484,en,puck
547,1262485,en,iiwaken
548,1262486,en,remind
549,1262487,en,nisemonogatari
550,1262488,en,hatsune
551,1263,en,fisherman
552,1264,en,fishing
553,1265,en,fishnet
554,1266,en,fist
555,1267,en,fistbump
556,1268,en,fitness
557,1269,en,five
558,127,en,ahem
559,1270,en,fivestars
560,1271,en,FIX
561,1272,en,flag
562,1273,en,flame
563,1274,en,flamingo
564,1275,en,flan
565,1276,en,flash
566,1277,en,flashlight
567,1278,en,flask
568,1279,en,flat
569,128,en,aim
570,1280,en,flattering
571,1281,en,flee
572,1282,en,flex
573,1283,en,flick
574,1284,en,flipflop
575,1285,en,flippers
576,1286,en,flirt
577,1287,en,float
578,1288,en,floaty
579,1289,en,floor
580,129,en,air
581,1290,en,flop
582,1291,en,floppydisk
583,1292,en,flounder
584,1293,en,flower
585,1294,en,flowergirl
586,1295,en,flu
587,1296,en,flume
588,1297,en,flush
589,1298,en,flute
590,1299,en,fly
591,13,en,:'(
592,130,en,airforce
593,1300,en,fml
594,1301,en,focus
595,1302,en,fofo
596,1304,en,fold
597,1305,en,folder
598,1307,en,follow
599,1308,en,fomo
600,1309,en,food
601,131,en,airhockey
602,1310,en,foodie
603,1311,en,foodpics
604,1312,en,fool
605,1313,en,foosball
606,1314,en,football
607,1315,en,footprint
608,1316,en,footsie
609,1317,en,forbidden
610,1318,en,force
611,1319,en,forest
612,132,en,airplane
613,1320,en,forever
614,1321,en,forget
615,1322,en,forgive
616,1323,en,fork
617,132339,en,dorm
618,132340,en,dining
619,132341,en,coffeetable
620,132342,en,shutters
621,132343,en,classroom
622,132344,en,cupboard
623,132345,en,frenchpress
624,132346,en,starstruck
625,132347,en,dolmas
626,132348,en,hummus
627,132349,en,pistachio
628,132350,en,tortilla
629,132351,en,kuwait
630,132352,en,syria
631,132353,en,lebanon
632,132354,en,uae
633,132355,en,qatar
634,132356,en,sudan
635,132357,en,somalia
636,132358,en,djibouti
637,132359,en,algeria
638,132360,en,jordan
639,132361,en,moroccan
640,132362,en,oman
641,132363,en,palestine
642,132364,en,yemen
643,132366,en,tunisia
644,132367,en,saudi
645,132368,en,arabia
646,132369,en,snout
647,132389,en,suv
648,132390,en,sidecar
649,132391,en,biplane
650,132392,en,blimp
651,132393,en,trunk
652,132394,en,sunroof
653,132395,en,speed
654,132396,en,brokedown
655,132397,en,funnel
656,132398,en,pedal
657,132399,en,seat
658,1324,en,formal
659,132400,en,ignition
660,132401,en,seatbelt
661,132402,en,rearview
