rowid,p,key
1,b'\x0c\x00\x00\x00\x00\x00\x06\x00\x08\x00\x04\x00\x06\x00\x00\x00\x04\x00\x00\x00\x16\x00\x00\x00timestampWhenAppWasANR\x00\x00',timestampWhenAppWasANR
2,b'\x10\x00\x00\x00\x00\x00\n\x00\x0c\x00\x08\x00\x00\x00\x07\x00\n\x00\x00\x00\x00\x00\x00\x02\x04\x00\x00\x00\x0c\x00\x00\x00crashWhenANR\x00\x00\x00\x00',crashWhenANR
3,b'\x0c\x00\x00\x00\x00\x00\x06\x00\x08\x00\x04\x00\x06\x00\x00\x00\x04\x00\x00\x00\x15\x00\x00\x00lastFiveTracesWhenANR\x00\x00\x00',lastFiveTracesWhenANR
4,"b'\x1c\x00\x00\x00\x00\x00\x16\x00\x10\x00\x08\x00\x00\x00\x07\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x0c\x00\x16\x00\x00\x00\x00\x00\x00\x01,\x00\x00\x00\x04\x00\x00\x00\x1f\x00\x00\x00TSAF\x03\x00\x04\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00\x0810.78.6.0\x00\x00*\x00\x00\x00com.snapchat.SCBetaUpdater.lastBetaVersion\x00\x00'",com.snapchat.SCBetaUpdater.lastBetaVersion
5,b'\x0c\x00\x00\x00\x00\x00\x06\x00\x08\x00\x04\x00\x06\x00\x00\x00\x04\x00\x00\x00\x1e\x00\x00\x00SCAuthFlowExperimentGroupKey73\x00\x00',SCAuthFlowExperimentGroupKey73
6,b'\x14\x00\x00\x00\x00\x00\x0e\x00\x18\x00\x08\x00\x00\x00\x07\x00\x00\x00\x0c\x00\x0e\x00\x00\x00\x00\x00\x00\x03\x10\x00\x00\x00Z\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x14\x00\x00\x00SCAuthStudySeedKey73\x00\x00\x00\x00',SCAuthStudySeedKey73
7,b'\x10\x00\x00\x00\x00\x00\n\x00\x0c\x00\x08\x00\x00\x00\x07\x00\n\x00\x00\x00\x00\x00\x00\x02\x04\x00\x00\x003\x00\x00\x00com.snapchat.SCBetaUpdater.userCurrentlyUpdatingApp\x00',com.snapchat.SCBetaUpdater.userCurrentlyUpdatingApp
8,b'\x14\x00\x00\x00\x00\x00\x0e\x00\x18\x00\x08\x00\x00\x00\x07\x00\x00\x00\x0c\x00\x0e\x00\x00\x00\x00\x00\x00\x03\x10\x00\x00\x00\x01\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x14\x00\x00\x00DidManuallyTerminate\x00\x00\x00\x00',DidManuallyTerminate
9,b'\x10\x00\x00\x00\x00\x00\n\x00\x0c\x00\x08\x00\x00\x00\x07\x00\n\x00\x00\x00\x00\x00\x00\x02\x04\x00\x00\x00\x1e\x00\x00\x00kSCDidRunTerminationHandlerKey\x00\x00',kSCDidRunTerminationHandlerKey
10,b'\x1c\x00\x00\x00\x00\x00\x16\x00\x10\x00\x08\x00\x00\x00\x07\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x0c\x00\x16\x00\x00\x00\x00\x00\x00\x01(\x00\x00\x00\x04\x00\x00\x00\x1c\x00\x00\x00TSAF\x03\x00\x04\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00\x0813.4.1\x00\x10\x00\x00\x00currentOSVersion\x00\x00\x00\x00',currentOSVersion
