Z_PK,Z_ENT,Z_OPT,ZTRANSITIONFROMTYPE,ZTRANSITIONTOTYPE,ZDATE
1,18,1,0,2,608498316.851401
2,18,1,2,1,608499069.307316
3,18,1,1,2,608499169.998184
4,18,1,2,1,608511727.838267
5,18,1,1,2,608511856.494407
6,18,1,2,1,608519580.727062
7,18,1,1,2,608519937.577582
8,18,1,2,1,608558188.065082
9,18,1,1,2,608558235.578541
10,18,1,2,1,608564866.386389
11,18,1,1,2,608564898.324467
12,18,1,2,1,608564922.733776
13,18,1,1,2,608564944.843463
14,18,1,2,1,608565166.329098
15,18,1,1,2,608565277.822004
16,18,1,2,1,608596866.022352
17,18,1,1,2,608596908.434553
18,18,1,2,1,608597650.576867
19,18,1,1,2,608597653.784305
20,18,1,2,1,608600576.840445
21,18,1,1,2,608600679.125701
22,18,1,2,1,608600736.365133
23,18,1,1,2,608600837.026579
24,18,1,2,1,608600994.732197
25,18,1,1,2,608601027.961195
26,18,1,2,1,608601242.376247
27,18,1,1,2,608601290.573847
28,18,1,2,1,608602330.712917
29,18,1,1,2,608602366.575202
30,18,1,2,1,608606515.80115
31,18,1,1,2,608606528.238192
32,18,1,2,1,608640929.113438
33,18,1,1,2,608640952.478675
34,18,1,2,1,608646202.598183
35,18,1,1,2,608646291.419691
36,18,1,2,1,608647306.019528
37,18,1,1,2,608647471.951963
38,18,1,2,1,608647492.131001
39,18,1,1,2,608648092.700978
40,18,1,2,1,608648420.173108
41,18,1,1,2,608648614.883489
42,18,1,2,1,608648663.538511
43,18,1,1,2,608648681.466237
44,18,1,2,1,608648742.614739
45,18,1,1,2,608649059.561273
46,18,1,2,1,608649085.182374
47,18,1,1,2,608649088.371749
48,18,1,2,1,608649102.369286
49,18,1,1,2,608649184.096577
50,18,1,2,1,608649218.227092
51,18,1,1,2,608649309.259666
52,18,1,2,1,608649982.247
53,18,1,1,2,608650010.789879
54,18,1,2,1,608653655.358383
55,18,1,1,2,608653709.75687
56,18,1,2,1,608653783.354022
57,18,1,1,2,608653805.120153
58,18,1,2,1,608655012.0106
59,18,1,1,2,608655029.802331
60,18,1,2,1,608655186.409842
61,18,1,1,2,608655278.571091
62,18,1,2,1,608655301.623705
63,18,1,1,2,608655393.147432
64,18,1,2,1,608659025.064894
65,18,1,1,2,608659205.146354
66,18,1,2,1,608659405.736929
67,18,1,1,2,608659718.979465
68,18,1,2,1,608659761.70146
69,18,1,1,2,608659861.555566
70,18,1,2,1,608659909.249126
71,18,1,1,2,608660025.45504
72,18,1,2,1,608660175.622725
73,18,1,1,2,608660728.206244
74,18,1,2,1,608660799.092233
75,18,1,1,2,608660822.456275
76,18,1,2,1,608663582.471226
77,18,1,1,2,608663615.598005
78,18,1,2,1,608667670.226042
79,18,1,1,2,608667809.237527
80,18,1,2,1,608681661.602052
81,18,1,1,2,608681827.166218
82,18,1,2,1,608730112.213055
83,18,1,1,2,608730137.404879
84,18,1,2,1,608730245.363276
85,18,1,1,2,608730259.167429
86,18,1,2,1,608730384.317755
87,18,1,1,2,608730466.297855
88,18,1,2,1,608730954.525051
89,18,1,1,2,608730991.929659
90,18,1,2,1,608731818.871158
91,18,1,1,2,608731916.678312
92,18,1,2,1,608732093.457065
93,18,1,1,2,608732189.729431
94,18,1,2,1,608744012.917394
95,18,1,1,2,608744298.705978
96,18,1,2,1,608744317.592813
97,18,1,1,2,608744381.219055
98,18,1,2,1,608744401.148764
99,18,1,1,2,608744466.439577
100,18,1,2,1,608744504.861436
101,18,1,1,2,608744530.762918
102,18,1,2,1,608744537.178987
103,18,1,1,2,608744540.389621
104,18,1,0,2,608745220.76034
