Z_ENT,Z_NAME,Z_SUPER,Z_MAX
1,RTAddressMO,0,0
2,RTCLLocationMO,0,254333
3,RTDeviceMO,0,0
4,RTEntityDeletionRequestMO,0,0
5,RTEventLocationIdentifierMO,0,0
6,RTEventModelUserInteractionMO,0,0
7,RTFingerprintMO,0,702
8,RTHintMO,0,493
9,RTLearnedLocationOfInterestMO,0,0
10,RTLearnedLocationOfInterestTransitionMO,0,0
11,RTLearnedLocationOfInterestVisitMO,0,0
12,RTLearnedPlaceMO,0,0
13,RTLearnedTransitionMO,0,0
14,RTLearnedVisitMO,0,0
15,RTLOIHistogramItemMO,0,0
16,RTMapItemExtendedAttributesMO,0,2
17,RTMapItemMO,0,0
18,RTSettledStateTransitionMO,0,104
19,RTVehicleEventHistoryMO,0,0
20,RTVehicleEventMO,0,0
21,RTVisitMO,0,87
22,RTWiFiAccessPointMO,0,29221
