id,sz
1,b'\x01\x00'
2,b'\x01\x00'
3,b'\x01\x00'
4,b'\x01\x00'
5,b'\x01\x00'
6,b'\x01\x00'
7,b'\x01\x00'
8,b'\x01\x00'
9,b'\x02\x00'
10,b'\x01\x00'
11,b'\x01\x00'
12,b'\x01\x00'
13,b'\x02\x00'
14,b'\x01\x00'
15,b'\x02\x00'
16,b'\x01\x00'
17,b'\x01\x00'
18,b'\x01\x00'
19,b'\x01\x00'
20,b'\x02\x00'
21,b'\x01\x00'
22,b'\x01\x00'
23,b'\x01\x00'
24,b'\x01\x00'
25,b'\x01\x00'
26,b'\x01\x00'
27,b'\x01\x00'
28,b'\x01\x00'
29,b'\x02\x00'
30,b'\x01\x00'
31,b'\x01\x00'
32,b'\x01\x00'
33,b'\x01\x00'
34,b'\x01\x00'
35,b'\x03\x00'
36,b'\x01\x00'
37,b'\x01\x00'
38,b'\x01\x00'
39,b'\x01\x00'
40,b'\x01\x00'
41,b'\x01\x00'
42,b'\x01\x00'
43,b'\x01\x00'
44,b'\x03\x00'
45,b'\x02\x00'
46,b'\x01\x00'
47,b'\x01\x00'
48,b'\x01\x00'
49,b'\x02\x00'
50,b'\x01\x00'
51,b'\x01\x00'
52,b'\x01\x00'
53,b'\x01\x00'
54,b'\x01\x00'
55,b'\x01\x00'
56,b'\x01\x00'
57,b'\x01\x00'
58,b'\x02\x00'
59,b'\x01\x00'
60,b'\x02\x00'
61,b'\x01\x00'
62,b'\x02\x00'
63,b'\x01\x00'
64,b'\x02\x00'
65,b'\x01\x00'
66,b'\x02\x00'
67,b'\x02\x00'
68,b'\x03\x00'
69,b'\x01\x00'
70,b'\x01\x00'
71,b'\x01\x00'
72,b'\x01\x00'
73,b'\x01\x00'
74,b'\x01\x00'
75,b'\x01\x00'
76,b'\x01\x00'
77,b'\x01\x00'
78,b'\x01\x00'
79,b'\x01\x00'
80,b'\x03\x00'
81,b'\x01\x00'
82,b'\x02\x00'
83,b'\x01\x00'
84,b'\x01\x00'
85,b'\x01\x00'
86,b'\x02\x00'
87,b'\x01\x00'
88,b'\x01\x00'
89,b'\x01\x00'
90,b'\x01\x00'
91,b'\x01\x00'
92,b'\x01\x00'
93,b'\x01\x00'
94,b'\x01\x00'
95,b'\x01\x00'
96,b'\x01\x00'
97,b'\x01\x00'
98,b'\x01\x00'
99,b'\x01\x00'
100,b'\x02\x00'
101,b'\x01\x00'
102,b'\x01\x00'
103,b'\x01\x00'
104,b'\x02\x00'
105,b'\x01\x00'
106,b'\x02\x00'
107,b'\x01\x00'
108,b'\x02\x00'
109,b'\x01\x00'
110,b'\x01\x00'
111,b'\x01\x00'
112,b'\x02\x00'
113,b'\x02\x00'
114,b'\x01\x00'
115,b'\x01\x00'
116,b'\x02\x00'
117,b'\x02\x00'
118,b'\x01\x00'
119,b'\x01\x00'
120,b'\x02\x00'
121,b'\x02\x00'
122,b'\x02\x00'
123,b'\x01\x00'
124,b'\x01\x00'
125,b'\x02\x00'
126,b'\x01\x00'
127,b'\x01\x00'
128,b'\x01\x00'
129,b'\x01\x00'
130,b'\x01\x00'
131,b'\x02\x00'
132,b'\x02\x00'
133,b'\x01\x00'
134,b'\x01\x00'
135,b'\x01\x00'
136,b'\x01\x00'
137,b'\x01\x00'
138,b'\x01\x00'
139,b'\x01\x00'
140,b'\x01\x00'
141,b'\x01\x00'
142,b'\x03\x00'
143,b'\x01\x00'
144,b'\x03\x00'
145,b'\x01\x00'
146,b'\x02\x00'
147,b'\x02\x00'
