Z_PK,Z_ENT,Z_OPT,ZAUTHTYPE,ZBLUETOOTHPAIRINGMETHOD,ZDISCONNECTSAFTERBONDING,ZEMOTEISSMILEY,ZHASMICROPHONE,ZHASMUSICCONTROL,ZHASSPEAKER,ZISCHILDDEVICE,ZISMOBILETRACK,ZISSCALEDEVICE,ZMAXACCESSPOINTS,ZREQUIRESWAKING,ZUSEMEGADUMPFORFWUP,ZUSEMEGADUMPFORVALIDATEPAIR,ZUSESBLUETOOTH,ZWIFIFWUPLOWBATTERYTHRESHOLD,ZDEVICETYPE,ZPRODUCTNAME,ZSUPPORTURL,ZPRODUCTIDS
1,107,44,2,4,0,0,0.0,0,0.0,0.0,0,0,5,0,1,1,1,40,5,Ionic,https://community.fitbit.com/t5/Ionic/bd-p/ionic,b'bplist00\xd4\x01\x02\x03\x04\x05\x06\x07\nX$versionY$archiverT$topX$objects\x12\x00\x01\x86\xa0_\x10\x0fNSKeyedArchiver\xd1\x08\tTroot\x80\x01\xa4\x0b\x0c\x12\x13U$null\xd2\r\x0e\x0f\x11ZNS.objectsV$class\xa1\x10\x80\x02\x80\x03\x10\x1b\xd2\x14\x15\x16\x17Z$classnameX$classesWNSArray\xa2\x16\x18XNSObject\x08\x11\x1a$)27ILQSX^cnuwy{}\x82\x8d\x96\x9e\xa1\x00\x00\x00\x00\x00\x00\x01\x01\x00\x00\x00\x00\x00\x00\x00\x19\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\xaa'
2,107,44,1,2,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,1,0,23,Flex,https://community.fitbit.com/t5/Flex/bd-p/flex,b'bplist00\xd4\x01\x02\x03\x04\x05\x06\x07\nX$versionY$archiverT$topX$objects\x12\x00\x01\x86\xa0_\x10\x0fNSKeyedArchiver\xd1\x08\tTroot\x80\x01\xa4\x0b\x0c\x12\x13U$null\xd2\r\x0e\x0f\x11ZNS.objectsV$class\xa1\x10\x80\x02\x80\x03\x10\x07\xd2\x14\x15\x16\x17Z$classnameX$classesWNSArray\xa2\x16\x18XNSObject\x08\x11\x1a$)27ILQSX^cnuwy{}\x82\x8d\x96\x9e\xa1\x00\x00\x00\x00\x00\x00\x01\x01\x00\x00\x00\x00\x00\x00\x00\x19\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\xaa'
3,107,44,2,1,0,0,0.0,0,0.0,0.0,0,1,0,0,1,1,1,0,9,Aria Air,https://community.fitbit.com/t5/Aria-2/bd-p/aria2,b'bplist00\xd4\x01\x02\x03\x04\x05\x06\x07\nX$versionY$archiverT$topX$objects\x12\x00\x01\x86\xa0_\x10\x0fNSKeyedArchiver\xd1\x08\tTroot\x80\x01\xa4\x0b\x0c\x12\x13U$null\xd2\r\x0e\x0f\x11ZNS.objectsV$class\xa1\x10\x80\x02\x80\x03\x101\xd2\x14\x15\x16\x17Z$classnameX$classesWNSArray\xa2\x16\x18XNSObject\x08\x11\x1a$)27ILQSX^cnuwy{}\x82\x8d\x96\x9e\xa1\x00\x00\x00\x00\x00\x00\x01\x01\x00\x00\x00\x00\x00\x00\x00\x19\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\xaa'
4,107,44,2,4,0,0,0.0,0,0.0,0.0,0,0,0,0,1,1,1,0,6,Inspire HR,https://community.fitbit.com/t5/Inspire-Inspire-HR/bd-p/inspire,"b'bplist00\xd4\x01\x02\x03\x04\x05\x06\x07\nX$versionY$archiverT$topX$objects\x12\x00\x01\x86\xa0_\x10\x0fNSKeyedArchiver\xd1\x08\tTroot\x80\x01\xa4\x0b\x0c\x12\x13U$null\xd2\r\x0e\x0f\x11ZNS.objectsV$class\xa1\x10\x80\x02\x80\x03\x10""\xd2\x14\x15\x16\x17Z$classnameX$classesWNSArray\xa2\x16\x18XNSObject\x08\x11\x1a$)27ILQSX^cnuwy{}\x82\x8d\x96\x9e\xa1\x00\x00\x00\x00\x00\x00\x01\x01\x00\x00\x00\x00\x00\x00\x00\x19\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\xaa'"
5,107,44,2,4,0,0,0.0,0,0.0,0.0,0,0,0,0,1,1,1,0,17,Charge 2,https://community.fitbit.com/t5/Charge-2/bd-p/charge2,b'bplist00\xd4\x01\x02\x03\x04\x05\x06\x07\nX$versionY$archiverT$topX$objects\x12\x00\x01\x86\xa0_\x10\x0fNSKeyedArchiver\xd1\x08\tTroot\x80\x01\xa4\x0b\x0c\x12\x13U$null\xd2\r\x0e\x0f\x11ZNS.objectsV$class\xa1\x10\x80\x02\x80\x03\x10\x16\xd2\x14\x15\x16\x17Z$classnameX$classesWNSArray\xa2\x16\x18XNSObject\x08\x11\x1a$)27ILQSX^cnuwy{}\x82\x8d\x96\x9e\xa1\x00\x00\x00\x00\x00\x00\x01\x01\x00\x00\x00\x00\x00\x00\x00\x19\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\xaa'
6,107,44,2,4,0,0,0.0,0,0.0,0.0,0,0,5,0,1,1,1,40,4,Versa,https://community.fitbit.com/t5/Versa/bd-p/versa,b'bplist00\xd4\x01\x02\x03\x04\x05\x06\x07\nX$versionY$archiverT$topX$objects\x12\x00\x01\x86\xa0_\x10\x0fNSKeyedArchiver\xd1\x08\tTroot\x80\x01\xa4\x0b\x0c\x12\x13U$null\xd2\r\x0e\x0f\x11ZNS.objectsV$class\xa1\x10\x80\x02\x80\x03\x10 \xd2\x14\x15\x16\x17Z$classnameX$classesWNSArray\xa2\x16\x18XNSObject\x08\x11\x1a$)27ILQSX^cnuwy{}\x82\x8d\x96\x9e\xa1\x00\x00\x00\x00\x00\x00\x01\x01\x00\x00\x00\x00\x00\x00\x00\x19\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\xaa'
7,107,44,1,3,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,1,0,25,One,https://community.fitbit.com/t5/One/bd-p/one,b'bplist00\xd4\x01\x02\x03\x04\x05\x06\x07\nX$versionY$archiverT$topX$objects\x12\x00\x01\x86\xa0_\x10\x0fNSKeyedArchiver\xd1\x08\tTroot\x80\x01\xa5\x0b\x0c\x13\x14\x15U$null\xd2\r\x0e\x0f\x12ZNS.objectsV$class\xa2\x10\x11\x80\x02\x80\x03\x80\x04\x10\x05\x10\x06\xd2\x16\x17\x18\x19Z$classnameX$classesWNSArray\xa2\x18\x1aXNSObject\x08\x11\x1a$)27ILQSY_dovy{}\x7f\x81\x83\x88\x93\x9c\xa4\xa7\x00\x00\x00\x00\x00\x00\x01\x01\x00\x00\x00\x00\x00\x00\x00\x1b\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\xb0'
8,107,44,2,4,0,0,0.0,0,0.0,1.0,0,0,0,0,1,1,1,0,8,Ace 2,https://community.fitbit.com/t5/Ace/bd-p/ace,"b""bplist00\xd4\x01\x02\x03\x04\x05\x06\x07\nX$versionY$archiverT$topX$objects\x12\x00\x01\x86\xa0_\x10\x0fNSKeyedArchiver\xd1\x08\tTroot\x80\x01\xa4\x0b\x0c\x12\x13U$null\xd2\r\x0e\x0f\x11ZNS.objectsV$class\xa1\x10\x80\x02\x80\x03\x10'\xd2\x14\x15\x16\x17Z$classnameX$classesWNSArray\xa2\x16\x18XNSObject\x08\x11\x1a$)27ILQSX^cnuwy{}\x82\x8d\x96\x9e\xa1\x00\x00\x00\x00\x00\x00\x01\x01\x00\x00\x00\x00\x00\x00\x00\x19\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\xaa"""
9,107,44,2,4,0,0,0.0,0,0.0,0.0,0,0,0,0,1,1,1,0,1,Charge 4,https://community.fitbit.com/t5/Charge-4/bd-p/charge4,b'bplist00\xd4\x01\x02\x03\x04\x05\x06\x07\nX$versionY$archiverT$topX$objects\x12\x00\x01\x86\xa0_\x10\x0fNSKeyedArchiver\xd1\x08\tTroot\x80\x01\xa4\x0b\x0c\x12\x13U$null\xd2\r\x0e\x0f\x11ZNS.objectsV$class\xa1\x10\x80\x02\x80\x03\x100\xd2\x14\x15\x16\x17Z$classnameX$classesWNSArray\xa2\x16\x18XNSObject\x08\x11\x1a$)27ILQSX^cnuwy{}\x82\x8d\x96\x9e\xa1\x00\x00\x00\x00\x00\x00\x01\x01\x00\x00\x00\x00\x00\x00\x00\x19\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\xaa'
10,107,44,2,2,0,0,0.0,0,0.0,0.0,0,0,0,0,1,1,1,0,14,Flex 2,https://community.fitbit.com/t5/Flex-2/bd-p/flex2,b'bplist00\xd4\x01\x02\x03\x04\x05\x06\x07\nX$versionY$archiverT$topX$objects\x12\x00\x01\x86\xa0_\x10\x0fNSKeyedArchiver\xd1\x08\tTroot\x80\x01\xa4\x0b\x0c\x12\x13U$null\xd2\r\x0e\x0f\x11ZNS.objectsV$class\xa1\x10\x80\x02\x80\x03\x10\x18\xd2\x14\x15\x16\x17Z$classnameX$classesWNSArray\xa2\x16\x18XNSObject\x08\x11\x1a$)27ILQSX^cnuwy{}\x82\x8d\x96\x9e\xa1\x00\x00\x00\x00\x00\x00\x01\x01\x00\x00\x00\x00\x00\x00\x00\x19\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\xaa'
