docid,c0time_tag,c1location_tag,c2visual_tag,c3meta_tag
1,"2019,May,Saturday,weekend,afternoon,spring","Fairfax,United States,22152,Moverly Ct,Virginia,Springfield,Cardinal Forest","greens,vegetable,salad,food",Image
2,"2019,May,Wednesday,morning,spring","United States,Wake,North Carolina,Raleigh,E Tryon Rd,27610","plant,palm tree,tree",Image
3,"2019,May,Wednesday,morning,spring","United States,Wake,North Carolina,Raleigh,E Tryon Rd,27610","building,home",Image
4,"2019,May,Wednesday,morning,spring","United States,Wake,North Carolina,Raleigh,E Tryon Rd,27610",robot,Image
5,"2019,May,Wednesday,morning,spring","United States,Wake,North Carolina,Raleigh,E Tryon Rd,27610","drink,lemonade,food,fruit smoothie,smoothie,beverage",Image
6,"2019,May,Wednesday,morning,spring","United States,Wake,North Carolina,Raleigh,E Tryon Rd,27610",bling,Image
7,"2019,May,Wednesday,morning,spring","United States,Wake,North Carolina,Raleigh,E Tryon Rd,27610","car,automobile",Image
8,"2019,May,Wednesday,morning,spring","United States,Wake,North Carolina,Cary,Tryon Woods Dr,27518","store,shop,restaurant",Image
9,"2019,May,Tuesday,midday,spring","United States,Wake,North Carolina,Raleigh,27603,Durham Dr",camera,Image
10,"2020,February,Thursday,night,night time,winter","United States,Wake,North Carolina,Holly Springs,Sweet Vista Ln,Twelve Oaks,27540","cat,dog,animal",Image
11,"2019,May,Tuesday,morning,spring","United States,Wake,North Carolina,27529,Garner,Cabela Dr","restaurant,store,motel,shop,hotel",Image
12,"2020,April,Thursday,morning,spring","United States,Wake,North Carolina,Holly Springs,Sweet Maple Ct,Twelve Oaks,27540","smartphone,monitor",Image
