_id,bundle_identifier,namespace,key,value
1,net.kortina.labs.Venmo,firebase:__FIRAPP_DEFAULT,enable_holler_7_45_plus,b'true'
2,net.kortina.labs.Venmo,firebase:__FIRAPP_DEFAULT,abt_recovery,b'appopen'
3,net.kortina.labs.Venmo,firebase:__FIRAPP_DEFAULT,enable_direct_friends_rule,b'false'
4,net.kortina.labs.Venmo,firebase:__FIRAPP_DEFAULT,abt_cfpb_fee,b'show_fees'
5,net.kortina.labs.Venmo,firebase:__FIRAPP_DEFAULT,enable_venmo_rewards,b'true'
6,net.kortina.labs.Venmo,firebase:__FIRAPP_DEFAULT,abt_privacy_carousel,b'yes'
7,net.kortina.labs.Venmo,firebase:__FIRAPP_DEFAULT,enable_buyer_protection_show_percent,b'true'
8,net.kortina.labs.Venmo,firebase:__FIRAPP_DEFAULT,enable_act_swtchr,b'false'
9,net.kortina.labs.Venmo,firebase:__FIRAPP_DEFAULT,enable_business_profile_search,b'false'
10,net.kortina.labs.Venmo,firebase:__FIRAPP_DEFAULT,quasi_cash_prompt_limit,b'10'
11,net.kortina.labs.Venmo,firebase:__FIRAPP_DEFAULT,rc_contactsync_interval_days,b'28'
12,net.kortina.labs.Venmo,firebase:__FIRAPP_DEFAULT,notify_pre_oct_feature,b'false'
13,net.kortina.labs.Venmo,firebase:__FIRAPP_DEFAULT,abt_vc_reloads,b'control'
14,net.kortina.labs.Venmo,firebase:__FIRAPP_DEFAULT,abt_enabled_indebted_alert,b''
15,net.kortina.labs.Venmo,firebase:__FIRAPP_DEFAULT,enable_rainbow_card,b'false'
16,net.kortina.labs.Venmo,firebase:__FIRAPP_DEFAULT,as2_hermes_onboarding_copy,b'true'
17,net.kortina.labs.Venmo,firebase:__FIRAPP_DEFAULT,disable_card_shortened_cip,b'false'
18,net.kortina.labs.Venmo,firebase:__FIRAPP_DEFAULT,abt_buyer_protection,b'no_fee_amt'
19,net.kortina.labs.Venmo,firebase:__FIRAPP_DEFAULT,enable_business_profile_buyers_view,b'false'
20,net.kortina.labs.Venmo,firebase:__FIRAPP_DEFAULT,enable_horizontal_venmoji_picker,b'false'
21,net.kortina.labs.Venmo,firebase:__FIRAPP_DEFAULT,enable_prepaid_card_restriction,b'false'
22,net.kortina.labs.Venmo,firebase:__FIRAPP_DEFAULT,enable_pwv_hermes,b'true'
23,net.kortina.labs.Venmo,firebase:__FIRAPP_DEFAULT,abt_pwu_four_digit,b'control'
24,net.kortina.labs.Venmo,firebase:__FIRAPP_DEFAULT,one_touch_consent_default,b'false'
25,net.kortina.labs.Venmo,firebase:__FIRAPP_DEFAULT,enable_bitmoji,b'true'
26,net.kortina.labs.Venmo,firebase:__FIRAPP_DEFAULT,venmo_rewards_onboarding_merchants_info,"b'{""iOS_imageURL@1x"":""https://d1v6x81qdeozhc.cloudfront.net/static/assets/rewards/iOS/merchant-bubbles@1x-e6a55a81a70ccf1b33f4276611f2e5b3.png"",""iOS_imageURL@2x"":""https://d1v6x81qdeozhc.cloudfront.net/static/assets/rewards/iOS/merchant-bubbles@2x-197d5005626573e2ce3113944e51f7c2.png"",""iOS_imageURL@3x"":""https://d1v6x81qdeozhc.cloudfront.net/static/assets/rewards/iOS/merchant-bubbles@3x-5d0bbfe2008ac42a6d6db71b21eb2854.png"",""android_image_url@mdpi"":""https://d1v6x81qdeozhc.cloudfront.net/static/assets/rewards/Android/mdpi/merchant-bubbles-e6a55a81a70ccf1b33f4276611f2e5b3.png"",""android_image_url@hdpi"":""https://d1v6x81qdeozhc.cloudfront.net/static/assets/rewards/Android/hdpi/merchant-bubbles-5b4f451b0abd2c422a2a56bd35610a23.png"",""android_image_url@xhdpi"":""https://d1v6x81qdeozhc.cloudfront.net/static/assets/rewards/Android/xhdpi/merchant-bubbles-197d5005626573e2ce3113944e51f7c2.png"",""android_image_url@xxhdpi"":""https://d1v6x81qdeozhc.cloudfront.net/static/assets/rewards/Android/xxhdpi/merchant-bubbles-5d0bbfe2008ac42a6d6db71b21eb2854.png"",""android_image_url@xxxhdpi"":""https://d1v6x81qdeozhc.cloudfront.net/static/assets/rewards/Android/xxxhdpi/merchant-bubbles-1f1669a9ac9430245d945260390a5285.png"",""accessibilityLabel"":""Sam\'s Club, Macy\'s, Papa John\'s, Wendy\'s, Dunkin\', Sephora, Chevron with Techron, And Surprise Offers, Powered by Dosh""}'"
27,net.kortina.labs.Venmo,firebase:__FIRAPP_DEFAULT,abt_cip_sign_up,b''
28,net.kortina.labs.Venmo,firebase:__FIRAPP_DEFAULT,buyer_protection_info,"b'{""title"": ""Purchase with peace of mind on Venmo"", ""title_noProtection"": ""Paying your friends"", ""title_Protection"": ""Paying for a purchase"", ""desc_noProtection"": ""No fee"", ""desc_Protection"": ""Refund Support"", ""no_fee"": """",  ""show_percent"": true, ""eligible_items"": ""Learn about Refund Support"", ""buyer_description"": ""%@"", ""buyer_description_tap"": ""Learn more about Refund Support and eligible items."", ""show_pay_button_fee_amount"": true, ""show_new_tag"": true}'"
29,net.kortina.labs.Venmo,firebase:__FIRAPP_DEFAULT,pwv_one_touch_enabled,b'false'
30,net.kortina.labs.Venmo,firebase:__FIRAPP_DEFAULT,abt_onboarding_add_fi,b'control'
31,net.kortina.labs.Venmo,firebase:__FIRAPP_DEFAULT,stop_venmo_card_release,b'false'
32,net.kortina.labs.Venmo,firebase:__FIRAPP_DEFAULT,enable_native_mfa,b'true'
33,net.kortina.labs.Venmo,firebase:__FIRAPP_DEFAULT,enable_balance_upsell,b'true'
34,net.kortina.labs.Venmo,firebase:__FIRAPP_DEFAULT,enable_direct_deposit,b'true'
35,net.kortina.labs.Venmo,firebase:__FIRAPP_DEFAULT,goods_services_eligible_amount,b'50'
36,net.kortina.labs.Venmo,firebase:__FIRAPP_DEFAULT,pwv_one_touch,b'false'
37,net.kortina.labs.Venmo,firebase:__FIRAPP_DEFAULT,enable_amex_split_bill,b'true'
38,net.kortina.labs.Venmo,firebase:__FIRAPP_DEFAULT,enable_geolocation_737_plus,b'true'
39,net.kortina.labs.Venmo,firebase:__FIRAPP_DEFAULT,abt_cfpb_fee_v2,b'control'
40,net.kortina.labs.Venmo,firebase:__FIRAPP_DEFAULT,enable_cip_in_settings,b'true'
41,net.kortina.labs.Venmo,firebase:__FIRAPP_DEFAULT,enable_internal_transfer,b'false'
42,net.kortina.labs.Venmo,firebase:__FIRAPP_DEFAULT,enable_pwv_holiday_onboarding,b'false'
43,net.kortina.labs.Venmo,firebase:__FIRAPP_DEFAULT,abt_vc_auto_complete,b'auto_complete'
44,net.kortina.labs.Venmo,firebase:__FIRAPP_DEFAULT,enable_goods_services,b'false'
45,net.kortina.labs.Venmo,firebase:__FIRAPP_DEFAULT,enable_holler,b'false'
46,net.kortina.labs.Venmo,firebase:__FIRAPP_DEFAULT,enable_quasi_cash,b'false'
47,net.kortina.labs.Venmo,firebase:__FIRAPP_DEFAULT,hermes_ramp_up_completed,b'true'
48,net.kortina.labs.Venmo,firebase:__FIRAPP_DEFAULT,platform_controls_default_funding_source_to_peers,b'false'
49,net.kortina.labs.Venmo,firebase:__FIRAPP_DEFAULT,enable_amex_send_money,b'false'
50,net.kortina.labs.Venmo,firebase:__FIRAPP_DEFAULT,abt_navigation,b'control'
51,net.kortina.labs.Venmo,firebase:__FIRAPP_DEFAULT,enable_bt_mobile_web,b'true'
