key,value,section
com.zoom.us.has.delete.indexdb.option,1,mm_has_delete_index_db
com.zoom.us.has.index.contact.option,3,mm_has_index_contact
vvpd8kw5thma4s4x_fzclw@xmpp.zoom.us,2097216,mm_web_options2
vvpd8kw5thma4s4x_fzclw@xmpp.zoom.us,5472768,mm_web_options3
key_mm_last_check_im_metrics_status,1586222329,mm
mm_client_resource_key,_715237ed94D91,mm_client_resource
com.zoom.us.blockusers.state,1,mm_blocked_users
com.zoom.us.blockusers.version,-1,mm_blocked_users
key_mm_muc_version_fetch_time,1587038916,mm
mmgrouphash,-1,mm
com.zoom.us.ps.dndnow,1,mm_ps_dndnow
com.zoom.us.ps.version.dndnow,-1,mm_ps_dndnow
com.zoom.us.ps.snooze,1,mm_ps_snooze
com.zoom.us.ps.version.snooze,-1,mm_ps_snooze
com.zoom.us.ps.recentchat,0,mm_ps_recentchat
com.zoom.us.recentchat.option,1,mm_default_recent_chat_option
com.zoom.us.ps.persons,1,mm_ps_persons
com.zoom.us.ps.version.persons,-1,mm_ps_persons
com.zoom.us.ps.dnd,1,mm_ps_dnd
com.zoom.us.ps.version.dnd,-1,mm_ps_dnd
com.zoom.us.ps.in_call,1,mm_ps_in_call
com.zoom.us.ps.version.in_call,-1,mm_ps_in_call
com.zoom.us.ps.overallconfig,1,mm_ps_overallconfig
com.zoom.us.ps.version.overallconfig,-1,mm_ps_overallconfig
com.zoom.us.ps.starsession,0,mm_ps_starsession
com.zoom.us.ps.version.starsession,1,mm_ps_starsession
com.zoom.us.ps.mucnotify,1,mm_ps_mucnotify
com.zoom.us.ps.version.mucnotify,-1,mm_ps_mucnotify
com.zoom.us.ps.comment,1,mm_ps_comment
com.zoom.us.ps.version.comment,-1,mm_ps_comment
com.zoom.us.ps.hintline,1,mm_ps_hintline
com.zoom.us.ps.version.hintline,-1,mm_ps_hintline
com.zoom.us.ps.channelunreadbadge,1,mm_ps_channelunreadbadge
com.zoom.us.ps.version.channelunreadbadge,-1,mm_ps_channelunreadbadge
com.zoom.us.ps.unreadbadge,1,mm_ps_unreadbadge
com.zoom.us.ps.version.unreadbadge,-1,mm_ps_unreadbadge
com.zoom.us.ps.unreadpos,1,mm_ps_unreadpos
com.zoom.us.ps.version.unreadpos,-1,mm_ps_unreadpos
com.zoom.us.ps.keywords,1,mm_ps_keywords
com.zoom.us.ps.version.keywords,-1,mm_ps_keywords
com.zoom.us.ps.starsession,1,mm_ps_starsession
com.zoom.us.savedsession.state,1,mm_session_savedsession
com.zoom.us.mark.unread.version,-1,mm_mark_unread
com.zoom.us.privatestickers.state,1,mm_private_stickers
