object_id,source_id,object_code,sid,version,deleted
15673,5,102,B2478526-E0EE-4069-A6E2-331535EC9E68,2.0,0
15674,5,102,B2478526-E0EE-4069-A6E2-331535EC9E68,1.0,1
18951,5,102,4C227125-412A-4C64-A56E-DAB9A73B343B,2.0,0
18952,5,102,4C227125-412A-4C64-A56E-DAB9A73B343B,1.0,1
25080,5,102,D8AE96D0-2399-419C-B548-CE55FC5C92F3,2.0,0
25081,5,102,D8AE96D0-2399-419C-B548-CE55FC5C92F3,1.0,1
30372,5,102,5717C75F-140B-4DF9-9D1E-79EB29FA0E58,2.0,0
30373,5,102,5717C75F-140B-4DF9-9D1E-79EB29FA0E58,1.0,1
38329,5,102,70A21AFA-C250-4BED-B583-0B074FD2B531,2.0,0
38330,5,102,70A21AFA-C250-4BED-B583-0B074FD2B531,1.0,1
44915,5,102,C57E6B6C-D3B1-4D6F-941F-A589DDC34C9E,2.0,0
44916,5,102,C57E6B6C-D3B1-4D6F-941F-A589DDC34C9E,1.0,1
