ID,FK_ID,ChildNodeID,value
72308,11313,10103,6
72309,11313,10019,6
72310,11313,11276,6
72311,11313,11454,4
72312,11313,10032,28
72313,11313,10008,8
72314,11313,10017,6
72315,11313,10177,2
72316,11313,10022,24
72317,11313,10057,3
72318,11313,10144,6
72319,11314,10009,1
72320,11314,11972,2
72321,11314,11980,1
72322,11314,10258,1
72323,11314,10657,2
72324,11314,10028,2
72325,11314,11121,1
72326,11314,11971,4
72327,11314,10022,8
72328,11314,11454,2
72329,11314,10008,3
72330,11314,10019,11
72331,11314,10057,3
72332,11314,10866,2
72333,11314,11276,4
72334,11314,10147,2
72335,11314,10032,20
72336,11314,10144,3
72337,11314,10163,2
72338,11314,10070,1
72339,11314,10264,1
72340,11314,10007,2
72341,11314,10130,1
72342,11315,10281,25
72343,11315,10283,75
72344,11316,10032,36
72345,11316,10171,64
72346,11317,11982,2
72347,11317,11972,1
72348,11317,11980,1
72349,11317,10657,2
72350,11317,10028,1
72351,11317,12165,2
72352,11317,10022,5
72353,11317,10063,4
72354,11317,10019,5
72355,11317,10008,1
72356,11317,10057,4
72357,11317,11981,3
72358,11317,12164,1
72359,11317,10062,3
72360,11317,10032,16
72361,11317,10163,1
72362,11317,10144,2
72363,11317,10264,1
72364,11317,10130,1
72365,11317,11983,26
72366,11318,10279,67
72367,11318,10379,33
72368,11319,10279,100
72369,11320,10361,100
72370,11321,10332,3
72371,11321,10383,96
72372,11321,10412,1
72373,11322,10103,14
72374,11322,10009,23
72375,11322,10080,1
72376,11322,10022,9
72377,11322,11276,3
72378,11322,10177,1
72379,11322,10357,9
72380,11322,10190,4
72381,11322,10008,7
72382,11322,10161,3
72383,11322,10019,2
72384,11322,10015,2
72385,11322,10057,1
72386,11322,10032,15
72387,11322,10191,5
72388,11323,11985,2
72389,11323,11972,1
72390,11323,10657,1
72391,11323,10009,17
72392,11323,10028,1
72393,11323,11121,2
72394,11323,11971,3
72395,11323,10022,3
72396,11323,11987,1
72397,11323,11976,4
72398,11323,10008,2
72399,11323,10161,1
72400,11323,10057,2
72401,11323,11276,2
72402,11323,10019,5
72403,11323,10147,1
72404,11323,10032,12
72405,11323,10144,1
72406,11323,10163,1
