ID,timestamp,timestampLogged,BBDate,ConnStates_0,ConnStates_1,ConnStates_2,LogDuration,SeqNum
25307,1586913830.919608,1586914239.3456693,1586913801.714,18071,0,0,18071.0,1
25308,1586913838.645608,1586914239.3579273,1586913809.44,253121,0,0,253121.0,4
25309,1586913838.650608,1586914239.3652291,1586913809.445,177,0,0,177.0,5
25310,1586913901.0626082,1586914239.3784213,1586913871.857,2044891,0,0,2044891.0,21
25311,1586913901.066608,1586914239.384387,1586913871.861,136,0,0,136.0,22
25312,1586914088.980608,1586914239.391941,1586914059.775,6156897,0,0,6156897.0,64
25313,1586914088.9836082,1586914239.3950682,1586914059.778,118,0,0,118.0,65
25314,1586914184.5116081,1586914239.402856,1586914155.306,3129928,0,0,3129928.0,98
25315,1586914184.5176082,1586914239.4051502,1586914155.312,202,0,0,202.0,99
25316,1586914238.9716082,1586915060.4231513,1586914209.766,1784148,0,0,1784148.0,121
25317,1586914245.777608,1586915060.4310403,1586914216.572,222825,0,0,222825.0,124
25318,1586914257.189608,1586915060.437056,1586914227.984,373901,0,0,373901.0,128
25319,1586914677.448608,1586915060.4693842,1586914648.243,13769563,0,0,13769563.0,47
25320,1586915034.973608,1586915060.4835744,1586915005.768,11714158,0,0,11714158.0,158
25321,1586915034.9826078,1586915060.4869504,1586915005.777,277,0,0,277.0,159
25322,1586915060.053608,1586915060.4933372,1586915030.848,821444,0,0,821444.0,167
25323,1586915060.059608,1586915607.827929,1586915030.854,220,0,0,220.0,168
25324,1586915165.0286078,1586915607.841835,1586915135.823,3439244,0,0,3439244.0,193
25325,1586915165.032608,1586915607.8482132,1586915135.827,141,0,0,141.0,194
25326,1586915258.954608,1586915607.854967,1586915229.749,3077291,0,0,3077291.0,219
25327,1586915258.959608,1586915607.8599372,1586915229.754,172,0,0,172.0,220
25328,1586915400.922608,1586915607.868308,1586915371.717,4651333,0,0,4651333.0,2
25329,1586915400.933608,1586915607.870474,1586915371.728,371,0,0,371.0,3
25330,1586915584.935608,1586915607.88052,1586915555.73,6028728,0,0,6028728.0,51
25331,1586915584.939608,1586915607.8866472,1586915555.734,122,0,0,122.0,52
25332,1586915619.040608,1586915786.455634,1586915589.835,1117303,0,0,1117303.0,69
25333,1586915655.939608,1586915786.474452,1586915626.734,1208995,0,0,1208995.0,80
25334,1586915682.5576081,1586915786.4809513,1586915653.352,872111,0,0,872111.0,89
25335,1586915682.5616078,1586915786.4828663,1586915653.356,131,0,0,131.0,90
25336,1586915707.757608,1586915786.4873333,1586915678.552,825551,0,0,825551.0,103
25337,1586915707.762608,1586915786.489128,1586915678.557,156,0,0,156.0,104
25338,1586915726.0556078,1586915786.4948392,1586915696.85,599368,0,0,599368.0,110
25339,1586915726.060608,1586915786.499918,1586915696.855,158,0,0,158.0,111
25340,1586915786.078608,1586915786.5073643,1586915756.873,1966471,0,0,1966471.0,127
25341,1586915786.0886078,1586916335.316625,1586915756.883,305,0,0,305.0,128
25342,1586915850.2596078,1586916335.329926,1586915821.054,2102539,0,0,2102539.0,147
25343,1586915850.262608,1586916335.3375483,1586915821.057,86,0,0,86.0,148
25344,1586916047.9186082,1586916335.350702,1586916018.713,6476130,0,0,6476130.0,207
25345,1586916047.9246082,1586916335.358251,1586916018.719,178,0,0,178.0,208
25346,1586916078.8446078,1586916335.361788,1586916049.639,1013087,0,0,1013087.0,215
25347,1586916078.8506079,1586916335.366424,1586916049.645,177,0,0,177.0,216
25348,1586916208.6416082,1586916335.3725553,1586916179.436,4252574,0,0,4252574.0,244
25349,1586916208.6476078,1586916335.3773131,1586916179.442,171,0,0,171.0,245
25350,1586916334.908608,1586916910.9917474,1586916305.703,4136887,0,0,4136887.0,2
25351,1586916347.5116081,1586916910.9962792,1586916318.306,412798,0,0,412798.0,9
25352,1586916567.8906078,1586916911.0337563,1586916538.685,7220603,0,0,7220603.0,60
25353,1586916686.006608,1586916911.0495653,1586916656.801,3870012,0,0,3870012.0,81
25354,1586916686.0116081,1586916911.056405,1586916656.806,146,0,0,146.0,82
25355,1586916734.861608,1586916911.0608482,1586916705.656,1600579,0,0,1600579.0,102
25356,1586916734.8726082,1586916911.0636332,1586916705.667,346,0,0,346.0,103
25357,1586916746.0836082,1586916911.0658052,1586916716.878,367329,0,0,367329.0,107
25358,1586916746.0896082,1586916911.0832202,1586916716.884,176,0,0,176.0,108
25359,1586916910.7526078,1586917237.358473,1586916881.547,5395096,0,0,5395096.0,135
25360,1586916941.855608,1586917237.3764682,1586916912.65,1019005,0,0,1019005.0,145
25361,1586916941.8586082,1586917237.3821511,1586916912.653,106,0,0,106.0,146
25362,1586916979.0486078,1586917237.388792,1586916949.843,1218515,0,0,1218515.0,164
25363,1586916979.0546079,1586917237.394775,1586916949.849,193,0,0,193.0,165
25364,1586917148.860608,1586917237.402617,1586917119.655,5563600,0,0,5563600.0,217
25365,1586917148.863608,1586917237.407398,1586917119.658,86,0,0,86.0,218
25366,1586917152.079608,1586917237.409996,1586917122.874,105390,0,0,105390.0,220
25367,1586917199.847608,1586917237.414135,1586917170.642,1565100,0,0,1565100.0,227
25368,1586917236.9126081,1586917740.9116392,1586917207.707,1214425,0,0,1214425.0,228
25369,1586917361.650608,1586917740.9183192,1586917332.445,4086778,0,0,4086778.0,232
25370,1586917361.656608,1586917740.9248543,1586917332.451,188,0,0,188.0,233
25371,1586917393.847608,1586917740.9285822,1586917364.642,1054729,0,0,1054729.0,238
25372,1586917393.8586082,1586917740.934348,1586917364.653,339,0,0,339.0,239
25373,1586917597.8856082,1586917740.9392762,1586917568.68,6684845,0,0,6684845.0,12
25374,1586917597.894608,1586917740.9450703,1586917568.689,295,0,0,295.0,13
25375,1586917726.678608,1586917740.9565063,1586917697.473,4219559,0,0,4219559.0,65
25376,1586917726.6816082,1586917740.9601383,1586917697.476,87,0,0,87.0,66
25377,1586917740.637608,1586918343.3739772,1586917711.432,457270,0,0,457270.0,71
25378,1586917865.0426078,1586918343.3782182,1586917835.837,4075899,0,0,4075899.0,103
25379,1586917865.047608,1586918343.382317,1586917835.842,158,0,0,158.0,104
25380,1586917958.8986082,1586918343.386788,1586917929.693,3074985,0,0,3074985.0,124
25381,1586917958.9036078,1586918343.390688,1586917929.698,159,0,0,159.0,125
25382,1586918108.8336082,1586918343.3965402,1586918079.628,4912369,0,0,4912369.0,150
25383,1586918108.8456082,1586918343.4000802,1586918079.64,411,0,0,411.0,151
25384,1586918141.8446078,1586918343.404449,1586918112.639,1081204,0,0,1081204.0,157
25385,1586918141.8516078,1586918343.406811,1586918112.646,217,0,0,217.0,158
25386,1586918343.1026082,1586919534.262046,1586918313.897,6593886,0,0,6593886.0,182
25387,1586918764.2146082,1586919534.2849813,1586918735.009,13797412,0,0,13797412.0,6
25388,1586919002.8706079,1586919534.3007212,1586918973.665,7819424,0,0,7819424.0,65
25389,1586919002.873608,1586919534.3039222,1586918973.668,108,0,0,108.0,66
25390,1586919173.880608,1586919534.312138,1586919144.675,5602953,0,0,5602953.0,114
25391,1586919173.8836079,1586919534.32766,1586919144.678,113,0,0,113.0,115
25392,1586919207.8136082,1586919534.339252,1586919178.608,1111685,0,0,1111685.0,123
25393,1586919207.8196082,1586919534.3418112,1586919178.614,197,0,0,197.0,124
25394,1586919533.841608,1586920144.300724,1586919504.636,10681948,0,0,10681948.0,139
25395,1586919600.6876082,1586920144.3194633,1586919571.482,2189905,0,0,2189905.0,152
25396,1586919600.691608,1586920144.326523,1586919571.486,141,0,0,141.0,153
25397,1586919612.591608,1586920144.334489,1586919583.386,389908,0,0,389908.0,155
