ID,timestamp,timestampLogged,BBDate,DeepSleepDuration,Error,EventCode,LightSleepDuration,ML1State,Payload,SleepDisabledSclk,SleepEnableSclk,StateDuration,Version
11492,1586914089.040608,1586914239.3979242,1586914059.835,4198,0,45452,0,0,"{length = 40, bytes = 0x03000000 00000000 9a9645d4 68c847d4 ... 00000000 00000000 }",3561474152,3561330330,4390,3
11493,1586914099.775608,1586914239.3987381,1586914070.57,1700,0,45452,0,1,"{length = 40, bytes = 0x03000000 01286d41 6c1a4cd4 54264dd4 ... 00000000 00000000 }",3561825876,3561757292,2093,3
11494,1586914186.0506082,1586914239.406083,1586914156.845,2627,0,45452,0,0,"{length = 40, bytes = 0x03000000 0020d349 ebe176d4 5e4878d4 ... 00000000 00000000 }",3564652638,3564560875,2801,3
11495,1586914196.499608,1586914239.4066951,1586914167.294,268,0,45452,0,1,"{length = 40, bytes = 0x03000000 01000000 07527dd4 b0817dd4 ... 00000000 00000000 }",3564994992,3564982791,372,3
11496,1586914262.860608,1586915060.4395893,1586914233.655,2605,0,45452,0,0,"{length = 40, bytes = 0x03000000 00000000 d7499dd4 03af9ed4 ... 00000000 00000000 }",3567169283,3567077847,2791,3
11497,1586914274.251608,1586915060.4434543,1586914245.046,2146,0,45452,0,1,"{length = 40, bytes = 0x03000000 01000000 042ca3d4 e560a4d4 ... 00000000 00000000 }",3567542501,3567463428,2413,3
11498,1586914278.098608,1586915060.4470363,1586914248.893,83,0,45452,0,0,"{length = 40, bytes = 0x03000000 00020f00 653aa6d4 274da6d4 ... 00000000 00000000 }",3567668519,3567663717,147,3
11499,1586914288.888608,1586915060.4492002,1586914259.683,8805,0,45452,0,1,"{length = 40, bytes = 0x03000000 013a0100 e992a6d4 3db2abd4 ... 00000000 00000000 }",3568022077,3567686377,10246,3
11500,1586914343.301608,1586915060.4520342,1586914314.096,1231,0,45452,0,0,"{length = 40, bytes = 0x03000000 00000000 8639c6d4 41e6c6d4 ... 00000000 00000000 }",3569804865,3569760646,1350,3
11501,1586914360.651608,1586915060.4525762,1586914331.446,3324,0,45452,30,1,"{length = 40, bytes = 0x03000000 01000000 4a91cdd4 ef92cfd4 ... 1e000000 00000000 }",3570373359,3570241866,4013,3
11502,1586914374.8406081,1586915060.4536052,1586914345.635,4524,0,45452,0,0,"{length = 40, bytes = 0x03000000 00000000 0750d4d4 efaad6d4 ... 00000000 00000000 }",3570838255,3570683911,4711,3
11503,1586914385.2926078,1586915060.454523,1586914356.087,3969,0,45452,92,1,"{length = 40, bytes = 0x03000000 01000000 0f91d9d4 a4e4dbd4 ... 00000000 04000000 }",3571180708,3571028239,4654,3
11504,1586914385.3706079,1586915060.4546561,1586914356.165,0,0,45452,31,0,"{length = 40, bytes = 0x03000000 00000000 a5e4dbd4 a1eedbd4 ... 00000000 00000000 }",3571183265,3571180709,78,3
11505,1586914396.018608,1586915060.4559374,1586914366.813,2348,0,45452,0,1,"{length = 40, bytes = 0x03000000 01000000 13f3dfd4 6c41e1d4 ... 00000000 00000000 }",3571532140,3571446547,2612,3
11506,1586914429.961608,1586915060.4574392,1586914400.756,4624,0,45452,0,0,"{length = 40, bytes = 0x03000000 00ffffff d9d1efd4 8d39f2d4 ... 00000000 00000000 }",3572644237,3572486617,4811,3
