ID,timestamp,cellId,dataActive,dataAttached,dataInd,home,lac,operator,status,subsId
3034,1586805394.579083,,,,4G,,,Google Fi,RegisteredHome,
3035,1586860374.739407,,,,2G,,,Google Fi,RegisteredHome,
3036,1586860375.2650602,,,,2_5G,,,Google Fi,RegisteredHome,
3037,1586860396.378884,,,,4G,,,Google Fi,RegisteredHome,
3038,1586913815.8079672,,,,4G,,,Google Fi,RegisteredHome,
3039,1586913830.448842,,,,4G,,,Google Fi,RegisteredHome,
3040,1586948296.9453282,,,,2G,,,Google Fi,RegisteredHome,
3041,1586948297.5635853,,,,2_5G,,,Google Fi,RegisteredHome,
3042,1586948348.586936,,,,2_5G,,,,RegisteredHome,
3043,1586948348.5872362,,,,2_5G,,,,NotRegistered,
3044,1586948348.601015,,,,None,,,,NotRegistered,
3045,1586948351.104896,,,,None,,,Google Fi,NotRegistered,
3046,1586948351.116506,,,,None,,,,NotRegistered,
3047,1586948351.1166992,,,,None,,,Google Fi,NotRegistered,
3048,1586948351.1168413,,,,None,,,Google Fi,RegisteredHome,
3049,1586948351.1180482,,,,2_5G,,,Google Fi,RegisteredHome,
3050,1586948403.0474281,,,,4G,,,Google Fi,RegisteredHome,
3051,1586948432.2094011,,,,4G,,,,RegisteredHome,
3052,1586948432.2095792,,,,4G,,,,NotRegistered,
3053,1586948432.2113662,,,,None,,,,NotRegistered,
3054,1586948490.809186,,,,None,,,,EmergencyOnly,
3055,1586948510.0458922,,,,None,,,Google Fi,EmergencyOnly,
3056,1586948510.0596633,,,,None,,,Google Fi,RegisteredHome,
3057,1586948511.6684551,,,,2_5G,,,Google Fi,RegisteredHome,
3058,1586948525.426867,,,,4G,,,Google Fi,RegisteredHome,
3059,1586949226.170937,,,,2G,,,Google Fi,RegisteredHome,
3060,1586949226.9108162,,,,2_5G,,,Google Fi,RegisteredHome,
3061,1586949258.8342361,,,,4G,,,Google Fi,RegisteredHome,
3062,1586949584.7111373,,,,2G,,,Google Fi,RegisteredHome,
3063,1586949585.4718502,,,,2_5G,,,Google Fi,RegisteredHome,
3064,1586949620.563766,,,,2_5G,,,,RegisteredHome,
3065,1586949620.5640562,,,,2_5G,,,,NotRegistered,
3066,1586949620.5695422,,,,None,,,,NotRegistered,
3067,1586949669.409079,,,,None,,,Google Fi,NotRegistered,
3068,1586949669.418776,,,,None,,,Google Fi,RegisteredHome,
3069,1586949672.627161,,,,2_5G,,,Google Fi,RegisteredHome,
3070,1586949768.4246142,,,,4G,,,Google Fi,RegisteredHome,
3071,1586950129.996747,,,,4G,,,,RegisteredHome,
3072,1586950129.9975152,,,,4G,,,,NotRegistered,
