ID,timestamp,cellQualityPrediction_0,cellQualityPrediction_1,cellQualityPrediction_2,cellQualityPrediction_3,cellQualityPrediction_4,cellQualityPrediction_5,cellQualityPrediction_6,cellQualityPrediction_7,cellQualityPrediction_8,cellQualityPrediction_9,cellQualityPrediction_10,cellQualityPrediction_11,cellQualityPrediction_12,cellQualityPrediction_13,cellQualityPrediction_14,cellQualityPrediction_15,deviceActivityPrediction_0,deviceActivityPrediction_1,deviceActivityPrediction_2,deviceActivityPrediction_3,deviceActivityPrediction_4,deviceActivityPrediction_5,deviceActivityPrediction_6,deviceActivityPrediction_7,deviceActivityPrediction_8,deviceActivityPrediction_9,deviceActivityPrediction_10,deviceActivityPrediction_11,deviceActivityPrediction_12,deviceActivityPrediction_13,deviceActivityPrediction_14,deviceActivityPrediction_15,powerPluggedInPrediction_0,powerPluggedInPrediction_1,powerPluggedInPrediction_2,powerPluggedInPrediction_3,powerPluggedInPrediction_4,powerPluggedInPrediction_5,powerPluggedInPrediction_6,powerPluggedInPrediction_7,powerPluggedInPrediction_8,powerPluggedInPrediction_9,powerPluggedInPrediction_10,powerPluggedInPrediction_11,powerPluggedInPrediction_12,powerPluggedInPrediction_13,powerPluggedInPrediction_14,powerPluggedInPrediction_15,wiFiAssociatedPrediction_0,wiFiAssociatedPrediction_1,wiFiAssociatedPrediction_2,wiFiAssociatedPrediction_3,wiFiAssociatedPrediction_4,wiFiAssociatedPrediction_5,wiFiAssociatedPrediction_6,wiFiAssociatedPrediction_7,wiFiAssociatedPrediction_8,wiFiAssociatedPrediction_9,wiFiAssociatedPrediction_10,wiFiAssociatedPrediction_11,wiFiAssociatedPrediction_12,wiFiAssociatedPrediction_13,wiFiAssociatedPrediction_14,wiFiAssociatedPrediction_15
133,1586834254.398438,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,,,,,,,,,,,,,,,,,
134,1586848641.5762691,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,33,33,66,0,33.0,43,43,43,43,43,43,43,43,43,43,43,43,29,11,4,,,,,,,,,,,,,,,,,
135,1586863038.3141332,,,,,,,,,,,,,,,,,33,0,33,0,0,0,33,33,0,33,0,66,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
136,1586877429.1240401,,,,,,,,,,,,,,,,,0,0,0,33,33,66,0,0,33,33,33,66,66,66,33,66.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
137,1586891829.2317011,,,,,,,,,,,,,,,,,0,0,0,66,0,33,33,0,33,33,0,33,33,33,0,,10,13,13,18,23,38,28,21,20,21,22,21,16,9,8,,,,,,,,,,,,,,,,,
138,1586906233.462294,,,,,,,,,,,,,,,,,66,0,0,0,33,33,0,0,33,0,0,0,33,0,0,,0,0,0,0,0,0,0,2,3,6,11,13,13,20,24,,,,,,,,,,,,,,,,,
139,1586920631.4401503,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,,,,,,,,,,,,,,,,,
140,1586935052.6826181,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,33,33,33,,37,37,37,37,37,37,37,37,37,37,37,37,25,10,3,,,,,,,,,,,,,,,,,
141,1586949436.81238,,,,,,,,,,,,,,,,,0,0,0,0,33,0,0,0,33,0,33,66,0,0,33,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
142,1586963837.1136012,,,,,,,,,,,,,,,,,0,33,0,33,0,0,33,33,33,66,0,66,66,66,33,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
143,1586978231.8266592,,,,,,,,,,,,,,,,,33,33,66,33,66,33,33,33,66,33,0,33,33,33,0,,8,11,11,16,19,32,24,18,17,18,19,18,14,8,8,,,,,,,,,,,,,,,,,
144,1586992761.106125,,,,,,,,,,,,,,,,,33,0,33,33,0,0,33,33,0,33,33,0,0,0,0,0.0,2,2,0,0,0,0,0,0,3,9,15,18,18,25,30,,,,,,,,,,,,,,,,,
145,1587007054.8119774,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,,,,,,,,,,,,,,,,,
146,1587021435.1493802,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,,44,44,44,44,44,44,44,44,44,44,44,44,31,13,4,,,,,,,,,,,,,,,,,
147,1587035843.7766411,,,,,,,,,,,,,,,,,33,66,33,33,66,33,33,33,66,33,33,33,0,33,33,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
148,1587050233.235577,,,,,,,,,,,,,,,,,0,0,33,0,66,0,66,0,66,33,0,0,33,33,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
