ID,timestamp,Reason,TotalCount
3197,1586836861.615315,2.0,265
3198,1586837276.8454971,2.0,95
3199,1586838178.898336,1.0,465
3200,1586838867.2025232,2.0,231
3201,1586840225.382236,1.0,461
3202,1586840814.061105,2.0,133
3203,1586841116.783159,2.0,36
3204,1586842244.5777383,1.0,473
3205,1586843025.8512683,2.0,218
3206,1586843603.2615361,2.0,188
3207,1586845017.139377,2.0,288
3208,1586846877.069716,2.0,394
3209,1586847345.9116092,2.0,116
3210,1586848986.732829,1.0,466
3211,1586848986.7546952,2.0,3
3212,1586850714.1181052,1.0,486
3213,1586851051.5800853,2.0,65
3214,1586853118.1137981,2.0,429
3215,1586853597.334772,2.0,99
3216,1586854975.809133,2.0,359
3217,1586855702.9184833,2.0,180
3218,1586856477.361658,2.0,158
3219,1586858397.4777932,2.0,369
3220,1586858817.80448,2.0,131
3221,1586860359.7090812,2.0,459
3222,1586861342.6620722,1.0,484
3223,1586861507.7691312,2.0,300
3224,1586862206.6855412,1.0,465
3225,1586862732.3646681,2.0,417
3226,1586863021.9849553,1.0,469
3227,1586863316.5920491,1.0,462
3228,1586863542.4098032,2.0,390
3229,1586864143.357882,1.0,469
3230,1586864363.500529,1.0,476
3231,1586864470.0282881,2.0,104
3232,1586865055.9572263,1.0,463
3233,1586865330.390211,2.0,366
3234,1586865966.5946891,1.0,461
3235,1586866434.486753,2.0,434
3236,1586867191.070581,1.0,468
3237,1586867704.5305722,2.0,419
3238,1586868241.960092,2.0,400
3239,1586868618.7112002,1.0,461
3240,1586868791.8110101,1.0,464
3241,1586869132.3369892,1.0,461
3242,1586869328.327857,2.0,80
3243,1586869982.8119242,1.0,461
3244,1586870188.4352512,2.0,87
3245,1586870841.6864452,1.0,475
3246,1586870966.711203,2.0,97
3247,1586871454.6826649,1.0,462
3248,1586871775.550333,2.0,215
3249,1586872228.4465492,1.0,471
3250,1586872390.566441,2.0,85
3251,1586872697.9743943,2.0,436
3252,1586873813.9475732,1.0,468
3253,1586874508.3285532,2.0,357
3254,1586874897.3306282,2.0,181
3255,1586875921.3576212,2.0,202
3256,1586876819.491146,1.0,472
3257,1586876864.2167132,2.0,80
3258,1586877394.2141352,1.0,471
3259,1586877611.7692502,1.0,471
3260,1586877824.2626143,1.0,470
3261,1586878216.0434623,2.0,434
3262,1586879035.378078,2.0,356
3263,1586879793.7384732,2.0,173
3264,1586880197.4638581,1.0,464
3265,1586880367.3377001,2.0,52
3266,1586881166.1426492,2.0,290
3267,1586881924.2314072,1.0,468
3268,1586882271.992289,2.0,70
3269,1586883624.335918,2.0,427
3270,1586884493.9778101,1.0,461
3271,1586884751.0176332,2.0,61
3272,1586885385.9773052,2.0,408
3273,1586886064.5804791,1.0,461
3274,1586886287.055552,2.0,67
3275,1586887121.3200212,1.0,461
3276,1586887209.3906722,2.0,47
3277,1586888151.5432262,2.0,295
3278,1586889012.095148,2.0,250
3279,1586889535.22844,1.0,464
3280,1586889913.2559323,2.0,383
3281,1586890638.6517951,1.0,476
3282,1586890711.9386442,2.0,142
3283,1586891347.565951,2.0,267
3284,1586891563.0905662,1.0,462
3285,1586892210.529766,1.0,466
3286,1586892699.3654952,2.0,261
3287,1586893306.230833,1.0,466
3288,1586893600.511847,2.0,74
3289,1586894224.8024712,1.0,462
3290,1586894605.030311,2.0,289
3291,1586895526.6094732,2.0,209
3292,1586896304.791835,2.0,174
3293,1586897288.032803,2.0,244
3294,1586898353.7830143,2.0,451
3295,1586899336.889102,2.0,280
3296,1586900156.0698824,2.0,416
3297,1586900463.2131882,2.0,262
3298,1586900770.3750532,2.0,14
3299,1586901261.971087,2.0,68
3300,1586901774.321783,2.0,326
3301,1586902799.151298,2.0,361
3302,1586903522.2529302,1.0,461
3303,1586903682.9229012,1.0,461
3304,1586904201.367429,1.0,463
3305,1586904600.0770411,2.0,111
3306,1586905040.980252,2.0,248
3307,1586905348.8862162,2.0,64
3308,1586905658.300188,2.0,83
3309,1586905966.8858042,2.0,196
3310,1586906274.8913572,2.0,363
3311,1586906582.757239,2.0,257
3312,1586906890.6433852,2.0,56
3313,1586907198.355755,2.0,51
3314,1586907506.2257934,2.0,47
3315,1586907818.6479712,2.0,208
3316,1586908351.034322,2.0,288
3317,1586908661.267498,2.0,206
3318,1586908969.8967872,2.0,335
3319,1586909278.5789742,2.0,170
3320,1586909598.505517,2.0,254
3321,1586910909.188244,2.0,344
3322,1586911257.5426512,2.0,114
3323,1586911564.6927292,2.0,110
3324,1586911953.863172,2.0,220
3325,1586912261.007337,2.0,242
3326,1586912568.543,2.0,274
3327,1586913600.2073662,1.0,461
3328,1586913654.586605,2.0,33
3329,1586913815.971955,4.0,314
3330,1586913830.5478764,4.0,34
3331,1586914184.762988,2.0,291
3332,1586914503.738101,2.0,276
3333,1586914811.56884,2.0,217
3334,1586916208.775908,1.0,469
3335,1586916686.2661872,2.0,65
3336,1586917727.0339012,1.0,461
3337,1586918446.0151253,2.0,179
3338,1586918754.491805,2.0,243
3339,1586920496.10415,1.0,461
3340,1586920560.943119,2.0,22
3341,1586921289.166636,2.0,197
3342,1586923096.18822,2.0,383
3343,1586924692.074089,1.0,461
3344,1586925051.1015372,2.0,171
3345,1586926956.8350172,1.0,462
3346,1586927199.0165842,2.0,38
3347,1586928950.3018491,1.0,461
3348,1586929337.1007452,2.0,71
3349,1586930987.230571,1.0,462
3350,1586931451.851283,2.0,153
3351,1586933342.438355,2.0,430
3352,1586933663.531271,2.0,118
3353,1586934042.2698932,2.0,121
3354,1586934419.6568902,2.0,107
3355,1586934781.1497722,2.0,22
3356,1586935141.1999793,2.0,124
3357,1586935499.3806033,2.0,36
3358,1586935858.3889332,2.0,78
3359,1586936230.843286,2.0,153
3360,1586936700.4991121,2.0,47
3361,1586937665.217791,2.0,238
3362,1586938651.8729243,2.0,176
3363,1586939079.528183,2.0,154
3364,1586940162.2228622,1.0,461
3365,1586940917.1742501,2.0,199
3366,1586942904.199927,2.0,412
3367,1586944765.1331692,2.0,441
3368,1586947054.4044862,1.0,464
3369,1586947244.4290931,2.0,82
3370,1586947659.676424,1.0,462
3371,1586948349.3953412,1.0,467
3372,1586949059.165894,2.0,358
3373,1586949964.9924202,1.0,461
3374,1586950615.857689,2.0,372
3375,1586951475.9879992,2.0,368
3376,1586952295.120798,2.0,266
3377,1586953491.850984,1.0,461
3378,1586953565.607048,2.0,38
3379,1586954007.3225951,1.0,461
3380,1586954180.2441373,2.0,232
3381,1586954680.5911522,1.0,471
3382,1586954934.921389,1.0,462
3383,1586955143.5316563,2.0,355
3384,1586955450.79029,2.0,297
3385,1586955757.885777,2.0,174
3386,1586956065.0921252,2.0,285
3387,1586956592.704791,1.0,462
3388,1586956803.1634111,2.0,153
3389,1586957432.948926,1.0,461
3390,1586957520.029851,2.0,52
3391,1586958029.0590243,1.0,461
3392,1586958277.9061482,2.0,285
3393,1586958585.0947943,2.0,295
3394,1586959075.360241,1.0,461
3395,1586959240.484074,2.0,79
3396,1586959639.102663,1.0,467
3397,1586959772.674545,2.0,6
3398,1586960347.212153,2.0,269
3399,1586960961.682521,2.0,277
3400,1586961576.1032033,2.0,438
3401,1586962252.066543,2.0,159
3402,1586962623.152651,1.0,462
3403,1586962864.829732,1.0,461
3404,1586963071.462153,2.0,255
3405,1586963378.599894,2.0,248
3406,1586963850.3880253,2.0,290
3407,1586964587.9757562,2.0,415
3408,1586964936.176157,2.0,460
3409,1586965739.9861422,1.0,462
3410,1586965837.293757,2.0,10
3411,1586966287.0932102,1.0,469
3412,1586966534.0451741,2.0,381
3413,1586966841.183012,2.0,406
3414,1586967148.362729,2.0,135
3415,1586967457.168822,2.0,355
3416,1586967711.945142,1.0,461
3417,1586967765.2431931,2.0,166
3418,1586968069.0131881,2.0,341
3419,1586968826.98918,2.0,437
3420,1586969134.118235,2.0,134
3421,1586969441.335433,2.0,24
3422,1586969953.4531112,2.0,166
3423,1586970772.7642782,2.0,348
3424,1586971715.8864172,2.0,306
3425,1586972637.339666,1.0,463
3426,1586972637.58114,,-1
3427,1586972944.809011,2.0,459
3428,1586974474.9847422,1.0,462
3429,1586974747.9395082,2.0,47
3430,1586975403.503848,2.0,369
3431,1586976049.9030821,1.0,472
3432,1586976468.4377823,2.0,160
3433,1586977390.1514473,2.0,422
3434,1586978004.6445112,2.0,272
3435,1586978845.033193,2.0,295
3436,1586979328.4970002,1.0,461
3437,1586979563.947032,1.0,464
3438,1586979684.781522,2.0,172
3439,1586980542.788783,1.0,461
3440,1586980647.3794382,2.0,172
3441,1586981589.5858142,2.0,263
3442,1586982640.1550303,1.0,463
3443,1586982655.2585602,2.0,1
