ID,timestamp,ConnectionType,LinkQuality
384,1586849386.2866592,1,50
385,1586850337.499352,500,50
386,1586863677.5277772,1,50
387,1586863970.8265252,500,50
388,1586867752.4016461,1,50
389,1586868236.730968,500,50
390,1586870806.0983152,1,50
391,1586871142.4988112,500,50
392,1586874892.574078,1,50
393,1586875912.7312942,500,50
394,1586878971.9495811,1,50
395,1586879805.476386,500,50
396,1586883399.0161262,2,100
397,1586883407.22934,500,100
398,1586886117.0339322,1,50
399,1586887132.0650253,500,50
400,1586889166.984848,1,50
401,1586890187.0591903,500,50
402,1586893094.4266782,1,50
403,1586893104.430264,500,50
404,1586896311.889517,1,50
405,1586896409.036881,500,50
406,1586899712.6267312,1,50
407,1586900398.2237692,500,50
408,1586903375.338251,2,100
409,1586903375.3383822,500,50
410,1586907061.2217271,2,100
411,1586907531.6354182,500,100
412,1586911238.48736,2,100
413,1586911244.173813,500,100
414,1586914672.9879541,1,50
415,1586914717.059338,500,50
416,1586933027.5043201,1,50
417,1586933538.4510741,500,50
418,1586949694.022223,2,100
419,1586949701.7232182,500,100
420,1586953427.0468392,2,100
421,1586953459.385235,500,50
422,1586957093.153862,2,50
423,1586957113.570704,500,100
424,1586960567.1763759,2,100
425,1586960859.9590971,500,100
426,1586964215.5022762,2,100
427,1586964523.9989133,500,100
428,1586967688.791574,1,100
429,1586967713.037281,500,50
430,1586971379.3272011,1,50
431,1586971799.417853,500,50
432,1586975739.063718,1,50
433,1586975873.38591,500,50
434,1586978908.4366632,1,50
435,1586978934.042514,500,50
436,1586982295.488256,2,100
437,1586982373.4321089,500,50
438,1586986068.9494722,1,50
439,1586986125.9060073,500,100
440,1586990152.6217303,2,100
441,1586990159.8053281,500,100
442,1587000771.861269,1,50
443,1587001374.8668613,500,50
444,1587022659.8696861,1,50
445,1587022794.4920883,500,50
446,1587036944.9234009,1,50
447,1587037074.8884091,500,50
448,1587040128.404014,1,50
449,1587040241.7262383,500,50
450,1587043524.7775483,2,100
451,1587043524.7776291,500,50
452,1587047273.805053,1,50
453,1587048029.26024,500,50
454,1587051151.4825191,2,100
455,1587051157.2433743,500,100
456,1587052487.0140862,2,100
457,1587052494.2887282,500,100
458,1587056160.786644,1,50
459,1587056334.8357472,500,100
