ID,timestamp,accessgroup,count,operation,zone
206,1586868628.155497,,5,fetchAllChanges,
207,1586891140.1892052,,0,fetchAllChanges,
208,1586947415.0212522,,3,fetchAllChanges,
209,1586967713.1353822,,0,processOutgoingQueue,Manatee
210,1586977674.7523372,,1,processOutgoingQueue,Manatee
211,1586977674.7525773,,4,fetchAllChanges,
212,1586998573.6990411,,1,fetchAllChanges,
213,1587020054.425008,,3,fetchAllChanges,
214,1587039123.1860123,,0,fetchAllChanges,
215,1587039123.1862931,,1,processOutgoingQueue,Manatee
216,1587039128.7560902,com.apple.ProtectedCloudStorage,1,store,
217,1587039158.6323342,,0,processOutgoingQueue,Manatee
218,1587039205.0928292,,6,fetchAllChanges,
219,1587039205.0930433,,2,processOutgoingQueue,Manatee
220,1587039205.0934882,,1,processOutgoingQueue,Manatee
221,1587039205.093677,com.apple.ProtectedCloudStorage,1,delete,
222,1587039236.1623492,,0,processOutgoingQueue,Manatee
223,1587041729.349288,,1,fetchAllChanges,
224,1587052482.4049582,,0,processOutgoingQueue,AutoUnlock
