ID,timestamp,DR_0,DR_1,DR_2,DR_3,DR_4,DR_5,DR_6,DR_7,DR_8,DR_9,mach_absolute_time
1022,1586865460.3192601,0,0,0,0,0,0,0,0,0,60,563738731855
1023,1586867862.2499151,0,0,0,0,0,0,0,0,0,36,621339277445
1024,1586868262.5849762,1596,25,2,3,0,0,12,23,0,102,630948009906
1025,1586868316.557867,0,0,0,0,28,0,8,0,0,36,632243367860
1026,1586872096.9680443,0,0,0,3,10,3,17,0,0,90,722826685276
1027,1586872099.649002,0,0,0,0,0,0,0,0,0,44,722891029728
1028,1586872117.1679592,0,0,0,1,8,4,16,0,0,83,723311494563
1029,1586872127.1509612,0,0,0,0,0,0,0,0,0,70,723551092405
1030,1586872138.9018712,0,0,0,3,10,5,17,0,0,37,723833120942
1031,1586872446.5603752,1175,11,19,56,46,0,6,111,102,1453,731248866661
1032,1586872502.0462751,638,1,0,17,14,6,14,10,51,476,732580356726
1033,1586873009.485014,0,0,0,0,0,0,0,0,0,197,744603872984
1034,1586873190.2115822,0,0,0,0,0,0,0,0,0,14,748941412283
1035,1586873197.084301,0,1,2,7,23,0,0,0,0,183,749106360898
1036,1586876414.699933,0,0,0,0,0,0,0,0,0,45,826329503806
1037,1586876426.42931,13,0,0,4,16,0,0,0,0,339,826611015232
1038,1586877976.1260343,1588,26,2,4,11,23,0,0,0,122,863802525337
1039,1586879864.6685772,1184,8,6,38,5,13,4,78,0,1273,909127154455
1040,1586879872.028098,0,0,0,0,0,0,0,0,0,78,909303787016
1041,1586884508.2203913,0,0,0,2,23,0,10,0,0,59,1020563779189
1042,1586887727.7873392,0,0,0,2,19,0,10,0,0,64,1097833367077
1043,1586891527.676794,14,0,0,0,0,0,0,0,0,37,1189028909478
1044,1586896287.2756722,0,0,0,0,0,0,0,0,0,10,1303258807270
1045,1586896307.4996934,23,0,0,10,0,8,15,0,0,415,1303744195202
1046,1586904387.168518,278,16,65,50,0,0,0,0,0,897,1491454005097
1047,1586904687.1615863,4,0,50,0,0,0,0,0,0,0,1498654006694
1048,1586904987.154437,103,36,2,2,0,0,0,0,0,422,1505854003651
1049,1586905287.179335,83,1,0,0,0,0,0,0,0,28,1513054004197
1050,1586905587.1773891,441,55,67,17,19,0,0,2,1,1291,1520254005213
1051,1586905887.1703553,145,94,29,2,0,0,0,0,0,780,1527454005066
1052,1586906187.1883352,119,22,16,0,0,0,0,0,0,619,1534654005444
1053,1586906487.1818523,24,0,0,0,0,0,0,0,0,0,1541854008999
1054,1586906787.1878133,67,0,0,0,0,0,0,0,0,0,1549054006576
1055,1586907087.1808062,83,17,15,0,0,0,0,0,0,0,1556254007122
1056,1586907387.1738012,23,0,0,0,0,0,0,0,0,0,1563454007649
1057,1586907687.1667414,37,0,0,0,0,0,0,0,0,0,1570654006912
1058,1586907987.198316,203,0,0,0,0,0,0,0,0,553,1577854003961
1059,1586908287.1914134,219,0,0,0,0,0,0,0,0,410,1585054006727
1060,1586908587.2027473,249,17,0,0,0,0,1,14,13,1003,1592254004969
1061,1586908887.2095633,765,18,7,29,0,2,9,18,31,707,1599454005184
1062,1586909187.2122512,2664,147,527,184,96,0,9,8,49,211,1606654004421
1063,1586909487.2056093,536,40,32,23,25,3,23,192,427,736,1613854007974
1064,1586909787.2125843,2717,2,2,7,19,0,0,0,0,4,1621054004741
1065,1586910087.21845,3957,0,0,0,0,0,0,0,0,0,1628254006571
1066,1586910387.2113261,3936,0,0,0,0,0,0,0,0,0,1635454004387
1067,1586910687.220312,4038,0,0,0,0,0,0,0,0,0,1642654004682
1068,1586910987.2132432,2632,0,0,0,0,0,0,0,0,100,1649854004091
1069,1586911287.2270913,553,9,4,6,4,4,11,40,81,1016,1657054006238
1070,1586911587.2224193,325,8,14,30,13,3,5,3,15,490,1664254005075
1071,1586911887.2295504,200,0,0,0,0,0,0,0,0,0,1671454005592
1072,1586912187.2343001,413,22,28,16,45,8,41,12,0,536,1678653990824
1073,1586912487.2283123,908,36,90,25,105,1,9,28,53,1354,1685854007283
1074,1586912787.2359133,307,21,23,18,0,0,0,0,0,134,1693054007535
1075,1586913087.2287962,217,0,0,0,0,0,0,0,0,0,1700254005896
1076,1586913387.2395732,207,16,16,0,0,0,0,0,0,0,1707454005842
1077,1586913544.9903011,33,0,0,0,0,0,0,0,0,29,1711240112582
1078,1586913798.606708,0,0,0,0,5,0,0,0,0,172,1717207431292
1079,1586913823.581149,14,1,3,6,38,6,17,0,0,35,1717806829326
1080,1586948149.615502,0,0,0,0,0,0,0,0,0,48,1854615846999
1081,1586953438.1039042,0,0,0,0,0,0,0,0,0,70,1980988503735
1082,1586962402.445818,0,0,0,0,0,0,0,0,0,65,2196130948539
1083,1586962406.1864042,0,0,0,0,0,0,0,0,0,65,2196220724745
1084,1586962408.486118,0,0,0,0,0,0,0,0,0,39,2196275919147
1085,1586967397.168605,7,0,0,0,0,0,0,0,0,92,2316003828661
1086,1586967711.620967,147,13,23,31,0,0,0,0,0,532,2323550271914
1087,1586967723.941236,0,0,0,0,0,0,0,0,0,2302,2323845964158
1088,1586967821.7852,0,0,0,0,0,0,0,0,0,250,2326194276805
1089,1586968011.6277542,179,2,1,0,0,0,0,0,0,228,2330750274183
1090,1586968077.231986,0,0,0,0,0,0,0,0,0,405,2332324809249
1091,1586970807.040411,0,0,0,0,0,0,0,0,0,90,2397839856154
1092,1586970853.3779092,0,0,0,3,23,0,8,0,0,52,2398951982894
1093,1586972797.3746321,179,3,10,134,0,2,13,4,0,1041,2445607496033
1094,1586974897.6726983,0,0,0,0,0,0,0,0,0,54,2495990554781
1095,1586974904.7541652,0,0,0,0,0,0,0,0,0,49,2496160513587
1096,1586974922.8583093,0,0,1,1,14,0,0,0,0,167,2496595022979
1097,1586974972.8615382,0,0,0,0,0,0,0,0,0,105,2497795128202
1098,1586974978.2847743,2,0,0,0,0,0,0,0,0,139,2497925288812
1099,1586974994.9052553,44,0,0,11,0,1,1,0,0,250,2498324189387
1100,1586975030.1616821,19,6,2,7,23,0,0,0,0,283,2499170363161
1101,1586975039.2563212,0,0,0,0,0,0,0,0,0,74,2499388639312
1102,1586982387.9314792,14,0,0,0,0,0,0,0,0,35,2675755473428
1103,1586983974.5576663,14,0,0,0,0,1,0,0,0,37,2713834937436
1104,1586985567.4579363,14,0,0,0,0,0,0,0,0,37,2752063833866
1105,1586988672.0058932,0,0,0,0,0,0,0,0,0,19,2826573938998
1106,1586988675.4051871,0,0,0,0,0,0,0,0,0,36,2826655523307
1107,1586988848.5219164,0,0,0,0,0,0,0,0,0,64,2830808804158
1108,1586988909.1176682,175,4,6,44,0,3,11,0,0,640,2832263018503
1109,1586998552.4212604,28,0,0,0,0,1,0,0,0,273,2867852385196
1110,1587037440.1184683,0,0,0,0,0,0,0,0,0,22,3086430845697
1111,1587037450.877943,9,0,0,0,0,0,0,0,0,184,3086687684475
1112,1587037767.9800072,549,353,44,92,70,18,11,48,146,1502,3094298281897
1113,1587038015.5342083,5138,71,97,32,671,35,21,15,34,1929,3100239374064
1114,1587038316.3819304,5228,12,56,9,120,7,132,36,25,1160,3107459847946
1115,1587038616.3899453,3768,285,130,165,103,41,18,146,60,465,3114659831670
1116,1587038916.3926563,1690,197,317,24,148,35,136,411,360,3930,3121859847219
1117,1587039216.3961773,904,47,59,88,47,10,27,41,47,3875,3129059849333
1118,1587039516.399279,623,1466,21,7,0,0,0,8,4,3626,3136259848255
1119,1587039746.6194143,173,0,0,2,4,3,10,55,57,3224,3141785133282
1120,1587043810.4682152,3115,9,9,55,6,7,33,39,18,846,3239316518091
1121,1587044110.4740572,3051,40,120,989,174,135,6,28,75,357,3246516508098
1122,1587044410.4792383,3482,73,111,156,52,0,0,9,20,835,3253716518196
1123,1587044710.473412,243,7,517,14,32,287,26,4,127,626,3260916519096
1124,1587045010.4659052,297,18,29,16,8,1,1,2,301,947,3268116520635
1125,1587045071.1438773,145,61,1,0,0,0,0,30,1,250,3269572780668
1126,1587045091.3583612,55,61,0,0,0,0,0,0,0,3,3270057939595
1127,1587045392.1740382,2363,69,75,68,33,1,2,44,1,361,3277277448518
1128,1587045514.3143742,237,2,0,0,0,0,0,25,22,523,3280208820683
1129,1587045528.1179724,0,0,0,0,0,0,0,0,0,234,3280540066775
1130,1587050935.4866543,0,0,0,0,0,0,0,0,0,21,3410317270835
1131,1587050946.0084352,8,0,0,0,4,0,0,0,0,216,3410569799075
1132,1587051124.942006,0,0,0,0,0,0,0,0,0,66,3414864305790
1133,1587051137.543745,0,0,0,0,0,0,0,0,0,76,3415166754371
1134,1587051438.4430923,2966,24,33,45,28,0,6,69,13,1111,3422386936900
1135,1587051738.436335,723,39,58,42,51,5,1,56,2,2821,3429586937988
1136,1587052038.442203,2203,68,17,2,2,0,0,14,4,2793,3436786939274
1137,1587052726.205121,885,21,10,119,4,13,38,32,27,1261,7807362743
1138,1587053026.2130241,803,45,63,43,28,4,0,540,3,1125,15007359134
1139,1587053326.2131863,369,0,0,0,0,0,0,0,0,295,22207358969
1140,1587053626.2064152,260,0,0,0,0,0,0,0,0,0,29407358983
1141,1587053926.1996353,200,0,0,0,0,0,0,0,0,0,36607358803
1142,1587054226.1928692,199,0,0,0,0,0,0,0,0,0,43807359009
1143,1587054526.1862543,170,0,0,0,0,0,0,0,0,0,51007362496
1144,1587054826.1793423,241,0,0,0,0,0,0,0,0,2,58207359120
1145,1587055126.1726372,913,0,0,0,0,0,0,0,0,302,65407360691
1146,1587055426.16581,502,0,0,0,0,0,0,0,0,0,72607359932
1147,1587055726.2322783,274,0,0,0,0,0,0,0,0,0,79807359329
1148,1587056026.225284,410,0,0,0,0,0,0,0,0,0,87007358999
1149,1587056326.2182972,200,0,0,0,0,0,0,0,0,0,94207358750
1150,1587056626.211491,4,0,0,0,0,0,0,0,0,3,101407362458
1151,1587056926.2447352,545,0,0,0,0,0,0,0,0,0,108607360390
1152,1587057226.2378511,320,0,0,0,0,0,0,0,0,3,115807361967
1153,1587057526.2307312,408,0,0,0,0,0,0,19,0,32,123007358996
1154,1587057826.2231593,288,0,0,0,0,0,0,0,0,3,130207344920
1155,1587058126.2167602,275,0,0,0,0,0,0,0,0,0,137407358935
